MANDT,VBELN,ERDAT,ERZET,ERNAM,AUDAT,VBTYP,AUART,AUGRU,NETWR,WAERK,VKORG,VTWEG,SPART,VKBUR,VKGRP,KUNNR,BSTNK,BSTDK,LIFSK,FAKSK,KNUMV,VDATU,BUKRS_VF,AEDAT
100,0001000011,20240111,060156,ASOTO,20240111,C,TA,,2172670.08,USD,3000,10,10,C01,003,0000010002,PO-CLI-41632,20240111,,,0000872656,20240127,3000,20240111
100,0001000012,20240112,123347,JPEREZ,20240112,C,TA,,6023789.1,USD,3000,10,10,N01,003,0000010000,PO-CLI-77692,20240112,,,0000610659,20240125,3000,20240112
100,0001000013,20240113,084532,ASOTO,20240113,C,TA,,1520327.11,USD,3000,10,10,N01,002,0000010016,PO-CLI-69694,20240113,,,0000496350,20240121,3000,20240113
100,0001000014,20240114,101311,ASOTO,20240114,C,TA,,1137617.4,USD,3000,10,10,S02,001,0000010000,PO-CLI-26033,20240114,,,0000574135,20240201,3000,20240114
100,0001000015,20240115,121457,MROJAS,20240115,C,TA,,3264878.43,USD,3000,10,10,S01,005,0000010001,PO-CLI-16005,20240115,,,0000703012,20240205,3000,20240115
100,0001000016,20240116,095345,ASOTO,20240116,C,TA,,2260351.56,USD,3000,10,10,S02,001,0000010000,PO-CLI-79932,20240116,,,0000636334,20240202,3000,20240116
100,0001000017,20240117,152011,JPEREZ,20240117,C,TA,,1666316.88,USD,3000,10,10,N01,003,0000010000,PO-CLI-61110,20240117,,,0000103541,20240203,3000,20240117
100,0001000018,20240118,103537,ASOTO,20240118,C,TA,,2408831.46,USD,3000,10,10,N01,002,0000010001,PO-CLI-82706,20240118,,,0000683201,20240129,3000,20240118
100,0001000019,20240119,103816,ASOTO,20240119,C,TA,,2009149.47,USD,3000,10,10,S02,003,0000010000,PO-CLI-92864,20240119,,,0000223089,20240213,3000,20240119
100,0001000020,20240120,110158,ASOTO,20240120,C,TA,,1110407.22,USD,3000,10,10,N02,001,0000010020,PO-CLI-89794,20240120,,,0000499677,20240127,3000,20240120
100,0001000021,20240121,130014,ASOTO,20240121,C,TA,,665331.95,USD,3000,10,10,N01,003,0000010022,PO-CLI-99201,20240121,,,0000966157,20240219,3000,20240121
100,0001000022,20240122,154343,ASOTO,20240122,C,TA,,2759879.25,USD,3000,10,10,C01,002,0000010002,PO-CLI-18566,20240122,,,0000616736,20240202,3000,20240122
100,0001000023,20240123,171403,MROJAS,20240123,C,TA,,3441965.16,USD,3000,10,10,S02,005,0000010001,PO-CLI-68833,20240123,,,0000331604,20240130,3000,20240123
100,0001000024,20240124,152848,JPEREZ,20240124,C,TA,,3824734.89,USD,3000,10,10,S02,005,0000010000,PO-CLI-26361,20240124,,,0000089690,20240201,3000,20240124
100,0001000025,20240125,153906,MROJAS,20240125,C,TA,,3876520.32,USD,3000,10,10,N01,004,0000010002,PO-CLI-77792,20240125,,,0000344137,20240219,3000,20240125
100,0001000026,20240126,144148,MROJAS,20240126,C,TA,,674640.36,USD,3000,10,10,S01,005,0000010000,PO-CLI-80928,20240126,,,0000813167,20240206,3000,20240126
100,0001000027,20240127,174429,ASOTO,20240127,C,TA,,703017.36,USD,3000,10,10,S01,005,0000010027,PO-CLI-84199,20240127,,,0000351966,20240222,3000,20240127
100,0001000028,20240128,094037,MROJAS,20240128,C,TA,,604217.56,USD,3000,10,10,N01,001,0000010021,PO-CLI-36099,20240128,,,0000207435,20240213,3000,20240128
100,0001000029,20240129,125645,JPEREZ,20240129,C,TA,,3296879.01,USD,3000,10,10,N01,002,0000010000,PO-CLI-27143,20240129,,,0000833512,20240211,3000,20240129
100,0001000030,20240130,185641,ASOTO,20240130,C,TA,,2475574.62,USD,3000,10,10,S01,004,0000010000,PO-CLI-78012,20240130,,,0000486820,20240211,3000,20240130
100,0001000031,20240131,102833,MROJAS,20240131,C,TA,,3011987.16,USD,3000,10,10,N02,005,0000010001,PO-CLI-15392,20240131,,,0000487854,20240223,3000,20240131
100,0001000032,20240201,111619,ASOTO,20240201,C,TA,,2143109.1,USD,3000,10,10,S01,002,0000010002,PO-CLI-89171,20240201,,,0000144563,20240301,3000,20240201
100,0001000033,20240202,183548,MROJAS,20240202,C,TA,,474791.2,USD,3000,10,10,S02,003,0000010014,PO-CLI-21255,20240202,,,0000328283,20240215,3000,20240202
100,0001000034,20240203,184944,ASOTO,20240203,C,TA,,572985.7,USD,3000,10,10,S01,003,0000010021,PO-CLI-86933,20240203,,,0000024369,20240228,3000,20240203
100,0001000035,20240204,080252,ASOTO,20240204,C,TA,,2411760.06,USD,3000,10,10,C01,004,0000010000,PO-CLI-13517,20240204,,,0000195761,20240217,3000,20240204
100,0001000036,20240205,103712,ASOTO,20240205,C,TA,,1401932.57,USD,3000,10,10,S02,003,0000010008,PO-CLI-36437,20240205,,,0000007805,20240216,3000,20240205
100,0001000037,20240206,084436,JPEREZ,20240206,C,TA,,792077.07,USD,3000,10,10,S02,001,0000010019,PO-CLI-41417,20240206,,,0000928558,20240218,3000,20240206
100,0001000038,20240207,174347,MROJAS,20240207,C,TA,,1949689.8,USD,3000,10,10,S02,003,0000010001,PO-CLI-62342,20240207,,,0000897344,20240220,3000,20240207
100,0001000039,20240208,100734,ASOTO,20240208,C,TA,,490244.7,USD,3000,10,10,S02,002,0000010001,PO-CLI-20169,20240208,,,0000704006,20240215,3000,20240208
100,0001000040,20240209,090501,MROJAS,20240209,C,TA,,4046264.55,USD,3000,10,10,N01,001,0000010002,PO-CLI-54186,20240209,,,0000860385,20240222,3000,20240209
100,0001000041,20240210,162000,MROJAS,20240210,C,TA,,1664702.82,USD,3000,10,10,N02,004,0000010002,PO-CLI-38848,20240210,,,0000069224,20240309,3000,20240210
100,0001000042,20240211,155837,MROJAS,20240211,C,TA,,4676645.67,USD,3000,10,10,S02,005,0000010000,PO-CLI-93963,20240211,,,0000777849,20240225,3000,20240211
100,0001000043,20240212,165218,JPEREZ,20240212,C,TA,,4441057.98,USD,3000,10,10,N02,003,0000010000,PO-CLI-54922,20240212,,,0000254017,20240225,3000,20240212
100,0001000044,20240213,093205,MROJAS,20240213,C,TA,,683562.05,USD,3000,10,10,S02,003,0000010008,PO-CLI-31516,20240213,,,0000756730,20240226,3000,20240213
100,0001000045,20240214,064824,MROJAS,20240214,C,TA,,2527274.88,USD,3000,10,10,N01,003,0000010000,PO-CLI-88011,20240214,,,0000563293,20240225,3000,20240214
100,0001000046,20240215,072459,ASOTO,20240215,C,TA,,3519106.32,USD,3000,10,10,N02,002,0000010002,PO-CLI-67186,20240215,,,0000267658,20240316,3000,20240215
100,0001000047,20240216,081615,ASOTO,20240216,C,TA,,661722.36,USD,3000,10,10,C01,002,0000010041,PO-CLI-11617,20240216,,,0000122401,20240225,3000,20240216
100,0001000048,20240217,124419,JPEREZ,20240217,C,TA,,1257410.64,USD,3000,10,10,N02,004,0000010024,PO-CLI-10206,20240217,,,0000101577,20240226,3000,20240217
100,0001000049,20240218,071704,MROJAS,20240218,C,TA,,3948030.12,USD,3000,10,10,N01,005,0000010000,PO-CLI-40773,20240218,,,0000501112,20240311,3000,20240218
100,0001000050,20240219,162524,ASOTO,20240219,C,TA,,965662.2,USD,3000,10,10,N01,003,0000010030,PO-CLI-53287,20240219,,,0000845436,20240229,3000,20240219
100,0001000051,20240220,065147,MROJAS,20240220,C,TA,,927173.16,USD,3000,10,10,S02,002,0000010002,PO-CLI-89529,20240220,,,0000508073,20240310,3000,20240220
100,0001000052,20240221,163415,JPEREZ,20240221,C,TA,,1736255.8,USD,3000,10,10,N02,002,0000010045,PO-CLI-96474,20240221,,,0000733908,20240301,3000,20240221
100,0001000053,20240222,174746,MROJAS,20240222,C,TA,,3480252.21,USD,3000,10,10,C01,004,0000010002,PO-CLI-40587,20240222,,,0000234411,20240308,3000,20240222
100,0001000054,20240223,145429,MROJAS,20240223,C,TA,,3392241.84,USD,3000,10,10,N02,003,0000010002,PO-CLI-38692,20240223,,,0000524113,20240322,3000,20240223
100,0001000055,20240224,174703,JPEREZ,20240224,C,TA,,627008.27,USD,3000,10,10,S02,004,0000010031,PO-CLI-49203,20240224,,,0000854603,20240323,3000,20240224
100,0001000056,20240225,180354,ASOTO,20240225,C,TA,,488553.27,USD,3000,10,10,S01,004,0000010025,PO-CLI-95804,20240225,,,0000171647,20240321,3000,20240225
100,0001000057,20240226,164625,JPEREZ,20240226,C,TA,,2782289.46,USD,3000,10,10,N01,001,0000010001,PO-CLI-41569,20240226,,,0000415913,20240319,3000,20240226
100,0001000058,20240227,075037,JPEREZ,20240227,C,TA,,2214324.54,USD,3000,10,10,S02,004,0000010000,PO-CLI-94488,20240227,,,0000736874,20240318,3000,20240227
100,0001000059,20240228,070208,ASOTO,20240228,C,TA,,2364399.84,USD,3000,10,10,N02,002,0000010002,PO-CLI-21510,20240228,,,0000589821,20240314,3000,20240228
100,0001000060,20240229,081954,JPEREZ,20240229,C,TA,,3581633.64,USD,3000,10,10,N02,005,0000010000,PO-CLI-82361,20240229,,,0000226535,20240325,3000,20240229
100,0001000061,20240301,090417,JPEREZ,20240301,C,TA,,4149220.68,USD,3000,10,10,C01,001,0000010000,PO-CLI-99650,20240301,,,0000575007,20240321,3000,20240301
100,0001000062,20240302,075703,JPEREZ,20240302,C,TA,,2534647.92,USD,3000,10,10,S01,004,0000010002,PO-CLI-33681,20240302,,,0000361941,20240401,3000,20240302
100,0001000063,20240303,144556,JPEREZ,20240303,C,TA,,3600685.5,USD,3000,10,10,S01,001,0000010002,PO-CLI-50063,20240303,,,0000426262,20240320,3000,20240303
100,0001000064,20240304,165852,ASOTO,20240304,C,TA,,2314261.65,USD,3000,10,10,C01,001,0000010002,PO-CLI-89609,20240304,,,0000470446,20240316,3000,20240304
100,0001000065,20240305,090047,ASOTO,20240305,C,TA,,402085.0,USD,3000,10,10,C01,004,0000010049,PO-CLI-38503,20240305,,,0000967895,20240321,3000,20240305
100,0001000066,20240306,145709,MROJAS,20240306,C,TA,,1424384.28,USD,3000,10,10,N01,004,0000010000,PO-CLI-10905,20240306,,,0000163191,20240403,3000,20240306
100,0001000067,20240307,061042,JPEREZ,20240307,C,TA,,1991029.74,USD,3000,10,10,S02,003,0000010000,PO-CLI-25570,20240307,,,0000441551,20240329,3000,20240307
100,0001000068,20240308,182715,ASOTO,20240308,C,TA,,4118786.43,USD,3000,10,10,N02,005,0000010001,PO-CLI-34492,20240308,,,0000261585,20240323,3000,20240308
100,0001000069,20240309,062426,ASOTO,20240309,C,TA,,492747.42,USD,3000,10,10,S01,002,0000010000,PO-CLI-39068,20240309,,,0000352509,20240329,3000,20240309
100,0001000070,20240310,074200,ASOTO,20240310,C,TA,,2766139.29,USD,3000,10,10,C01,002,0000010000,PO-CLI-53412,20240310,,,0000378084,20240409,3000,20240310
100,0001000071,20240311,173048,JPEREZ,20240311,C,TA,,1996102.68,USD,3000,10,10,C01,002,0000010001,PO-CLI-15742,20240311,,,0000134042,20240324,3000,20240311
100,0001000072,20240312,082848,ASOTO,20240312,C,TA,,4176171.18,USD,3000,10,10,S02,005,0000010001,PO-CLI-61150,20240312,,,0000420321,20240407,3000,20240312
100,0001000073,20240313,161552,JPEREZ,20240313,C,TA,,2281984.26,USD,3000,10,10,C01,001,0000010001,PO-CLI-10183,20240313,,,0000680155,20240331,3000,20240313
100,0001000074,20240314,074647,ASOTO,20240314,C,TA,,471870.3,USD,3000,10,10,S02,003,0000010001,PO-CLI-92081,20240314,,,0000665118,20240409,3000,20240314
100,0001000075,20240315,093631,ASOTO,20240315,C,TA,,882045.24,USD,3000,10,10,N02,003,0000010001,PO-CLI-12758,20240315,,,0000325227,20240327,3000,20240315
100,0001000076,20240316,065000,JPEREZ,20240316,C,TA,,2745990.3,USD,3000,10,10,C01,003,0000010000,PO-CLI-21136,20240316,,,0000212150,20240327,3000,20240316
100,0001000077,20240317,120922,ASOTO,20240317,C,TA,,733824.0,USD,3000,10,10,S01,002,0000010001,PO-CLI-99707,20240317,,,0000403434,20240414,3000,20240317
100,0001000078,20240318,071758,MROJAS,20240318,C,TA,,3451851.42,USD,3000,10,10,S01,003,0000010002,PO-CLI-20009,20240318,,,0000827176,20240325,3000,20240318
100,0001000079,20240319,085141,JPEREZ,20240319,C,TA,,4045774.08,USD,3000,10,10,S02,004,0000010001,PO-CLI-82002,20240319,,,0000521250,20240412,3000,20240319
100,0001000080,20240320,102909,ASOTO,20240320,C,TA,,3356448.96,USD,3000,10,10,S02,002,0000010000,PO-CLI-37621,20240320,,,0000868035,20240403,3000,20240320
100,0001000081,20240321,120948,JPEREZ,20240321,C,TA,,812163.78,USD,3000,10,10,S02,002,0000010001,PO-CLI-79133,20240321,,,0000732498,20240406,3000,20240321
100,0001000082,20240322,125910,MROJAS,20240322,C,TA,,3257172.36,USD,3000,10,10,N01,005,0000010000,PO-CLI-59487,20240322,,,0000997273,20240402,3000,20240322
100,0001000083,20240323,070423,ASOTO,20240323,C,TA,,427640.08,USD,3000,10,10,S01,001,0000010010,PO-CLI-41395,20240323,,,0000295916,20240404,3000,20240323
100,0001000084,20240324,062248,MROJAS,20240324,C,TA,,967111.2,USD,3000,10,10,S02,005,0000010001,PO-CLI-35543,20240324,,,0000329749,20240412,3000,20240324
100,0001000085,20240325,160949,ASOTO,20240325,C,TA,,2159380.17,USD,3000,10,10,N02,005,0000010000,PO-CLI-77672,20240325,,,0000764119,20240420,3000,20240325
100,0001000086,20240326,101004,MROJAS,20240326,C,TA,,1243532.18,USD,3000,10,10,C01,003,0000010036,PO-CLI-56316,20240326,,,0000093564,20240404,3000,20240326
100,0001000087,20240327,112305,ASOTO,20240327,C,TA,,465294.72,USD,3000,10,10,S02,005,0000010043,PO-CLI-68994,20240327,,,0000275595,20240424,3000,20240327
100,0001000088,20240328,122104,MROJAS,20240328,C,TA,,4301542.38,USD,3000,10,10,S01,005,0000010001,PO-CLI-73739,20240328,,,0000222965,20240426,3000,20240328
100,0001000089,20240329,121716,ASOTO,20240329,C,TA,,193832.76,USD,3000,10,10,N02,001,0000010013,PO-CLI-28577,20240329,,,0000072624,20240413,3000,20240329
100,0001000090,20240330,125200,ASOTO,20240330,C,TA,,3400913.25,USD,3000,10,10,C01,002,0000010001,PO-CLI-20198,20240330,,,0000757831,20240427,3000,20240330
100,0001000091,20240331,094336,JPEREZ,20240331,C,TA,,1473790.66,USD,3000,10,10,S01,003,0000010008,PO-CLI-12122,20240331,,,0000316612,20240416,3000,20240331
100,0001000092,20240401,155926,JPEREZ,20240401,C,TA,,3094885.05,USD,3000,10,10,S02,005,0000010000,PO-CLI-81399,20240401,,,0000104546,20240428,3000,20240401
100,0001000093,20240402,101953,MROJAS,20240402,C,TA,,1019833.92,USD,3000,10,10,N02,001,0000010001,PO-CLI-64336,20240402,,,0000034262,20240409,3000,20240402
100,0001000094,20240403,180832,JPEREZ,20240403,C,TA,,3168227.97,USD,3000,10,10,C01,004,0000010002,PO-CLI-92223,20240403,,,0000961194,20240418,3000,20240403
100,0001000095,20240404,094157,JPEREZ,20240404,C,TA,,2433108.0,USD,3000,10,10,S01,002,0000010002,PO-CLI-80178,20240404,,,0000881283,20240418,3000,20240404
100,0001000096,20240405,120431,ASOTO,20240405,C,TA,,1628351.19,USD,3000,10,10,N01,002,0000010001,PO-CLI-65038,20240405,,,0000393483,20240422,3000,20240405
100,0001000097,20240406,095523,JPEREZ,20240406,C,TA,,2798146.92,USD,3000,10,10,N02,001,0000010002,PO-CLI-52931,20240406,,,0000145296,20240420,3000,20240406
100,0001000098,20240407,154717,MROJAS,20240407,C,TA,,4061700.75,USD,3000,10,10,C01,001,0000010000,PO-CLI-89599,20240407,,,0000401653,20240427,3000,20240407
100,0001000099,20240408,090413,ASOTO,20240408,C,TA,,1812316.98,USD,3000,10,10,S01,003,0000010000,PO-CLI-29010,20240408,,,0000817381,20240425,3000,20240408
100,0001000100,20240409,090351,MROJAS,20240409,C,TA,,6433316.82,USD,3000,10,10,S02,001,0000010000,PO-CLI-45968,20240409,,,0000441700,20240419,3000,20240409
100,0001000101,20240410,120535,MROJAS,20240410,C,TA,,3265457.7,USD,3000,10,10,S02,005,0000010002,PO-CLI-16169,20240410,,,0000412434,20240426,3000,20240410
100,0001000102,20240411,104410,JPEREZ,20240411,C,TA,,2598346.08,USD,3000,10,10,C01,004,0000010001,PO-CLI-25715,20240411,,,0000132424,20240428,3000,20240411
100,0001000103,20240412,164147,JPEREZ,20240412,C,TA,,759137.47,USD,3000,10,10,N01,001,0000010045,PO-CLI-74828,20240412,,,0000063195,20240425,3000,20240412
100,0001000104,20240413,112428,ASOTO,20240413,C,TA,,285664.5,USD,3000,10,10,C01,002,0000010041,PO-CLI-62455,20240413,,,0000197084,20240422,3000,20240413
100,0001000105,20240414,110328,MROJAS,20240414,C,TA,,3529642.23,USD,3000,10,10,S01,001,0000010001,PO-CLI-16440,20240414,,,0000680130,20240503,3000,20240414
100,0001000106,20240415,122506,JPEREZ,20240415,C,TA,,971605.79,USD,3000,10,10,S01,004,0000010036,PO-CLI-36962,20240415,,,0000179338,20240428,3000,20240415
100,0001000107,20240416,064230,MROJAS,20240416,C,TA,,1599503.28,USD,3000,10,10,S01,001,0000010000,PO-CLI-33267,20240416,,,0000276649,20240425,3000,20240416
100,0001000108,20240417,102329,JPEREZ,20240417,C,TA,,1266701.32,USD,3000,10,10,S01,003,0000010033,PO-CLI-53743,20240417,,,0000934672,20240510,3000,20240417
100,0001000109,20240418,164334,MROJAS,20240418,C,TA,,1541207.76,USD,3000,10,10,C01,002,0000010002,PO-CLI-44774,20240418,,,0000954548,20240516,3000,20240418
100,0001000110,20240419,103935,ASOTO,20240419,C,TA,,2271244.26,USD,3000,10,10,N02,003,0000010001,PO-CLI-73809,20240419,,,0000302263,20240428,3000,20240419
100,0001000111,20240420,090230,MROJAS,20240420,C,TA,,1500419.7,USD,3000,10,10,N02,004,0000010032,PO-CLI-65386,20240420,,,0000418501,20240430,3000,20240420
100,0001000112,20240421,113259,ASOTO,20240421,C,TA,,1627796.13,USD,3000,10,10,S01,004,0000010002,PO-CLI-56424,20240421,,,0000448444,20240512,3000,20240421
100,0001000113,20240422,135303,JPEREZ,20240422,C,TA,,411073.8,USD,3000,10,10,N01,003,0000010001,PO-CLI-95181,20240422,,,0000112249,20240509,3000,20240422
100,0001000114,20240423,175900,MROJAS,20240423,C,TA,,725817.69,USD,3000,10,10,C01,002,0000010001,PO-CLI-25035,20240423,,,0000070404,20240430,3000,20240423
100,0001000115,20240424,161510,ASOTO,20240424,C,TA,,1231976.61,USD,3000,10,10,C01,002,0000010015,PO-CLI-72411,20240424,,,0000503806,20240510,3000,20240424
100,0001000116,20240425,082956,ASOTO,20240425,C,TA,,1178880.84,USD,3000,10,10,S02,003,0000010001,PO-CLI-11195,20240425,,,0000166005,20240513,3000,20240425
100,0001000117,20240426,161136,ASOTO,20240426,C,TA,,2533274.64,USD,3000,10,10,C01,005,0000010002,PO-CLI-43977,20240426,,,0000135709,20240525,3000,20240426
100,0001000118,20240427,165301,JPEREZ,20240427,C,TA,,4590610.38,USD,3000,10,10,S01,001,0000010000,PO-CLI-68918,20240427,,,0000395973,20240508,3000,20240427
100,0001000119,20240428,111143,ASOTO,20240428,C,TA,,1571006.88,USD,3000,10,10,C01,004,0000010000,PO-CLI-34921,20240428,,,0000872838,20240511,3000,20240428
100,0001000120,20240429,142101,JPEREZ,20240429,C,TA,,491550.07,USD,3000,10,10,S01,003,0000010019,PO-CLI-61173,20240429,,,0000737436,20240517,3000,20240429
100,0001000121,20240430,115948,ASOTO,20240430,C,TA,,3040041.72,USD,3000,10,10,N01,002,0000010001,PO-CLI-74691,20240430,,,0000076454,20240525,3000,20240430
100,0001000122,20240501,164347,JPEREZ,20240501,C,TA,,570356.03,USD,3000,10,10,C01,004,0000010027,PO-CLI-16834,20240501,,,0000405930,20240520,3000,20240501
100,0001000123,20240502,131118,JPEREZ,20240502,C,TA,,2079985.92,USD,3000,10,10,S01,003,0000010000,PO-CLI-88959,20240502,,,0000687037,20240516,3000,20240502
100,0001000124,20240503,131705,JPEREZ,20240503,C,TA,,1549887.52,USD,3000,10,10,N02,005,0000010049,PO-CLI-40216,20240503,,,0000319752,20240602,3000,20240503
100,0001000125,20240504,122428,JPEREZ,20240504,C,TA,,640503.5,USD,3000,10,10,N02,002,0000010005,PO-CLI-59719,20240504,,,0000193386,20240601,3000,20240504
100,0001000126,20240505,125527,ASOTO,20240505,C,TA,,497898.45,USD,3000,10,10,N01,001,0000010037,PO-CLI-82521,20240505,,,0000406964,20240604,3000,20240505
100,0001000127,20240506,102317,ASOTO,20240506,C,TA,,3072433.68,USD,3000,10,10,S01,005,0000010002,PO-CLI-11617,20240506,,,0000130345,20240522,3000,20240506
100,0001000128,20240507,160314,JPEREZ,20240507,C,TA,,3625100.82,USD,3000,10,10,N01,002,0000010002,PO-CLI-99711,20240507,,,0000531334,20240528,3000,20240507
100,0001000129,20240508,182321,MROJAS,20240508,C,TA,,2611226.25,USD,3000,10,10,S01,004,0000010000,PO-CLI-48543,20240508,,,0000652127,20240515,3000,20240508
100,0001000130,20240509,144626,ASOTO,20240509,C,TA,,4676688.3,USD,3000,10,10,N01,005,0000010002,PO-CLI-16741,20240509,,,0000636593,20240531,3000,20240509
100,0001000131,20240510,182614,ASOTO,20240510,C,TA,,3215428.26,USD,3000,10,10,N02,005,0000010001,PO-CLI-42105,20240510,,,0000814166,20240530,3000,20240510
100,0001000132,20240511,175930,ASOTO,20240511,C,TA,,233607.5,USD,3000,10,10,N01,002,0000010029,PO-CLI-14466,20240511,,,0000874365,20240531,3000,20240511
100,0001000133,20240512,121848,MROJAS,20240512,C,TA,,3913863.87,USD,3000,10,10,N02,002,0000010001,PO-CLI-87274,20240512,,,0000960855,20240604,3000,20240512
100,0001000134,20240513,171327,ASOTO,20240513,C,TA,,3951279.96,USD,3000,10,10,S01,005,0000010002,PO-CLI-90671,20240513,,,0000329639,20240523,3000,20240513
100,0001000135,20240514,152746,MROJAS,20240514,C,TA,,3120885.45,USD,3000,10,10,C01,002,0000010002,PO-CLI-69486,20240514,,,0000309269,20240524,3000,20240514
100,0001000136,20240515,120659,ASOTO,20240515,C,TA,,3302701.2,USD,3000,10,10,C01,003,0000010002,PO-CLI-34955,20240515,,,0000882305,20240608,3000,20240515
100,0001000137,20240516,062644,MROJAS,20240516,C,TA,,4294075.2,USD,3000,10,10,C01,004,0000010000,PO-CLI-92709,20240516,,,0000612263,20240530,3000,20240516
100,0001000138,20240517,160722,ASOTO,20240517,C,TA,,679184.95,USD,3000,10,10,S02,002,0000010048,PO-CLI-73404,20240517,,,0000880931,20240608,3000,20240517
100,0001000139,20240518,102826,JPEREZ,20240518,C,TA,,633243.8,USD,3000,10,10,C01,002,0000010027,PO-CLI-80256,20240518,,,0000216218,20240614,3000,20240518
100,0001000140,20240519,142555,ASOTO,20240519,C,TA,,509850.88,USD,3000,10,10,N02,003,0000010033,PO-CLI-31155,20240519,,,0000954890,20240606,3000,20240519
100,0001000141,20240520,174548,ASOTO,20240520,C,TA,,2092793.67,USD,3000,10,10,S02,001,0000010000,PO-CLI-11932,20240520,,,0000778728,20240613,3000,20240520
100,0001000142,20240521,105844,ASOTO,20240521,C,TA,,1564701.84,USD,3000,10,10,C01,002,0000010001,PO-CLI-60123,20240521,,,0000018049,20240612,3000,20240521
100,0001000143,20240522,151505,JPEREZ,20240522,C,TA,,1549826.46,USD,3000,10,10,S02,005,0000010002,PO-CLI-72064,20240522,,,0000548831,20240621,3000,20240522
100,0001000144,20240523,075806,MROJAS,20240523,C,TA,,5424175.62,USD,3000,10,10,N01,004,0000010000,PO-CLI-26683,20240523,,,0000793654,20240530,3000,20240523
100,0001000145,20240524,103343,JPEREZ,20240524,C,TA,,3246409.92,USD,3000,10,10,C01,003,0000010000,PO-CLI-78076,20240524,,,0000633883,20240608,3000,20240524
100,0001000146,20240525,091718,MROJAS,20240525,C,TA,,3539396.76,USD,3000,10,10,C01,003,0000010000,PO-CLI-58139,20240525,,,0000654837,20240613,3000,20240525
100,0001000147,20240526,080910,MROJAS,20240526,C,TA,,3683258.37,USD,3000,10,10,N01,003,0000010002,PO-CLI-20195,20240526,,,0000939476,20240603,3000,20240526
100,0001000148,20240527,133144,MROJAS,20240527,C,TA,,317661.0,USD,3000,10,10,N01,005,0000010013,PO-CLI-67070,20240527,,,0000683769,20240614,3000,20240527
100,0001000149,20240528,104130,MROJAS,20240528,C,TA,,3954798.24,USD,3000,10,10,N01,003,0000010001,PO-CLI-45936,20240528,,,0000655644,20240605,3000,20240528
100,0001000150,20240529,170320,JPEREZ,20240529,C,TA,,182846.65,USD,3000,10,10,C01,003,0000010008,PO-CLI-35451,20240529,,,0000686928,20240624,3000,20240529
100,0001000151,20240530,103812,ASOTO,20240530,C,TA,,512130.6,USD,3000,10,10,C01,004,0000010002,PO-CLI-32671,20240530,,,0000666161,20240629,3000,20240530
100,0001000152,20240531,181050,JPEREZ,20240531,C,TA,,2139352.5,USD,3000,10,10,N02,003,0000010000,PO-CLI-70338,20240531,,,0000085223,20240630,3000,20240531
100,0001000153,20240601,152322,ASOTO,20240601,C,TA,,1977330.21,USD,3000,10,10,C01,004,0000010000,PO-CLI-92709,20240601,,,0000720414,20240613,3000,20240601
100,0001000154,20240602,133720,MROJAS,20240602,C,TA,,3155991.06,USD,3000,10,10,C01,004,0000010000,PO-CLI-96285,20240602,,,0000616973,20240610,3000,20240602
100,0001000155,20240603,121902,JPEREZ,20240603,C,TA,,1970522.86,USD,3000,10,10,C01,001,0000010028,PO-CLI-65179,20240603,,,0000446583,20240618,3000,20240603
