MANDT,EBELN,EBELP,TXZ01,MATNR,MENGE,MEINS,NETPR,PEINH,BRTWR,WAERS,BUKRS,WERKS,LGORT,MATKL,LOEKZ,STATU,PSTYP,KNTTP,BANFN,BNFPO,ELIKZ,RETPO,AEDAT
100,4500000014,00010,Material 10284,10284,34,UN,135.41,1,4603.94,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240114
100,4500000014,00020,Material 10242,10242,46,UN,451.74,1,20780.04,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240114
100,4500000015,00010,Material 80038,80038,38,AU,336.36,1,12781.68,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240115
100,4500000016,00010,Material 10006,10006,31,UN,761.93,1,23619.83,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240116
100,4500000017,00010,Material 10234,10234,14,UN,313.78,1,4392.92,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240117
100,4500000017,00020,Material 10009,10009,30,UN,436.82,1,13104.6,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240117
100,4500000018,00010,Material 10266,10266,49,UN,498.81,1,24441.69,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240118
100,4500000018,00020,Material 10291,10291,24,UN,127.43,1,3058.32,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240118
100,4500000018,00030,Material 10177,10177,19,UN,505.67,1,9607.73,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240118
100,4500000018,00040,Material 10210,10210,30,UN,718.77,1,21563.1,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240118
100,4500000019,00010,Material 10230,10230,24,UN,101.28,1,2430.72,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240119
100,4500000019,00020,Material 10172,10172,49,UN,418.57,1,20509.93,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240119
100,4500000019,00030,Material 10043,10043,28,UN,278.24,1,7790.72,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240119
100,4500000019,00040,Material 10023,10023,23,UN,551.63,1,12687.49,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240119
100,4500000020,00010,Material 10107,10107,38,UN,749.0,1,28462.0,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240120
100,4500000020,00020,Material 30018,30018,3,L,151.03,1,453.09,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240120
100,4500000020,00030,Material 10177,10177,28,UN,298.46,1,8356.88,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240120
100,4500000020,00040,Material 10109,10109,16,UN,627.9,1,10046.4,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240120
100,4500000021,00010,Material 10055,10055,38,UN,637.07,1,24208.66,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240121
100,4500000021,00020,Material 10212,10212,7,UN,328.38,1,2298.66,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240121
100,4500000021,00030,Material 10246,10246,44,UN,165.27,1,7271.88,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240121
100,4500000021,00040,Material 10052,10052,10,UN,246.97,1,2469.7,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240121
100,4500000022,00010,Material 10151,10151,38,UN,794.41,1,30187.58,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240122
100,4500000022,00020,Material 30031,30031,47,L,77.36,1,3635.92,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240122
100,4500000022,00030,Material 80000,80000,36,AU,682.2,1,24559.2,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240122
100,4500000023,00010,Material 10158,10158,25,UN,123.05,1,3076.25,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240123
100,4500000023,00020,Material 10006,10006,13,UN,648.75,1,8433.75,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240123
100,4500000024,00010,Material 10002,10002,15,UN,341.58,1,5123.7,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240124
100,4500000025,00010,Material 10002,10002,18,UN,431.98,1,7775.64,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240125
100,4500000025,00020,Material 10001,10001,33,UN,617.28,1,20370.24,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240125
100,4500000025,00030,Material 10001,10001,23,UN,149.8,1,3445.4,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240125
100,4500000025,00040,Material 10003,10003,11,UN,190.74,1,2098.14,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240125
100,4500000026,00010,Material 10019,10019,9,UN,218.34,1,1965.06,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240126
100,4500000026,00020,Material 10019,10019,24,UN,336.68,1,8080.32,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240126
100,4500000027,00010,Material 10134,10134,7,UN,742.27,1,5195.89,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240127
100,4500000028,00010,Material 10022,10022,46,UN,456.7,1,21008.2,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240128
100,4500000028,00020,Material 10092,10092,14,UN,484.34,1,6780.76,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240128
100,4500000028,00030,Material 10269,10269,36,UN,270.43,1,9735.48,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240128
100,4500000028,00040,Material 10248,10248,41,UN,510.66,1,20937.06,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240128
100,4500000029,00010,Material 10004,10004,21,UN,806.22,1,16930.62,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240129
100,4500000029,00020,Material 10002,10002,20,UN,332.64,1,6652.8,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240129
100,4500000029,00030,Material 10001,10001,11,UN,779.32,1,8572.52,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240129
100,4500000029,00040,Material 10004,10004,10,UN,285.96,1,2859.6,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240129
100,4500000030,00010,Material 10153,10153,24,UN,81.16,1,1947.84,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240130
100,4500000031,00010,Material 10134,10134,8,UN,503.21,1,4025.68,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240131
100,4500000032,00010,Material 10000,10000,33,UN,571.08,1,18845.64,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240201
100,4500000032,00020,Material 10000,10000,7,UN,793.13,1,5551.91,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240201
100,4500000032,00030,Material 10004,10004,9,UN,720.28,1,6482.52,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240201
100,4500000032,00040,Material 10003,10003,43,UN,668.89,1,28762.27,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240201
100,4500000033,00010,Material 10148,10148,5,UN,776.62,1,3883.1,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240202
100,4500000033,00020,Material 10134,10134,6,UN,260.68,1,1564.08,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240202
100,4500000034,00010,Material 10004,10004,22,UN,741.22,1,16306.84,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240203
100,4500000034,00020,Material 30010,30010,15,L,167.43,1,2511.45,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240203
100,4500000034,00030,Material 10059,10059,29,UN,705.41,1,20456.89,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240203
100,4500000035,00010,Material 10293,10293,48,UN,256.17,1,12296.16,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240204
100,4500000036,00010,Material 10035,10035,2,UN,198.45,1,396.9,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240205
100,4500000036,00020,Material 10181,10181,49,UN,732.82,1,35908.18,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240205
100,4500000037,00010,Material 80007,80007,18,AU,642.92,1,11572.56,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240206
100,4500000037,00020,Material 30021,30021,18,L,70.49,1,1268.82,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240206
100,4500000037,00030,Material 10230,10230,17,UN,243.7,1,4142.9,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240206
100,4500000037,00040,Material 10297,10297,40,UN,740.83,1,29633.2,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240206
100,4500000038,00010,Material 30032,30032,40,L,266.7,1,10668.0,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240207
100,4500000038,00020,Material 80022,80022,26,AU,772.6,1,20087.6,USD,1000,1000,0001,GRP_DIEN,,B,0,K,,,,,20240207
100,4500000038,00030,Material 10002,10002,25,UN,62.69,1,1567.25,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240207
100,4500000038,00040,Material 10218,10218,49,UN,656.8,1,32183.2,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240207
100,4500000039,00010,Material 10123,10123,6,UN,564.08,1,3384.48,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240208
100,4500000039,00020,Material 10041,10041,2,UN,797.34,1,1594.68,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240208
100,4500000039,00030,Material 10207,10207,42,UN,299.22,1,12567.24,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240208
100,4500000039,00040,Material 10048,10048,11,UN,291.59,1,3207.49,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240208
100,4500000040,00010,Material 10237,10237,39,UN,275.24,1,10734.36,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240209
100,4500000040,00020,Material 10193,10193,50,UN,526.68,1,26334.0,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240209
100,4500000040,00030,Material 10265,10265,38,UN,253.72,1,9641.36,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240209
100,4500000040,00040,Material 10264,10264,5,UN,400.47,1,2002.35,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240209
100,4500000041,00010,Material 30035,30035,5,L,383.39,1,1916.95,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240210
100,4500000042,00010,Material 10103,10103,3,UN,383.11,1,1149.33,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240211
100,4500000042,00020,Material 10056,10056,5,UN,381.76,1,1908.8,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240211
100,4500000043,00010,Material 10137,10137,19,UN,270.29,1,5135.51,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240212
100,4500000044,00010,Material 80040,80040,43,AU,439.24,1,18887.32,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240213
100,4500000044,00020,Material 10289,10289,47,UN,355.37,1,16702.39,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240213
100,4500000045,00010,Material 30047,30047,44,L,69.89,1,3075.16,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240214
100,4500000045,00020,Material 30022,30022,15,L,320.14,1,4802.1,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240214
100,4500000045,00030,Material 30037,30037,4,L,283.34,1,1133.36,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240214
100,4500000045,00040,Material 10299,10299,38,UN,185.08,1,7033.04,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240214
100,4500000046,00010,Material 10120,10120,7,UN,795.84,1,5570.88,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240215
100,4500000046,00020,Material 10290,10290,20,UN,622.51,1,12450.2,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240215
100,4500000046,00030,Material 10079,10079,18,UN,429.93,1,7738.74,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240215
100,4500000046,00040,Material 30020,30020,10,L,746.82,1,7468.2,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240215
100,4500000047,00010,Material 80018,80018,10,AU,699.32,1,6993.2,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240216
100,4500000047,00020,Material 10198,10198,36,UN,389.93,1,14037.48,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240216
100,4500000048,00010,Material 30041,30041,31,L,738.06,1,22879.86,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240217
100,4500000049,00010,Material 10244,10244,15,UN,668.57,1,10028.55,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240218
100,4500000050,00010,Material 30007,30007,38,L,467.97,1,17782.86,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240219
100,4500000050,00020,Material 10189,10189,49,UN,247.23,1,12114.27,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240219
100,4500000050,00030,Material 10205,10205,14,UN,664.71,1,9305.94,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240219
100,4500000050,00040,Material 30005,30005,39,L,385.9,1,15050.1,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240219
100,4500000051,00010,Material 10004,10004,46,UN,273.6,1,12585.6,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240220
100,4500000051,00020,Material 10001,10001,31,UN,686.05,1,21267.55,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240220
100,4500000052,00010,Material 10168,10168,2,UN,515.85,1,1031.7,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240221
100,4500000053,00010,Material 10042,10042,21,UN,368.1,1,7730.1,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240222
100,4500000054,00010,Material 10071,10071,6,UN,691.56,1,4149.36,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240223
100,4500000055,00010,Material 80040,80040,25,AU,674.16,1,16854.0,USD,1000,1000,0001,GRP_DIEN,,B,0,K,,,,,20240224
100,4500000055,00020,Material 10026,10026,49,UN,560.3,1,27454.7,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240224
100,4500000055,00030,Material 10287,10287,26,UN,408.55,1,10622.3,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240224
100,4500000056,00010,Material 80046,80046,30,AU,761.52,1,22845.6,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240225
100,4500000056,00020,Material 80021,80021,27,AU,692.06,1,18685.62,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240225
100,4500000056,00030,Material 10162,10162,47,UN,364.24,1,17119.28,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240225
100,4500000056,00040,Material 10070,10070,9,UN,790.87,1,7117.83,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240225
100,4500000057,00010,Material 10269,10269,47,UN,788.04,1,37037.88,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240226
100,4500000058,00010,Material 10097,10097,27,UN,246.35,1,6651.45,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240227
100,4500000058,00020,Material 30003,30003,41,L,377.27,1,15468.07,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240227
100,4500000059,00010,Material 10140,10140,1,UN,677.45,1,677.45,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240228
100,4500000059,00020,Material 10115,10115,37,UN,549.82,1,20343.34,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240228
100,4500000059,00030,Material 10292,10292,47,UN,221.09,1,10391.23,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240228
100,4500000059,00040,Material 10175,10175,9,UN,641.3,1,5771.7,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240228
100,4500000060,00010,Material 10236,10236,38,UN,245.03,1,9311.14,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240229
100,4500000060,00020,Material 80019,80019,37,AU,290.66,1,10754.42,USD,1000,1000,0001,GRP_DIEN,,B,0,K,,,,,20240229
100,4500000061,00010,Material 30039,30039,16,L,651.08,1,10417.28,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240301
100,4500000061,00020,Material 80022,80022,28,AU,625.06,1,17501.68,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240301
100,4500000061,00030,Material 10277,10277,28,UN,430.47,1,12053.16,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240301
100,4500000062,00010,Material 10000,10000,39,UN,696.78,1,27174.42,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240302
100,4500000062,00020,Material 10002,10002,36,UN,509.71,1,18349.56,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240302
100,4500000062,00030,Material 10002,10002,21,UN,692.23,1,14536.83,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240302
100,4500000063,00010,Material 80012,80012,4,AU,178.8,1,715.2,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240303
100,4500000063,00020,Material 10295,10295,7,UN,566.07,1,3962.49,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240303
100,4500000063,00030,Material 30015,30015,47,L,249.83,1,11742.01,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240303
100,4500000063,00040,Material 10120,10120,30,UN,176.22,1,5286.6,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240303
100,4500000064,00010,Material 10004,10004,20,UN,125.22,1,2504.4,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240304
100,4500000064,00020,Material 10000,10000,12,UN,620.24,1,7442.88,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240304
100,4500000064,00030,Material 10004,10004,38,UN,571.0,1,21698.0,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240304
100,4500000065,00010,Material 30040,30040,23,L,100.59,1,2313.57,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240305
100,4500000065,00020,Material 10074,10074,17,UN,589.86,1,10027.62,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240305
100,4500000065,00030,Material 80049,80049,6,AU,105.12,1,630.72,USD,1000,1000,0001,GRP_DIEN,,B,0,K,,,,,20240305
100,4500000066,00010,Material 10075,10075,23,UN,344.71,1,7928.33,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240306
100,4500000066,00020,Material 10237,10237,28,UN,128.05,1,3585.4,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240306
100,4500000066,00030,Material 10186,10186,36,UN,268.75,1,9675.0,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240306
100,4500000066,00040,Material 10082,10082,14,UN,206.0,1,2884.0,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240306
100,4500000067,00010,Material 10004,10004,11,UN,625.45,1,6879.95,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240307
100,4500000067,00020,Material 10004,10004,9,UN,520.15,1,4681.35,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240307
100,4500000068,00010,Material 10087,10087,41,UN,381.03,1,15622.23,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240308
100,4500000069,00010,Material 10068,10068,1,UN,98.04,1,98.04,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240309
100,4500000069,00020,Material 10011,10011,36,UN,271.2,1,9763.2,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240309
100,4500000069,00030,Material 10240,10240,17,UN,672.2,1,11427.4,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240309
100,4500000069,00040,Material 10223,10223,44,UN,587.35,1,25843.4,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240309
100,4500000070,00010,Material 10002,10002,22,UN,142.24,1,3129.28,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240310
100,4500000070,00020,Material 10000,10000,2,UN,921.3,1,1842.6,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240310
100,4500000070,00030,Material 10000,10000,33,UN,163.34,1,5390.22,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240310
100,4500000071,00010,Material 30003,30003,4,L,59.65,1,238.6,USD,1000,1000,0001,GRP_HIBE,,B,0,K,,,,,20240311
100,4500000071,00020,Material 10005,10005,29,UN,150.98,1,4378.42,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240311
100,4500000072,00010,Material 80042,80042,18,AU,562.1,1,10117.8,USD,1000,1000,0001,GRP_DIEN,,B,0,K,,,,,20240312
100,4500000072,00020,Material 80027,80027,18,AU,198.12,1,3566.16,USD,1000,1000,0001,GRP_DIEN,,B,0,K,,,,,20240312
100,4500000073,00010,Material 10004,10004,8,UN,844.08,1,6752.64,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240313
100,4500000074,00010,Material 30022,30022,44,L,279.16,1,12283.04,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240314
100,4500000074,00020,Material 10105,10105,1,UN,240.68,1,240.68,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240314
100,4500000074,00030,Material 10129,10129,5,UN,757.15,1,3785.75,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240314
100,4500000074,00040,Material 10050,10050,28,UN,343.22,1,9610.16,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240314
100,4500000075,00010,Material 10282,10282,2,UN,124.89,1,249.78,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240315
100,4500000075,00020,Material 80035,80035,7,AU,417.35,1,2921.45,USD,2000,2000,0001,GRP_DIEN,,B,0,K,,,,,20240315
100,4500000075,00030,Material 10073,10073,38,UN,759.03,1,28843.14,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240315
100,4500000076,00010,Material 10000,10000,21,UN,796.31,1,16722.51,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240316
100,4500000076,00020,Material 10004,10004,27,UN,613.75,1,16571.25,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240316
100,4500000076,00030,Material 10003,10003,7,UN,717.73,1,5024.11,USD,1000,1000,0001,GRP_ROH,,B,0,K,,,,,20240316
100,4500000077,00010,Material 30006,30006,11,L,149.87,1,1648.57,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240317
100,4500000077,00020,Material 10282,10282,4,UN,293.28,1,1173.12,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240317
100,4500000078,00010,Material 30028,30028,4,L,765.99,1,3063.96,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240318
100,4500000078,00020,Material 30015,30015,20,L,422.71,1,8454.2,USD,2000,2000,0001,GRP_HIBE,,B,0,K,,,,,20240318
100,4500000078,00030,Material 10089,10089,22,UN,609.61,1,13411.42,USD,2000,2000,0001,GRP_ROH,,B,0,K,,,,,20240318
