MANDT,AUFNR,AUART,AUTYP,ERNAM,ERDAT,AENAM,AEDAT,KTEXT,BUKRS,WERKS,GSBER,KOKRS,KOSTL,KOSTV,IDAT1,IDAT2,IDAT3,PHAS0,PHAS1,PHAS2,PHAS3,LOEKZ,EQUNR,TPLNR
100,000000800011,PM02,30,PM_AUTO,20240111,,20240111,Mant. Preventivo 000000000001000115,1000,1000,,1000,MANT100,MANT100,20240111,20240112,,X,X,X,,,000000000001000115,1000-MIN-01
100,000000800012,PM02,30,PM_AUTO,20240112,,20240112,Mant. Preventivo 000000000001000061,1000,1000,,1000,MANT100,MANT100,20240112,20240113,,X,X,X,,,000000000001000061,1000-PLAN-01
100,000000800013,PM02,30,PM_AUTO,20240113,,20240113,Mant. Preventivo 000000000001000003,1000,1000,,1000,MANT100,MANT100,20240113,20240114,,X,X,X,,,000000000001000003,1000-REF-03
100,000000800014,PM02,30,PM_AUTO,20240114,,20240114,Mant. Preventivo 000000000001000172,1000,1000,,1000,MANT100,MANT100,20240114,20240115,,X,X,X,,,000000000001000172,1000-MANT-01
100,000000800015,PM02,30,PM_AUTO,20240115,,20240115,Mant. Preventivo 000000000001000077,1000,1000,,1000,MANT100,MANT100,20240115,20240116,,X,X,X,,,000000000001000077,1000-PLAN-02
100,000000800016,PM02,30,PM_AUTO,20240116,,20240116,Mant. Preventivo 000000000001000167,1000,1000,,1000,MANT100,MANT100,20240116,20240117,,X,X,X,,,000000000001000167,1000-PLAN-02
100,000000800017,PM02,30,PM_AUTO,20240117,,20240117,Mant. Preventivo 000000000001000010,1000,1000,,1000,MANT100,MANT100,20240117,20240118,,X,X,X,,,000000000001000010,1000-MIN-02
100,000000800018,PM02,30,PM_AUTO,20240118,,20240118,Mant. Preventivo 000000000001000070,1000,1000,,1000,MANT100,MANT100,20240118,20240119,,X,X,X,,,000000000001000070,1000-PLAN-02
100,000000800019,PM02,30,PM_AUTO,20240119,,20240119,Mant. Preventivo 000000000001000185,1000,1000,,1000,MANT100,MANT100,20240119,20240120,,X,X,X,,,000000000001000185,1000-REF-01
100,000000800020,PM02,30,PM_AUTO,20240120,,20240120,Mant. Preventivo 000000000001000157,1000,1000,,1000,MANT100,MANT100,20240120,20240121,,X,X,X,,,000000000001000157,1000-LAB-03
100,000000800021,PM02,30,PM_AUTO,20240121,,20240121,Mant. Preventivo 000000000001000164,1000,1000,,1000,MANT100,MANT100,20240121,20240122,,X,X,X,,,000000000001000164,1000-MANT-02
100,000000800022,PM02,30,PM_AUTO,20240122,,20240122,Mant. Preventivo 000000000001000174,1000,1000,,1000,MANT100,MANT100,20240122,20240123,,X,X,X,,,000000000001000174,1000-PLAN-01
100,000000800023,PM02,30,PM_AUTO,20240123,,20240123,Mant. Preventivo 000000000001000131,1000,1000,,1000,MANT100,MANT100,20240123,20240124,,X,X,X,,,000000000001000131,1000-REF-02
100,000000800024,PM02,30,PM_AUTO,20240124,,20240124,Mant. Preventivo 000000000001000160,1000,1000,,1000,MANT100,MANT100,20240124,20240125,,X,X,X,,,000000000001000160,1000-MANT-01
100,000000800025,PM02,30,PM_AUTO,20240125,,20240125,Mant. Preventivo 000000000001000181,1000,1000,,1000,MANT100,MANT100,20240125,20240126,,X,X,X,,,000000000001000181,1000-REF-01
100,000000800026,PM02,30,PM_AUTO,20240126,,20240126,Mant. Preventivo 000000000001000104,1000,1000,,1000,MANT100,MANT100,20240126,20240127,,X,X,X,,,000000000001000104,1000-LAB-02
100,000000800027,PM02,30,PM_AUTO,20240127,,20240127,Mant. Preventivo 000000000001000133,1000,1000,,1000,MANT100,MANT100,20240127,20240128,,X,X,X,,,000000000001000133,1000-MANT-02
100,000000800028,PM02,30,PM_AUTO,20240128,,20240128,Mant. Preventivo 000000000001000005,1000,1000,,1000,MANT100,MANT100,20240128,20240129,,X,X,X,,,000000000001000005,1000-LAB-02
100,000000800029,PM02,30,PM_AUTO,20240129,,20240129,Mant. Preventivo 000000000001000046,1000,1000,,1000,MANT100,MANT100,20240129,20240130,,X,X,X,,,000000000001000046,1000-MIN-02
100,000000800030,PM02,30,PM_AUTO,20240130,,20240130,Mant. Preventivo 000000000001000118,1000,1000,,1000,MANT100,MANT100,20240130,20240131,,X,X,X,,,000000000001000118,1000-LAB-02
100,000000800031,PM02,30,PM_AUTO,20240131,,20240131,Mant. Preventivo 000000000001000130,1000,1000,,1000,MANT100,MANT100,20240131,20240201,,X,X,X,,,000000000001000130,1000-MIN-02
100,000000800032,PM02,30,PM_AUTO,20240201,,20240201,Mant. Preventivo 000000000001000185,1000,1000,,1000,MANT100,MANT100,20240201,20240202,,X,X,X,,,000000000001000185,1000-REF-01
100,000000800033,PM01,30,PM_AUTO,20240202,,20240202,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240202,20240209,,X,X,,,,000000000001000122,1000-PLAN-01
100,000000800034,PM02,30,PM_AUTO,20240202,,20240202,Mant. Preventivo 000000000001000001,1000,1000,,1000,MANT100,MANT100,20240202,20240203,,X,X,X,,,000000000001000001,1000-REF-01
100,000000800035,PM02,30,PM_AUTO,20240203,,20240203,Mant. Preventivo 000000000001000000,1000,1000,,1000,MANT100,MANT100,20240203,20240204,,X,X,X,,,000000000001000000,1000-REF-02
100,000000800036,PM02,30,PM_AUTO,20240204,,20240204,Mant. Preventivo 000000000001000045,1000,1000,,1000,MANT100,MANT100,20240204,20240205,,X,X,X,,,000000000001000045,1000-MIN-01
100,000000800037,PM02,30,PM_AUTO,20240205,,20240205,Mant. Preventivo 000000000001000163,1000,1000,,1000,MANT100,MANT100,20240205,20240206,,X,X,X,,,000000000001000163,1000-LAB-03
100,000000800038,PM02,30,PM_AUTO,20240206,,20240206,Mant. Preventivo 000000000001000016,1000,1000,,1000,MANT100,MANT100,20240206,20240207,,X,X,X,,,000000000001000016,1000-MIN-03
100,000000800039,PM01,30,PM_AUTO,20240207,,20240207,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240207,20240214,,X,X,,,,000000000001000037,1000-REF-02
100,000000800040,PM02,30,PM_AUTO,20240207,,20240207,Mant. Preventivo 000000000001000104,1000,1000,,1000,MANT100,MANT100,20240207,20240208,,X,X,X,,,000000000001000104,1000-LAB-02
100,000000800041,PM02,30,PM_AUTO,20240208,,20240208,Mant. Preventivo 000000000001000187,1000,1000,,1000,MANT100,MANT100,20240208,20240209,,X,X,X,,,000000000001000187,1000-MIN-01
100,000000800042,PM02,30,PM_AUTO,20240209,,20240209,Mant. Preventivo 000000000001000000,1000,1000,,1000,MANT100,MANT100,20240209,20240210,,X,X,X,,,000000000001000000,1000-REF-02
100,000000800043,PM02,30,PM_AUTO,20240210,,20240210,Mant. Preventivo 000000000001000165,1000,1000,,1000,MANT100,MANT100,20240210,20240211,,X,X,X,,,000000000001000165,1000-LAB-03
100,000000800044,PM02,30,PM_AUTO,20240211,,20240211,Mant. Preventivo 000000000001000173,1000,1000,,1000,MANT100,MANT100,20240211,20240212,,X,X,X,,,000000000001000173,1000-REF-02
100,000000800045,PM02,30,PM_AUTO,20240212,,20240212,Mant. Preventivo 000000000001000040,1000,1000,,1000,MANT100,MANT100,20240212,20240213,,X,X,X,,,000000000001000040,1000-PLAN-02
100,000000800046,PM02,30,PM_AUTO,20240213,,20240213,Mant. Preventivo 000000000001000127,1000,1000,,1000,MANT100,MANT100,20240213,20240214,,X,X,X,,,000000000001000127,1000-LAB-03
100,000000800047,PM02,30,PM_AUTO,20240214,,20240214,Mant. Preventivo 000000000001000108,1000,1000,,1000,MANT100,MANT100,20240214,20240215,,X,X,X,,,000000000001000108,1000-LAB-01
100,000000800048,PM02,30,PM_AUTO,20240215,,20240215,Mant. Preventivo 000000000001000102,1000,1000,,1000,MANT100,MANT100,20240215,20240216,,X,X,X,,,000000000001000102,1000-MIN-03
100,000000800049,PM02,30,PM_AUTO,20240216,,20240216,Mant. Preventivo 000000000001000137,1000,1000,,1000,MANT100,MANT100,20240216,20240217,,X,X,X,,,000000000001000137,1000-LAB-02
100,000000800050,PM02,30,PM_AUTO,20240217,,20240217,Mant. Preventivo 000000000001000008,1000,1000,,1000,MANT100,MANT100,20240217,20240218,,X,X,X,,,000000000001000008,1000-MIN-01
100,000000800051,PM02,30,PM_AUTO,20240218,,20240218,Mant. Preventivo 000000000001000172,1000,1000,,1000,MANT100,MANT100,20240218,20240219,,X,X,X,,,000000000001000172,1000-MANT-01
100,000000800052,PM02,30,PM_AUTO,20240219,,20240219,Mant. Preventivo 000000000001000165,1000,1000,,1000,MANT100,MANT100,20240219,20240220,,X,X,X,,,000000000001000165,1000-LAB-03
100,000000800053,PM02,30,PM_AUTO,20240220,,20240220,Mant. Preventivo 000000000001000133,1000,1000,,1000,MANT100,MANT100,20240220,20240221,,X,X,X,,,000000000001000133,1000-MANT-02
100,000000800054,PM01,30,PM_AUTO,20240221,,20240221,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240221,20240228,,X,X,,,,000000000001000005,1000-LAB-02
100,000000800055,PM02,30,PM_AUTO,20240221,,20240221,Mant. Preventivo 000000000001000094,1000,1000,,1000,MANT100,MANT100,20240221,20240222,,X,X,X,,,000000000001000094,1000-REF-01
100,000000800056,PM02,30,PM_AUTO,20240222,,20240222,Mant. Preventivo 000000000001000039,1000,1000,,1000,MANT100,MANT100,20240222,20240223,,X,X,X,,,000000000001000039,1000-MANT-01
100,000000800057,PM01,30,PM_AUTO,20240223,,20240223,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240223,20240301,,X,X,,,,000000000001000133,1000-MANT-02
100,000000800058,PM02,30,PM_AUTO,20240223,,20240223,Mant. Preventivo 000000000001000016,1000,1000,,1000,MANT100,MANT100,20240223,20240224,,X,X,X,,,000000000001000016,1000-MIN-03
100,000000800059,PM02,30,PM_AUTO,20240224,,20240224,Mant. Preventivo 000000000001000174,1000,1000,,1000,MANT100,MANT100,20240224,20240225,,X,X,X,,,000000000001000174,1000-PLAN-01
100,000000800060,PM01,30,PM_AUTO,20240225,,20240225,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240225,20240303,,X,X,,,,000000000001000187,1000-MIN-01
100,000000800061,PM02,30,PM_AUTO,20240225,,20240225,Mant. Preventivo 000000000001000158,1000,1000,,1000,MANT100,MANT100,20240225,20240226,,X,X,X,,,000000000001000158,1000-PLAN-03
100,000000800062,PM02,30,PM_AUTO,20240226,,20240226,Mant. Preventivo 000000000001000177,1000,1000,,1000,MANT100,MANT100,20240226,20240227,,X,X,X,,,000000000001000177,1000-REF-01
100,000000800063,PM01,30,PM_AUTO,20240227,,20240227,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240227,20240305,,X,X,,,,000000000001000056,1000-REF-02
100,000000800064,PM02,30,PM_AUTO,20240227,,20240227,Mant. Preventivo 000000000001000015,1000,1000,,1000,MANT100,MANT100,20240227,20240228,,X,X,X,,,000000000001000015,1000-REF-01
100,000000800065,PM02,30,PM_AUTO,20240228,,20240228,Mant. Preventivo 000000000001000082,1000,1000,,1000,MANT100,MANT100,20240228,20240229,,X,X,X,,,000000000001000082,1000-REF-02
100,000000800066,PM02,30,PM_AUTO,20240229,,20240229,Mant. Preventivo 000000000001000123,1000,1000,,1000,MANT100,MANT100,20240229,20240301,,X,X,X,,,000000000001000123,1000-MIN-03
100,000000800067,PM01,30,PM_AUTO,20240301,,20240301,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240301,20240308,,X,X,,,,000000000001000008,1000-MIN-01
100,000000800068,PM02,30,PM_AUTO,20240301,,20240301,Mant. Preventivo 000000000001000172,1000,1000,,1000,MANT100,MANT100,20240301,20240302,,X,X,X,,,000000000001000172,1000-MANT-01
100,000000800069,PM02,30,PM_AUTO,20240302,,20240302,Mant. Preventivo 000000000001000122,1000,1000,,1000,MANT100,MANT100,20240302,20240303,,X,X,X,,,000000000001000122,1000-PLAN-01
100,000000800070,PM02,30,PM_AUTO,20240303,,20240303,Mant. Preventivo 000000000001000018,1000,1000,,1000,MANT100,MANT100,20240303,20240304,,X,X,X,,,000000000001000018,1000-MIN-02
100,000000800071,PM01,30,PM_AUTO,20240304,,20240304,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240304,20240311,,X,X,,,,000000000001000168,1000-MIN-02
100,000000800072,PM02,30,PM_AUTO,20240304,,20240304,Mant. Preventivo 000000000001000071,1000,1000,,1000,MANT100,MANT100,20240304,20240305,,X,X,X,,,000000000001000071,1000-MIN-02
100,000000800073,PM02,30,PM_AUTO,20240305,,20240305,Mant. Preventivo 000000000001000061,1000,1000,,1000,MANT100,MANT100,20240305,20240306,,X,X,X,,,000000000001000061,1000-PLAN-01
100,000000800074,PM01,30,PM_AUTO,20240306,,20240306,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240306,20240313,,X,X,,,,000000000001000089,1000-MANT-03
100,000000800075,PM02,30,PM_AUTO,20240306,,20240306,Mant. Preventivo 000000000001000023,1000,1000,,1000,MANT100,MANT100,20240306,20240307,,X,X,X,,,000000000001000023,1000-MIN-01
100,000000800076,PM02,30,PM_AUTO,20240307,,20240307,Mant. Preventivo 000000000001000051,1000,1000,,1000,MANT100,MANT100,20240307,20240308,,X,X,X,,,000000000001000051,1000-REF-03
100,000000800077,PM02,30,PM_AUTO,20240308,,20240308,Mant. Preventivo 000000000001000185,1000,1000,,1000,MANT100,MANT100,20240308,20240309,,X,X,X,,,000000000001000185,1000-REF-01
100,000000800078,PM01,30,PM_AUTO,20240309,,20240309,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240309,20240316,,X,X,,,,000000000001000010,1000-MIN-02
100,000000800079,PM02,30,PM_AUTO,20240309,,20240309,Mant. Preventivo 000000000001000013,1000,1000,,1000,MANT100,MANT100,20240309,20240310,,X,X,X,,,000000000001000013,1000-REF-03
100,000000800080,PM02,30,PM_AUTO,20240310,,20240310,Mant. Preventivo 000000000001000083,1000,1000,,1000,MANT100,MANT100,20240310,20240311,,X,X,X,,,000000000001000083,1000-PLAN-02
100,000000800081,PM02,30,PM_AUTO,20240311,,20240311,Mant. Preventivo 000000000001000104,1000,1000,,1000,MANT100,MANT100,20240311,20240312,,X,X,X,,,000000000001000104,1000-LAB-02
100,000000800082,PM02,30,PM_AUTO,20240312,,20240312,Mant. Preventivo 000000000001000134,1000,1000,,1000,MANT100,MANT100,20240312,20240313,,X,X,X,,,000000000001000134,1000-LAB-03
100,000000800083,PM02,30,PM_AUTO,20240313,,20240313,Mant. Preventivo 000000000001000045,1000,1000,,1000,MANT100,MANT100,20240313,20240314,,X,X,X,,,000000000001000045,1000-MIN-01
100,000000800084,PM02,30,PM_AUTO,20240314,,20240314,Mant. Preventivo 000000000001000133,1000,1000,,1000,MANT100,MANT100,20240314,20240315,,X,X,X,,,000000000001000133,1000-MANT-02
100,000000800085,PM02,30,PM_AUTO,20240315,,20240315,Mant. Preventivo 000000000001000077,1000,1000,,1000,MANT100,MANT100,20240315,20240316,,X,X,X,,,000000000001000077,1000-PLAN-02
100,000000800086,PM02,30,PM_AUTO,20240316,,20240316,Mant. Preventivo 000000000001000173,1000,1000,,1000,MANT100,MANT100,20240316,20240317,,X,X,X,,,000000000001000173,1000-REF-02
100,000000800087,PM01,30,PM_AUTO,20240317,,20240317,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240317,20240324,,X,X,,,,000000000001000070,1000-PLAN-02
100,000000800088,PM02,30,PM_AUTO,20240317,,20240317,Mant. Preventivo 000000000001000128,1000,1000,,1000,MANT100,MANT100,20240317,20240318,,X,X,X,,,000000000001000128,1000-MANT-01
100,000000800089,PM02,30,PM_AUTO,20240318,,20240318,Mant. Preventivo 000000000001000096,1000,1000,,1000,MANT100,MANT100,20240318,20240319,,X,X,X,,,000000000001000096,1000-REF-03
100,000000800090,PM01,30,PM_AUTO,20240319,,20240319,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240319,20240326,,X,X,,,,000000000001000056,1000-REF-02
100,000000800091,PM02,30,PM_AUTO,20240319,,20240319,Mant. Preventivo 000000000001000151,1000,1000,,1000,MANT100,MANT100,20240319,20240320,,X,X,X,,,000000000001000151,1000-REF-03
100,000000800092,PM01,30,PM_AUTO,20240320,,20240320,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240320,20240327,,X,X,,,,000000000001000089,1000-MANT-03
100,000000800093,PM02,30,PM_AUTO,20240320,,20240320,Mant. Preventivo 000000000001000045,1000,1000,,1000,MANT100,MANT100,20240320,20240321,,X,X,X,,,000000000001000045,1000-MIN-01
100,000000800094,PM02,30,PM_AUTO,20240321,,20240321,Mant. Preventivo 000000000001000157,1000,1000,,1000,MANT100,MANT100,20240321,20240322,,X,X,X,,,000000000001000157,1000-LAB-03
100,000000800095,PM02,30,PM_AUTO,20240322,,20240322,Mant. Preventivo 000000000001000054,1000,1000,,1000,MANT100,MANT100,20240322,20240323,,X,X,X,,,000000000001000054,1000-REF-01
100,000000800096,PM02,30,PM_AUTO,20240323,,20240323,Mant. Preventivo 000000000001000070,1000,1000,,1000,MANT100,MANT100,20240323,20240324,,X,X,X,,,000000000001000070,1000-PLAN-02
100,000000800097,PM02,30,PM_AUTO,20240324,,20240324,Mant. Preventivo 000000000001000176,1000,1000,,1000,MANT100,MANT100,20240324,20240325,,X,X,X,,,000000000001000176,1000-MANT-01
100,000000800098,PM01,30,PM_AUTO,20240325,,20240325,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240325,20240401,,X,X,,,,000000000001000167,1000-PLAN-02
100,000000800099,PM02,30,PM_AUTO,20240325,,20240325,Mant. Preventivo 000000000001000126,1000,1000,,1000,MANT100,MANT100,20240325,20240326,,X,X,X,,,000000000001000126,1000-MIN-02
100,000000800100,PM02,30,PM_AUTO,20240326,,20240326,Mant. Preventivo 000000000001000091,1000,1000,,1000,MANT100,MANT100,20240326,20240327,,X,X,X,,,000000000001000091,1000-PLAN-03
100,000000800101,PM02,30,PM_AUTO,20240327,,20240327,Mant. Preventivo 000000000001000092,1000,1000,,1000,MANT100,MANT100,20240327,20240328,,X,X,X,,,000000000001000092,1000-MIN-01
100,000000800102,PM02,30,PM_AUTO,20240328,,20240328,Mant. Preventivo 000000000001000060,1000,1000,,1000,MANT100,MANT100,20240328,20240329,,X,X,X,,,000000000001000060,1000-MIN-02
100,000000800103,PM02,30,PM_AUTO,20240329,,20240329,Mant. Preventivo 000000000001000154,1000,1000,,1000,MANT100,MANT100,20240329,20240330,,X,X,X,,,000000000001000154,1000-MANT-01
100,000000800104,PM02,30,PM_AUTO,20240330,,20240330,Mant. Preventivo 000000000001000189,1000,1000,,1000,MANT100,MANT100,20240330,20240331,,X,X,X,,,000000000001000189,1000-MANT-03
100,000000800105,PM01,30,PM_AUTO,20240331,,20240331,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240331,20240407,,X,X,,,,000000000001000151,1000-REF-03
100,000000800106,PM02,30,PM_AUTO,20240331,,20240331,Mant. Preventivo 000000000001000064,1000,1000,,1000,MANT100,MANT100,20240331,20240401,,X,X,X,,,000000000001000064,1000-PLAN-03
100,000000800107,PM02,30,PM_AUTO,20240401,,20240401,Mant. Preventivo 000000000001000094,1000,1000,,1000,MANT100,MANT100,20240401,20240402,,X,X,X,,,000000000001000094,1000-REF-01
100,000000800108,PM02,30,PM_AUTO,20240402,,20240402,Mant. Preventivo 000000000001000070,1000,1000,,1000,MANT100,MANT100,20240402,20240403,,X,X,X,,,000000000001000070,1000-PLAN-02
100,000000800109,PM02,30,PM_AUTO,20240403,,20240403,Mant. Preventivo 000000000001000144,1000,1000,,1000,MANT100,MANT100,20240403,20240404,,X,X,X,,,000000000001000144,1000-PLAN-03
100,000000800110,PM01,30,PM_AUTO,20240404,,20240404,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240404,20240411,,X,X,,,,000000000001000151,1000-REF-03
100,000000800111,PM02,30,PM_AUTO,20240404,,20240404,Mant. Preventivo 000000000001000113,1000,1000,,1000,MANT100,MANT100,20240404,20240405,,X,X,X,,,000000000001000113,1000-MIN-03
100,000000800112,PM02,30,PM_AUTO,20240405,,20240405,Mant. Preventivo 000000000001000075,1000,1000,,1000,MANT100,MANT100,20240405,20240406,,X,X,X,,,000000000001000075,1000-PLAN-03
100,000000800113,PM02,30,PM_AUTO,20240406,,20240406,Mant. Preventivo 000000000001000022,1000,1000,,1000,MANT100,MANT100,20240406,20240407,,X,X,X,,,000000000001000022,1000-PLAN-03
100,000000800114,PM01,30,PM_AUTO,20240407,,20240407,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240407,20240414,,X,X,,,,000000000001000143,1000-PLAN-01
100,000000800115,PM02,30,PM_AUTO,20240407,,20240407,Mant. Preventivo 000000000001000045,1000,1000,,1000,MANT100,MANT100,20240407,20240408,,X,X,X,,,000000000001000045,1000-MIN-01
100,000000800116,PM02,30,PM_AUTO,20240408,,20240408,Mant. Preventivo 000000000001000154,1000,1000,,1000,MANT100,MANT100,20240408,20240409,,X,X,X,,,000000000001000154,1000-MANT-01
100,000000800117,PM01,30,PM_AUTO,20240409,,20240409,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240409,20240416,,X,X,,,,000000000001000126,1000-MIN-02
100,000000800118,PM02,30,PM_AUTO,20240409,,20240409,Mant. Preventivo 000000000001000010,1000,1000,,1000,MANT100,MANT100,20240409,20240410,,X,X,X,,,000000000001000010,1000-MIN-02
100,000000800119,PM02,30,PM_AUTO,20240410,,20240410,Mant. Preventivo 000000000001000196,1000,1000,,1000,MANT100,MANT100,20240410,20240411,,X,X,X,,,000000000001000196,1000-LAB-01
100,000000800120,PM02,30,PM_AUTO,20240411,,20240411,Mant. Preventivo 000000000001000164,1000,1000,,1000,MANT100,MANT100,20240411,20240412,,X,X,X,,,000000000001000164,1000-MANT-02
100,000000800121,PM02,30,PM_AUTO,20240412,,20240412,Mant. Preventivo 000000000001000131,1000,1000,,1000,MANT100,MANT100,20240412,20240413,,X,X,X,,,000000000001000131,1000-REF-02
100,000000800122,PM01,30,PM_AUTO,20240413,,20240413,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240413,20240420,,X,X,,,,000000000001000179,1000-MIN-01
100,000000800123,PM02,30,PM_AUTO,20240413,,20240413,Mant. Preventivo 000000000001000077,1000,1000,,1000,MANT100,MANT100,20240413,20240414,,X,X,X,,,000000000001000077,1000-PLAN-02
100,000000800124,PM02,30,PM_AUTO,20240414,,20240414,Mant. Preventivo 000000000001000028,1000,1000,,1000,MANT100,MANT100,20240414,20240415,,X,X,X,,,000000000001000028,1000-REF-02
100,000000800125,PM02,30,PM_AUTO,20240415,,20240415,Mant. Preventivo 000000000001000004,1000,1000,,1000,MANT100,MANT100,20240415,20240416,,X,X,X,,,000000000001000004,1000-MIN-03
100,000000800126,PM01,30,PM_AUTO,20240416,,20240416,FALLA CRITICA TRANSMISIÓN - 000000000001,1000,1000,,1000,MANT100,MANT100,20240416,20240423,,X,X,,,,000000000001000010,1000-MIN-02
100,000000800127,PM02,30,PM_AUTO,20240416,,20240416,Mant. Preventivo 000000000001000160,1000,1000,,1000,MANT100,MANT100,20240416,20240417,,X,X,X,,,000000000001000160,1000-MANT-01
100,000000800128,PM02,30,PM_AUTO,20240417,,20240417,Mant. Preventivo 000000000001000165,1000,1000,,1000,MANT100,MANT100,20240417,20240418,,X,X,X,,,000000000001000165,1000-LAB-03
100,000000800129,PM01,30,PM_AUTO,20240418,,20240418,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240418,20240425,,X,X,,,,000000000001000077,1000-PLAN-02
100,000000800130,PM02,30,PM_AUTO,20240418,,20240418,Mant. Preventivo 000000000001000054,1000,1000,,1000,MANT100,MANT100,20240418,20240419,,X,X,X,,,000000000001000054,1000-REF-01
100,000000800131,PM01,30,PM_AUTO,20240419,,20240419,FALLA CRITICA HIDRÁULICO - 0000000000010,1000,1000,,1000,MANT100,MANT100,20240419,20240426,,X,X,,,,000000000001000188,1000-PLAN-02
100,000000800132,PM02,30,PM_AUTO,20240419,,20240419,Mant. Preventivo 000000000001000096,1000,1000,,1000,MANT100,MANT100,20240419,20240420,,X,X,X,,,000000000001000096,1000-REF-03
100,000000800133,PM02,30,PM_AUTO,20240420,,20240420,Mant. Preventivo 000000000001000187,1000,1000,,1000,MANT100,MANT100,20240420,20240421,,X,X,X,,,000000000001000187,1000-MIN-01
100,000000800134,PM02,30,PM_AUTO,20240421,,20240421,Mant. Preventivo 000000000001000148,1000,1000,,1000,MANT100,MANT100,20240421,20240422,,X,X,X,,,000000000001000148,1000-LAB-01
100,000000800135,PM02,30,PM_AUTO,20240422,,20240422,Mant. Preventivo 000000000001000113,1000,1000,,1000,MANT100,MANT100,20240422,20240423,,X,X,X,,,000000000001000113,1000-MIN-03
