MANDT,KUNNR,LAND1,NAME1,NAME2,ORT01,PSTLZ,REGIO,SORTL,STRAS,TELF1,TELFX,ERDAT,ERNAM,KTOKD,SPRAS,LOEVM,AUFSD,LIFSD,STCD1,BRSCH,KUKLA
100,0000010014,US,Castillo Metal Trading Corp,,Houston,3158690,,CASTILLO M,Av. Rosalba Briones 30,+56 800 763 421,,20230101,SAP_MIG,0001,S,,,,,IND0,02
100,0000010015,KR,Segovia Metal Trading Corp,,Busan,7337540,,SEGOVIA ME,Calle Catalina Carrasco 64,+56 800 385 014,,20230101,SAP_MIG,0001,S,,,,,IND0,01
100,0000010016,KR,Pinto Metal Trading Corp,,Seoul,4019650,,PINTO META,Ramón Barros Luco 593 Dpto. 760,+56 2 2559 5148,,20230101,SAP_MIG,0001,S,,,,,MIN0,03
100,0000010017,CN,Burgos Metal Trading Corp,,Beijing,5648230,,BURGOS MET,Santa Rosa 946 Dpto. 644,+56 61 327 3872,,20230101,SAP_MIG,0001,S,,,,,MIN0,01
100,0000010018,CN,Fernández Metal Trading Corp,,Beijing,9513430,,FERNÁNDEZ ,Calle Víctor Aravena 81,+56 72 349 3676,,20230101,SAP_MIG,0001,S,,,,,MTAL,02
100,0000010019,KR,Sepúlveda Metal Trading Corp,,Busan,0163280,,SEPÚLVEDA ,Calle Los Copihues 9278 Of. 9579,+56 42 397 7434,,20230101,SAP_MIG,0001,S,,,,,MIN0,02
100,0000010020,CN,Escobar Metal Trading Corp,,Shanghai,3471430,,ESCOBAR ME,Manuel Rodríguez 422 Piso 2,+56 2 2166 5876,,20230101,SAP_MIG,0001,S,,,,,IND0,02
100,0000010021,KR,Castillo Metal Trading Corp,,Seoul,6690960,,CASTILLO M,Psje. Manuel Rodríguez 968 Of. 4377,+56 32 336 5627,,20230101,SAP_MIG,0001,S,,,,,IND0,03
100,0000010022,CN,Arteaga Metal Trading Corp,,Shenzhen,8069900,,ARTEAGA ME,Camilo Henríquez 4465,+56 53 325 6464,,20230101,SAP_MIG,0001,S,,,,,IND0,01
100,0000010023,CN,Pizarro Metal Trading Corp,,Beijing,8053100,,PIZARRO ME,Calle María Sepúlveda 8193,+56 800 352 991,,20230101,SAP_MIG,0001,S,,,,,MTAL,02
100,0000010024,KR,Ibacache Metal Trading Corp,,Seoul,1904960,,IBACACHE M,Calle Raquel Méndez 1491 Piso 68,+56 2 2785 0671,,20230101,SAP_MIG,0001,S,,,,,IND0,02
100,0000010025,CN,Castañeda Metal Trading Corp,,Shanghai,7262840,,CASTAÑEDA ,Los Digitales 59 Piso 3,+56 61 263 7996,,20230101,SAP_MIG,0001,S,,,,,MIN0,02
100,0000010026,US,Muñoz Metal Trading Corp,,New York,5273540,,MUÑOZ META,Av. Las Manzanillas 18 Of. 4318,+56 9 5477 7014,,20230101,SAP_MIG,0001,S,,,,,MIN0,01
100,0000010027,JP,Orellana Metal Trading Corp,,Osaka,3495780,,ORELLANA M,Pedro Aguirre Cerda 574 Piso 3,+56 600 451 823,,20230101,SAP_MIG,0001,S,,,,,MIN0,03
100,0000010028,US,Mancilla Metal Trading Corp,,New York,4989410,,MANCILLA M,Calle Los Abedules 1824,+56 2 2584 2710,,20230101,SAP_MIG,0001,S,,,,,IND0,02
100,0000010029,CN,Pizarro Metal Trading Corp,,Beijing,7520470,,PIZARRO ME,Calle Antonio Varas 4941,+56 2 2986 9993,,20230101,SAP_MIG,0001,S,,,,,MIN0,01
100,0000010030,KR,Molina Metal Trading Corp,,Busan,7496490,,MOLINA MET,Marion Soto 53,+56 600 323 281,,20230101,SAP_MIG,0001,S,,,,,IND0,03
100,0000010031,US,González Metal Trading Corp,,Los Angeles,7974030,,GONZÁLEZ M,Avda. Los Lirios 4349 Piso 1,+56 600 542 102,,20230101,SAP_MIG,0001,S,,,,,MTAL,02
100,0000010032,CN,Aguilar Metal Trading Corp,,Shanghai,9471740,,AGUILAR ME,Calle Los Tilos 790 Of. 559,+56 2 2139 9049,,20230101,SAP_MIG,0001,S,,,,,IND0,02
100,0000010033,CN,Solís Metal Trading Corp,,Shanghai,2787420,,SOLÍS META,Los Piñones 665 Of. 6128,+56 73 266 8071,,20230101,SAP_MIG,0001,S,,,,,MIN0,01
100,0000010034,KR,Valenzuela Metal Trading Corp,,Seoul,1680870,,VALENZUELA,Calle Gabriela Mistral 17 Dpto. 848,+56 800 510 932,,20230101,SAP_MIG,0001,S,,,,,IND0,02
100,0000010035,JP,Ramos Metal Trading Corp,,Tokyo,8613170,,RAMOS META,Calle Enrique Salinas 8773,+56 9 4563 9821,,20230101,SAP_MIG,0001,S,,,,,MTAL,02
100,0000010036,JP,Caro Metal Trading Corp,,Osaka,6584040,,CARO METAL,Blanca Villalobos 97 Piso 95,+56 9 8475 3396,,20230101,SAP_MIG,0001,S,,,,,IND0,02
100,0000010037,JP,Quintana Metal Trading Corp,,Tokyo,6057660,,QUINTANA M,Los Laureles 8951,+56 2 2287 0262,,20230101,SAP_MIG,0001,S,,,,,IND0,03
100,0000010038,CN,Pizarro Metal Trading Corp,,Shenzhen,4596150,,PIZARRO ME,Las Rosas 97 Dpto. 491,+56 600 561 172,,20230101,SAP_MIG,0001,S,,,,,IND0,02
100,0000010039,KR,Órdenes Metal Trading Corp,,Busan,0504550,,ÓRDENES ME,Calle Eduardo Zapata 7219 Of. 337,+56 72 354 7407,,20230101,SAP_MIG,0001,S,,,,,MIN0,02
100,0000010040,US,Concha Metal Trading Corp,,Houston,2175940,,CONCHA MET,Calle Los Robles 4671 Piso 59,+56 800 106 409,,20230101,SAP_MIG,0001,S,,,,,MTAL,01
100,0000010041,KR,Olave Metal Trading Corp,,Busan,7439530,,OLAVE META,Francisca Mardones 22,+56 600 347 095,,20230101,SAP_MIG,0001,S,,,,,IND0,01
100,0000010042,JP,Soto Metal Trading Corp,,Tokyo,4562320,,SOTO METAL,Oscar Sánchez 2745 Piso 1,+56 2 3568 5160,,20230101,SAP_MIG,0001,S,,,,,IND0,02
100,0000010043,KR,Alvarado Metal Trading Corp,,Seoul,7549650,,ALVARADO M,Calle Valeria Chamorro 8931,+56 800 561 200,,20230101,SAP_MIG,0001,S,,,,,MIN0,02
100,0000010044,CN,Olmedo Metal Trading Corp,,Shenzhen,1138260,,OLMEDO MET,Caupolicán 78 Of. 2267,+56 33 265 3773,,20230101,SAP_MIG,0001,S,,,,,IND0,01
100,0000010045,JP,Soto Metal Trading Corp,,Osaka,5850640,,SOTO METAL,Psje. Manuel Rodríguez 190,+56 45 242 9318,,20230101,SAP_MIG,0001,S,,,,,MTAL,01
100,0000010046,CN,Toledo Metal Trading Corp,,Beijing,3529040,,TOLEDO MET,Calle Humberto Rodríguez 12,+56 45 219 5024,,20230101,SAP_MIG,0001,S,,,,,MTAL,01
100,0000010047,CN,Silva Metal Trading Corp,,Shanghai,6811770,,SILVA META,Cristóbal Peña 5908 Piso 0,+56 57 326 1771,,20230101,SAP_MIG,0001,S,,,,,IND0,01
100,0000010048,CN,García Metal Trading Corp,,Shenzhen,2124990,,GARCÍA MET,Barros Luco 296 Of. 4188,+56 2 3665 7661,,20230101,SAP_MIG,0001,S,,,,,MTAL,01
100,0000010049,JP,Gallardo Metal Trading Corp,,Tokyo,4527110,,GALLARDO M,Calle Lord Thomas Cochrane 998,+56 73 251 6560,,20230101,SAP_MIG,0001,S,,,,,MIN0,03
