MANDT,VBELN,POSNR,MATNR,ARKTX,PSTYV,FKREL,WERKS,LGORT,KWMENG,MEINS,NETWR,WAERK,MATKL,PRODH,KPEIN,KMEIN,NTGEW,GEWEI,ERDAT,ERNAM,UEPOS,ABGRU
100,0001000007,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,102,TON,761965.5,USD,GRP_FERT,MINFERT,7470.25,TON,102000,KG,20240107,JPEREZ,000000,
100,0001000007,000020,50008,Concentrado de Cobre,TAN,A,1000,0001,144,TON,1000146.24,USD,GRP_FERT,MINFERT,6945.46,TON,144000,KG,20240107,MROJAS,000000,
100,0001000008,000010,50005,Concentrado de Cobre,TAN,A,1000,0001,120,TON,949608.0,USD,GRP_FERT,MINFERT,7913.4,TON,120000,KG,20240108,ASOTO,000000,
100,0001000009,000010,50003,Concentrado de Cobre,TAN,A,1000,0001,39,TON,312500.37,USD,GRP_FERT,MINFERT,8012.83,TON,39000,KG,20240109,ASOTO,000000,
100,0001000009,000020,50006,Concentrado de Cobre,TAN,A,1000,0001,49,TON,272047.02,USD,GRP_FERT,MINFERT,5551.98,TON,49000,KG,20240109,MROJAS,000000,
100,0001000010,000010,50004,Concentrado de Cobre,TAN,A,1000,0001,73,TON,482384.73,USD,GRP_FERT,MINFERT,6608.01,TON,73000,KG,20240110,ASOTO,000000,
100,0001000010,000020,50008,Concentrado de Cobre,TAN,A,1000,0001,58,TON,457399.6,USD,GRP_FERT,MINFERT,7886.2,TON,58000,KG,20240110,MROJAS,000000,
100,0001000010,000030,50005,Concentrado de Cobre,TAN,A,1000,0001,21,TON,174468.21,USD,GRP_FERT,MINFERT,8308.01,TON,21000,KG,20240110,ASOTO,000000,
100,0001000011,000010,50003,Concentrado de Cobre,TAN,A,1000,0001,93,TON,655342.17,USD,GRP_FERT,MINFERT,7046.69,TON,93000,KG,20240111,MROJAS,000000,
100,0001000011,000020,50008,Concentrado de Cobre,TAN,A,1000,0001,189,TON,1517327.91,USD,GRP_FERT,MINFERT,8028.19,TON,189000,KG,20240111,JPEREZ,000000,
100,0001000012,000010,50009,Concentrado de Cobre,TAN,A,1000,0001,276,TON,2168970.84,USD,GRP_FERT,MINFERT,7858.59,TON,276000,KG,20240112,ASOTO,000000,
100,0001000012,000020,50008,Concentrado de Cobre,TAN,A,1000,0001,288,TON,1709380.8,USD,GRP_FERT,MINFERT,5935.35,TON,288000,KG,20240112,MROJAS,000000,
100,0001000012,000030,50004,Concentrado de Cobre,TAN,A,1000,0001,279,TON,2145437.46,USD,GRP_FERT,MINFERT,7689.74,TON,279000,KG,20240112,ASOTO,000000,
100,0001000013,000010,50007,Concentrado de Cobre,TAN,A,1000,0001,74,TON,664967.7,USD,GRP_FERT,MINFERT,8986.05,TON,74000,KG,20240113,ASOTO,000000,
100,0001000013,000020,50007,Concentrado de Cobre,TAN,A,1000,0001,73,TON,605553.25,USD,GRP_FERT,MINFERT,8295.25,TON,73000,KG,20240113,JPEREZ,000000,
100,0001000013,000030,50008,Concentrado de Cobre,TAN,A,1000,0001,36,TON,249806.16,USD,GRP_FERT,MINFERT,6939.06,TON,36000,KG,20240113,MROJAS,000000,
100,0001000014,000010,50009,Concentrado de Cobre,TAN,A,1000,0001,219,TON,1137617.4,USD,GRP_FERT,MINFERT,5194.6,TON,219000,KG,20240114,MROJAS,000000,
100,0001000015,000010,50007,Concentrado de Cobre,TAN,A,1000,0001,117,TON,990449.46,USD,GRP_FERT,MINFERT,8465.38,TON,117000,KG,20240115,MROJAS,000000,
100,0001000015,000020,50001,Concentrado de Cobre,TAN,A,1000,0001,297,TON,2274428.97,USD,GRP_FERT,MINFERT,7658.01,TON,297000,KG,20240115,MROJAS,000000,
100,0001000016,000010,50008,Concentrado de Cobre,TAN,A,1000,0001,132,TON,1056294.36,USD,GRP_FERT,MINFERT,8002.23,TON,132000,KG,20240116,ASOTO,000000,
100,0001000016,000020,50000,Concentrado de Cobre,TAN,A,1000,0001,105,TON,801467.1,USD,GRP_FERT,MINFERT,7633.02,TON,105000,KG,20240116,ASOTO,000000,
100,0001000016,000030,50002,Concentrado de Cobre,TAN,A,1000,0001,66,TON,402590.1,USD,GRP_FERT,MINFERT,6099.85,TON,66000,KG,20240116,JPEREZ,000000,
100,0001000017,000010,50004,Concentrado de Cobre,TAN,A,1000,0001,216,TON,1666316.88,USD,GRP_FERT,MINFERT,7714.43,TON,216000,KG,20240117,JPEREZ,000000,
100,0001000018,000010,50008,Concentrado de Cobre,TAN,A,1000,0001,216,TON,1136555.28,USD,GRP_FERT,MINFERT,5261.83,TON,216000,KG,20240118,JPEREZ,000000,
100,0001000018,000020,50006,Concentrado de Cobre,TAN,A,1000,0001,147,TON,1272276.18,USD,GRP_FERT,MINFERT,8654.94,TON,147000,KG,20240118,JPEREZ,000000,
100,0001000019,000010,50009,Concentrado de Cobre,TAN,A,1000,0001,171,TON,1301693.04,USD,GRP_FERT,MINFERT,7612.24,TON,171000,KG,20240119,JPEREZ,000000,
100,0001000019,000020,50000,Concentrado de Cobre,TAN,A,1000,0001,81,TON,707456.43,USD,GRP_FERT,MINFERT,8734.03,TON,81000,KG,20240119,MROJAS,000000,
100,0001000020,000010,50005,Concentrado de Cobre,TAN,A,1000,0001,53,TON,472683.68,USD,GRP_FERT,MINFERT,8918.56,TON,53000,KG,20240120,ASOTO,000000,
100,0001000020,000020,50007,Concentrado de Cobre,TAN,A,1000,0001,54,TON,323120.34,USD,GRP_FERT,MINFERT,5983.71,TON,54000,KG,20240120,MROJAS,000000,
100,0001000020,000030,50005,Concentrado de Cobre,TAN,A,1000,0001,46,TON,314603.2,USD,GRP_FERT,MINFERT,6839.2,TON,46000,KG,20240120,ASOTO,000000,
100,0001000021,000010,50009,Concentrado de Cobre,TAN,A,1000,0001,65,TON,425555.0,USD,GRP_FERT,MINFERT,6547.0,TON,65000,KG,20240121,ASOTO,000000,
100,0001000021,000020,50000,Concentrado de Cobre,TAN,A,1000,0001,35,TON,239776.95,USD,GRP_FERT,MINFERT,6850.77,TON,35000,KG,20240121,JPEREZ,000000,
100,0001000022,000010,50001,Concentrado de Cobre,TAN,A,1000,0001,165,TON,1200607.65,USD,GRP_FERT,MINFERT,7276.41,TON,165000,KG,20240122,MROJAS,000000,
100,0001000022,000020,50002,Concentrado de Cobre,TAN,A,1000,0001,270,TON,1559271.6,USD,GRP_FERT,MINFERT,5775.08,TON,270000,KG,20240122,ASOTO,000000,
100,0001000023,000010,50000,Concentrado de Cobre,TAN,A,1000,0001,183,TON,1231624.77,USD,GRP_FERT,MINFERT,6730.19,TON,183000,KG,20240123,MROJAS,000000,
100,0001000023,000020,50004,Concentrado de Cobre,TAN,A,1000,0001,105,TON,810672.45,USD,GRP_FERT,MINFERT,7720.69,TON,105000,KG,20240123,MROJAS,000000,
100,0001000023,000030,50007,Concentrado de Cobre,TAN,A,1000,0001,198,TON,1399667.94,USD,GRP_FERT,MINFERT,7069.03,TON,198000,KG,20240123,JPEREZ,000000,
100,0001000024,000010,50005,Concentrado de Cobre,TAN,A,1000,0001,156,TON,934223.16,USD,GRP_FERT,MINFERT,5988.61,TON,156000,KG,20240124,MROJAS,000000,
100,0001000024,000020,50003,Concentrado de Cobre,TAN,A,1000,0001,189,TON,1574383.23,USD,GRP_FERT,MINFERT,8330.07,TON,189000,KG,20240124,MROJAS,000000,
100,0001000024,000030,50008,Concentrado de Cobre,TAN,A,1000,0001,150,TON,1316128.5,USD,GRP_FERT,MINFERT,8774.19,TON,150000,KG,20240124,ASOTO,000000,
100,0001000025,000010,50003,Concentrado de Cobre,TAN,A,1000,0001,288,TON,2347171.2,USD,GRP_FERT,MINFERT,8149.9,TON,288000,KG,20240125,ASOTO,000000,
100,0001000025,000020,50000,Concentrado de Cobre,TAN,A,1000,0001,234,TON,1529349.12,USD,GRP_FERT,MINFERT,6535.68,TON,234000,KG,20240125,MROJAS,000000,
100,0001000026,000010,50000,Concentrado de Cobre,TAN,A,1000,0001,108,TON,674640.36,USD,GRP_FERT,MINFERT,6246.67,TON,108000,KG,20240126,MROJAS,000000,
100,0001000027,000010,50003,Concentrado de Cobre,TAN,A,1000,0001,45,TON,340299.9,USD,GRP_FERT,MINFERT,7562.22,TON,45000,KG,20240127,JPEREZ,000000,
100,0001000027,000020,50001,Concentrado de Cobre,TAN,A,1000,0001,63,TON,362717.46,USD,GRP_FERT,MINFERT,5757.42,TON,63000,KG,20240127,MROJAS,000000,
100,0001000028,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,46,TON,303657.5,USD,GRP_FERT,MINFERT,6601.25,TON,46000,KG,20240128,JPEREZ,000000,
100,0001000028,000020,50005,Concentrado de Cobre,TAN,A,1000,0001,21,TON,111193.32,USD,GRP_FERT,MINFERT,5294.92,TON,21000,KG,20240128,JPEREZ,000000,
100,0001000028,000030,50008,Concentrado de Cobre,TAN,A,1000,0001,34,TON,189366.74,USD,GRP_FERT,MINFERT,5569.61,TON,34000,KG,20240128,MROJAS,000000,
100,0001000029,000010,50007,Concentrado de Cobre,TAN,A,1000,0001,150,TON,971784.0,USD,GRP_FERT,MINFERT,6478.56,TON,150000,KG,20240129,MROJAS,000000,
100,0001000029,000020,50002,Concentrado de Cobre,TAN,A,1000,0001,261,TON,2325095.01,USD,GRP_FERT,MINFERT,8908.41,TON,261000,KG,20240129,ASOTO,000000,
100,0001000030,000010,50004,Concentrado de Cobre,TAN,A,1000,0001,108,TON,907849.08,USD,GRP_FERT,MINFERT,8406.01,TON,108000,KG,20240130,ASOTO,000000,
100,0001000030,000020,50007,Concentrado de Cobre,TAN,A,1000,0001,138,TON,1091468.22,USD,GRP_FERT,MINFERT,7909.19,TON,138000,KG,20240130,MROJAS,000000,
100,0001000030,000030,50009,Concentrado de Cobre,TAN,A,1000,0001,84,TON,476257.32,USD,GRP_FERT,MINFERT,5669.73,TON,84000,KG,20240130,MROJAS,000000,
100,0001000031,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,279,TON,1570446.36,USD,GRP_FERT,MINFERT,5628.84,TON,279000,KG,20240131,MROJAS,000000,
100,0001000031,000020,50004,Concentrado de Cobre,TAN,A,1000,0001,270,TON,1441540.8,USD,GRP_FERT,MINFERT,5339.04,TON,270000,KG,20240131,JPEREZ,000000,
100,0001000032,000010,50008,Concentrado de Cobre,TAN,A,1000,0001,90,TON,732914.1,USD,GRP_FERT,MINFERT,8143.49,TON,90000,KG,20240201,JPEREZ,000000,
100,0001000032,000020,50001,Concentrado de Cobre,TAN,A,1000,0001,105,TON,554965.95,USD,GRP_FERT,MINFERT,5285.39,TON,105000,KG,20240201,JPEREZ,000000,
100,0001000032,000030,50008,Concentrado de Cobre,TAN,A,1000,0001,135,TON,855229.05,USD,GRP_FERT,MINFERT,6335.03,TON,135000,KG,20240201,ASOTO,000000,
100,0001000033,000010,50003,Concentrado de Cobre,TAN,A,1000,0001,80,TON,474791.2,USD,GRP_FERT,MINFERT,5934.89,TON,80000,KG,20240202,ASOTO,000000,
100,0001000034,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,74,TON,572985.7,USD,GRP_FERT,MINFERT,7743.05,TON,74000,KG,20240203,MROJAS,000000,
100,0001000035,000010,50009,Concentrado de Cobre,TAN,A,1000,0001,231,TON,1745438.31,USD,GRP_FERT,MINFERT,7556.01,TON,231000,KG,20240204,MROJAS,000000,
100,0001000035,000020,50001,Concentrado de Cobre,TAN,A,1000,0001,123,TON,666321.75,USD,GRP_FERT,MINFERT,5417.25,TON,123000,KG,20240204,ASOTO,000000,
100,0001000036,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,81,TON,645778.17,USD,GRP_FERT,MINFERT,7972.57,TON,81000,KG,20240205,MROJAS,000000,
100,0001000036,000020,50003,Concentrado de Cobre,TAN,A,1000,0001,36,TON,305344.8,USD,GRP_FERT,MINFERT,8481.8,TON,36000,KG,20240205,MROJAS,000000,
100,0001000036,000030,50006,Concentrado de Cobre,TAN,A,1000,0001,80,TON,450809.6,USD,GRP_FERT,MINFERT,5635.12,TON,80000,KG,20240205,ASOTO,000000,
100,0001000037,000010,50009,Concentrado de Cobre,TAN,A,1000,0001,42,TON,279728.82,USD,GRP_FERT,MINFERT,6660.21,TON,42000,KG,20240206,JPEREZ,000000,
100,0001000037,000020,50009,Concentrado de Cobre,TAN,A,1000,0001,75,TON,512348.25,USD,GRP_FERT,MINFERT,6831.31,TON,75000,KG,20240206,ASOTO,000000,
100,0001000038,000010,50007,Concentrado de Cobre,TAN,A,1000,0001,123,TON,739361.61,USD,GRP_FERT,MINFERT,6011.07,TON,123000,KG,20240207,ASOTO,000000,
100,0001000038,000020,50000,Concentrado de Cobre,TAN,A,1000,0001,237,TON,1210328.19,USD,GRP_FERT,MINFERT,5106.87,TON,237000,KG,20240207,ASOTO,000000,
100,0001000039,000010,50002,Concentrado de Cobre,TAN,A,1000,0001,66,TON,490244.7,USD,GRP_FERT,MINFERT,7427.95,TON,66000,KG,20240208,JPEREZ,000000,
100,0001000040,000010,50001,Concentrado de Cobre,TAN,A,1000,0001,207,TON,1606607.73,USD,GRP_FERT,MINFERT,7761.39,TON,207000,KG,20240209,MROJAS,000000,
100,0001000040,000020,50000,Concentrado de Cobre,TAN,A,1000,0001,288,TON,1445374.08,USD,GRP_FERT,MINFERT,5018.66,TON,288000,KG,20240209,MROJAS,000000,
100,0001000040,000030,50003,Concentrado de Cobre,TAN,A,1000,0001,153,TON,994282.74,USD,GRP_FERT,MINFERT,6498.58,TON,153000,KG,20240209,JPEREZ,000000,
100,0001000041,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,105,TON,622611.15,USD,GRP_FERT,MINFERT,5929.63,TON,105000,KG,20240210,JPEREZ,000000,
100,0001000041,000020,50005,Concentrado de Cobre,TAN,A,1000,0001,183,TON,1042091.67,USD,GRP_FERT,MINFERT,5694.49,TON,183000,KG,20240210,MROJAS,000000,
100,0001000042,000010,50005,Concentrado de Cobre,TAN,A,1000,0001,300,TON,2335578.0,USD,GRP_FERT,MINFERT,7785.26,TON,300000,KG,20240211,ASOTO,000000,
100,0001000042,000020,50002,Concentrado de Cobre,TAN,A,1000,0001,186,TON,1060445.52,USD,GRP_FERT,MINFERT,5701.32,TON,186000,KG,20240211,ASOTO,000000,
100,0001000042,000030,50005,Concentrado de Cobre,TAN,A,1000,0001,243,TON,1280622.15,USD,GRP_FERT,MINFERT,5270.05,TON,243000,KG,20240211,JPEREZ,000000,
100,0001000043,000010,50000,Concentrado de Cobre,TAN,A,1000,0001,150,TON,1304046.0,USD,GRP_FERT,MINFERT,8693.64,TON,150000,KG,20240212,ASOTO,000000,
100,0001000043,000020,50007,Concentrado de Cobre,TAN,A,1000,0001,186,TON,1029895.02,USD,GRP_FERT,MINFERT,5537.07,TON,186000,KG,20240212,MROJAS,000000,
100,0001000043,000030,50000,Concentrado de Cobre,TAN,A,1000,0001,258,TON,2107116.96,USD,GRP_FERT,MINFERT,8167.12,TON,258000,KG,20240212,MROJAS,000000,
100,0001000044,000010,50002,Concentrado de Cobre,TAN,A,1000,0001,95,TON,683562.05,USD,GRP_FERT,MINFERT,7195.39,TON,95000,KG,20240213,JPEREZ,000000,
100,0001000045,000010,50007,Concentrado de Cobre,TAN,A,1000,0001,222,TON,1558699.74,USD,GRP_FERT,MINFERT,7021.17,TON,222000,KG,20240214,ASOTO,000000,
100,0001000045,000020,50006,Concentrado de Cobre,TAN,A,1000,0001,117,TON,968575.14,USD,GRP_FERT,MINFERT,8278.42,TON,117000,KG,20240214,MROJAS,000000,
100,0001000046,000010,50005,Concentrado de Cobre,TAN,A,1000,0001,246,TON,1628082.12,USD,GRP_FERT,MINFERT,6618.22,TON,246000,KG,20240215,MROJAS,000000,
100,0001000046,000020,50006,Concentrado de Cobre,TAN,A,1000,0001,201,TON,1313766.15,USD,GRP_FERT,MINFERT,6536.15,TON,201000,KG,20240215,MROJAS,000000,
100,0001000046,000030,50009,Concentrado de Cobre,TAN,A,1000,0001,87,TON,577258.05,USD,GRP_FERT,MINFERT,6635.15,TON,87000,KG,20240215,JPEREZ,000000,
100,0001000047,000010,50004,Concentrado de Cobre,TAN,A,1000,0001,97,TON,661722.36,USD,GRP_FERT,MINFERT,6821.88,TON,97000,KG,20240216,ASOTO,000000,
100,0001000048,000010,50004,Concentrado de Cobre,TAN,A,1000,0001,72,TON,576709.2,USD,GRP_FERT,MINFERT,8009.85,TON,72000,KG,20240217,ASOTO,000000,
100,0001000048,000020,50001,Concentrado de Cobre,TAN,A,1000,0001,33,TON,248975.76,USD,GRP_FERT,MINFERT,7544.72,TON,33000,KG,20240217,MROJAS,000000,
100,0001000048,000030,50002,Concentrado de Cobre,TAN,A,1000,0001,54,TON,431725.68,USD,GRP_FERT,MINFERT,7994.92,TON,54000,KG,20240217,ASOTO,000000,
100,0001000049,000010,50002,Concentrado de Cobre,TAN,A,1000,0001,132,TON,796938.12,USD,GRP_FERT,MINFERT,6037.41,TON,132000,KG,20240218,MROJAS,000000,
100,0001000049,000020,50007,Concentrado de Cobre,TAN,A,1000,0001,300,TON,2595567.0,USD,GRP_FERT,MINFERT,8651.89,TON,300000,KG,20240218,JPEREZ,000000,
100,0001000049,000030,50002,Concentrado de Cobre,TAN,A,1000,0001,90,TON,555525.0,USD,GRP_FERT,MINFERT,6172.5,TON,90000,KG,20240218,MROJAS,000000,
100,0001000050,000010,50009,Concentrado de Cobre,TAN,A,1000,0001,74,TON,469618.8,USD,GRP_FERT,MINFERT,6346.2,TON,74000,KG,20240219,ASOTO,000000,
100,0001000050,000020,50005,Concentrado de Cobre,TAN,A,1000,0001,60,TON,496043.4,USD,GRP_FERT,MINFERT,8267.39,TON,60000,KG,20240219,MROJAS,000000,
100,0001000051,000010,50000,Concentrado de Cobre,TAN,A,1000,0001,183,TON,927173.16,USD,GRP_FERT,MINFERT,5066.52,TON,183000,KG,20240220,MROJAS,000000,
100,0001000052,000010,50000,Concentrado de Cobre,TAN,A,1000,0001,36,TON,251701.2,USD,GRP_FERT,MINFERT,6991.7,TON,36000,KG,20240221,JPEREZ,000000,
100,0001000052,000020,50004,Concentrado de Cobre,TAN,A,1000,0001,90,TON,805399.2,USD,GRP_FERT,MINFERT,8948.88,TON,90000,KG,20240221,MROJAS,000000,
100,0001000052,000030,50002,Concentrado de Cobre,TAN,A,1000,0001,77,TON,679155.4,USD,GRP_FERT,MINFERT,8820.2,TON,77000,KG,20240221,MROJAS,000000,
100,0001000053,000010,50003,Concentrado de Cobre,TAN,A,1000,0001,279,TON,2250232.65,USD,GRP_FERT,MINFERT,8065.35,TON,279000,KG,20240222,ASOTO,000000,
100,0001000053,000020,50001,Concentrado de Cobre,TAN,A,1000,0001,189,TON,1230019.56,USD,GRP_FERT,MINFERT,6508.04,TON,189000,KG,20240222,ASOTO,000000,
100,0001000054,000010,50003,Concentrado de Cobre,TAN,A,1000,0001,207,TON,1846315.8,USD,GRP_FERT,MINFERT,8919.4,TON,207000,KG,20240223,MROJAS,000000,
100,0001000054,000020,50005,Concentrado de Cobre,TAN,A,1000,0001,108,TON,764533.08,USD,GRP_FERT,MINFERT,7079.01,TON,108000,KG,20240223,ASOTO,000000,
100,0001000054,000030,50009,Concentrado de Cobre,TAN,A,1000,0001,144,TON,781392.96,USD,GRP_FERT,MINFERT,5426.34,TON,144000,KG,20240223,JPEREZ,000000,
100,0001000055,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,27,TON,240963.39,USD,GRP_FERT,MINFERT,8924.57,TON,27000,KG,20240224,MROJAS,000000,
100,0001000055,000020,50002,Concentrado de Cobre,TAN,A,1000,0001,46,TON,386044.88,USD,GRP_FERT,MINFERT,8392.28,TON,46000,KG,20240224,JPEREZ,000000,
100,0001000056,000010,50002,Concentrado de Cobre,TAN,A,1000,0001,61,TON,488553.27,USD,GRP_FERT,MINFERT,8009.07,TON,61000,KG,20240225,ASOTO,000000,
100,0001000057,000010,50002,Concentrado de Cobre,TAN,A,1000,0001,81,TON,436119.39,USD,GRP_FERT,MINFERT,5384.19,TON,81000,KG,20240226,MROJAS,000000,
100,0001000057,000020,50002,Concentrado de Cobre,TAN,A,1000,0001,78,TON,426612.42,USD,GRP_FERT,MINFERT,5469.39,TON,78000,KG,20240226,ASOTO,000000,
100,0001000057,000030,50005,Concentrado de Cobre,TAN,A,1000,0001,285,TON,1919557.65,USD,GRP_FERT,MINFERT,6735.29,TON,285000,KG,20240226,JPEREZ,000000,
100,0001000058,000010,50008,Concentrado de Cobre,TAN,A,1000,0001,144,TON,733263.84,USD,GRP_FERT,MINFERT,5092.11,TON,144000,KG,20240227,ASOTO,000000,
100,0001000058,000020,50009,Concentrado de Cobre,TAN,A,1000,0001,243,TON,1481060.7,USD,GRP_FERT,MINFERT,6094.9,TON,243000,KG,20240227,ASOTO,000000,
100,0001000059,000010,50008,Concentrado de Cobre,TAN,A,1000,0001,105,TON,841473.15,USD,GRP_FERT,MINFERT,8014.03,TON,105000,KG,20240228,JPEREZ,000000,
100,0001000059,000020,50001,Concentrado de Cobre,TAN,A,1000,0001,129,TON,1089793.29,USD,GRP_FERT,MINFERT,8448.01,TON,129000,KG,20240228,ASOTO,000000,
100,0001000059,000030,50002,Concentrado de Cobre,TAN,A,1000,0001,60,TON,433133.4,USD,GRP_FERT,MINFERT,7218.89,TON,60000,KG,20240228,MROJAS,000000,
100,0001000060,000010,50007,Concentrado de Cobre,TAN,A,1000,0001,180,TON,1276320.6,USD,GRP_FERT,MINFERT,7090.67,TON,180000,KG,20240229,MROJAS,000000,
100,0001000060,000020,50009,Concentrado de Cobre,TAN,A,1000,0001,264,TON,1859183.04,USD,GRP_FERT,MINFERT,7042.36,TON,264000,KG,20240229,ASOTO,000000,
100,0001000060,000030,50001,Concentrado de Cobre,TAN,A,1000,0001,75,TON,446130.0,USD,GRP_FERT,MINFERT,5948.4,TON,75000,KG,20240229,JPEREZ,000000,
100,0001000061,000010,50004,Concentrado de Cobre,TAN,A,1000,0001,132,TON,1037226.96,USD,GRP_FERT,MINFERT,7857.78,TON,132000,KG,20240301,ASOTO,000000,
100,0001000061,000020,50008,Concentrado de Cobre,TAN,A,1000,0001,291,TON,1645945.47,USD,GRP_FERT,MINFERT,5656.17,TON,291000,KG,20240301,JPEREZ,000000,
100,0001000061,000030,50005,Concentrado de Cobre,TAN,A,1000,0001,225,TON,1466048.25,USD,GRP_FERT,MINFERT,6515.77,TON,225000,KG,20240301,ASOTO,000000,
100,0001000062,000010,50009,Concentrado de Cobre,TAN,A,1000,0001,246,TON,1324011.36,USD,GRP_FERT,MINFERT,5382.16,TON,246000,KG,20240302,MROJAS,000000,
100,0001000062,000020,50009,Concentrado de Cobre,TAN,A,1000,0001,168,TON,1210636.56,USD,GRP_FERT,MINFERT,7206.17,TON,168000,KG,20240302,ASOTO,000000,
100,0001000063,000010,50005,Concentrado de Cobre,TAN,A,1000,0001,153,TON,1180067.58,USD,GRP_FERT,MINFERT,7712.86,TON,153000,KG,20240303,MROJAS,000000,
100,0001000063,000020,50007,Concentrado de Cobre,TAN,A,1000,0001,129,TON,871503.36,USD,GRP_FERT,MINFERT,6755.84,TON,129000,KG,20240303,MROJAS,000000,
100,0001000063,000030,50007,Concentrado de Cobre,TAN,A,1000,0001,252,TON,1549114.56,USD,GRP_FERT,MINFERT,6147.28,TON,252000,KG,20240303,MROJAS,000000,
100,0001000064,000010,50008,Concentrado de Cobre,TAN,A,1000,0001,105,TON,695298.45,USD,GRP_FERT,MINFERT,6621.89,TON,105000,KG,20240304,ASOTO,000000,
100,0001000064,000020,50003,Concentrado de Cobre,TAN,A,1000,0001,60,TON,471398.4,USD,GRP_FERT,MINFERT,7856.64,TON,60000,KG,20240304,ASOTO,000000,
100,0001000064,000030,50008,Concentrado de Cobre,TAN,A,1000,0001,192,TON,1147564.8,USD,GRP_FERT,MINFERT,5976.9,TON,192000,KG,20240304,ASOTO,000000,
100,0001000065,000010,50004,Concentrado de Cobre,TAN,A,1000,0001,58,TON,402085.0,USD,GRP_FERT,MINFERT,6932.5,TON,58000,KG,20240305,MROJAS,000000,
100,0001000066,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,246,TON,1424384.28,USD,GRP_FERT,MINFERT,5790.18,TON,246000,KG,20240306,ASOTO,000000,
100,0001000067,000010,50003,Concentrado de Cobre,TAN,A,1000,0001,102,TON,587343.54,USD,GRP_FERT,MINFERT,5758.27,TON,102000,KG,20240307,JPEREZ,000000,
100,0001000067,000020,50002,Concentrado de Cobre,TAN,A,1000,0001,210,TON,1403686.2,USD,GRP_FERT,MINFERT,6684.22,TON,210000,KG,20240307,MROJAS,000000,
100,0001000068,000010,50000,Concentrado de Cobre,TAN,A,1000,0001,150,TON,781224.0,USD,GRP_FERT,MINFERT,5208.16,TON,150000,KG,20240308,MROJAS,000000,
100,0001000068,000020,50006,Concentrado de Cobre,TAN,A,1000,0001,288,TON,2289522.24,USD,GRP_FERT,MINFERT,7949.73,TON,288000,KG,20240308,MROJAS,000000,
100,0001000068,000030,50007,Concentrado de Cobre,TAN,A,1000,0001,171,TON,1048040.19,USD,GRP_FERT,MINFERT,6128.89,TON,171000,KG,20240308,JPEREZ,000000,
100,0001000069,000010,50006,Concentrado de Cobre,TAN,A,1000,0001,66,TON,492747.42,USD,GRP_FERT,MINFERT,7465.87,TON,66000,KG,20240309,JPEREZ,000000,
