MANDT,VBELN,POSNR,PARVW,KUNNR,LIFNR,LAND1,ADRNR
100,0001000071,000000,RE,0000010001,,CN,0000093272
100,0001000071,000000,RG,0000010001,,CN,0000033100
100,0001000072,000000,AG,0000010001,,CN,0000035586
100,0001000072,000000,WE,0000010001,,CN,0000027123
100,0001000072,000000,RE,0000010001,,CN,0000024126
100,0001000072,000000,RG,0000010001,,CN,0000000472
100,0001000073,000000,AG,0000010001,,CN,0000082928
100,0001000073,000000,WE,0000010001,,CN,0000079320
100,0001000073,000000,RE,0000010001,,CN,0000048381
100,0001000073,000000,RG,0000010001,,CN,0000042541
100,0001000074,000000,AG,0000010001,,CN,0000072205
100,0001000074,000000,WE,0000010001,,CN,0000027022
100,0001000074,000000,RE,0000010001,,CN,0000057959
100,0001000074,000000,RG,0000010001,,CN,0000028920
100,0001000075,000000,AG,0000010001,,CN,0000023296
100,0001000075,000000,WE,0000010001,,CN,0000051669
100,0001000075,000000,RE,0000010001,,CN,0000090095
100,0001000075,000000,RG,0000010001,,CN,0000079669
100,0001000076,000000,AG,0000010000,,CN,0000062971
100,0001000076,000000,WE,0000010000,,CN,0000099572
100,0001000076,000000,RE,0000010000,,CN,0000073775
100,0001000076,000000,RG,0000010000,,CN,0000058239
100,0001000077,000000,AG,0000010001,,CN,0000093697
100,0001000077,000000,WE,0000010001,,CN,0000014734
100,0001000077,000000,RE,0000010001,,CN,0000064464
100,0001000077,000000,RG,0000010001,,CN,0000022225
100,0001000078,000000,AG,0000010002,,CN,0000019483
100,0001000078,000000,WE,0000010002,,CN,0000085965
100,0001000078,000000,RE,0000010002,,CN,0000019214
100,0001000078,000000,RG,0000010002,,CN,0000041977
100,0001000079,000000,AG,0000010001,,CN,0000069963
100,0001000079,000000,WE,0000010001,,CN,0000064567
100,0001000079,000000,RE,0000010001,,CN,0000069793
100,0001000079,000000,RG,0000010001,,CN,0000070283
100,0001000080,000000,AG,0000010000,,CN,0000007323
100,0001000080,000000,WE,0000010000,,CN,0000097911
100,0001000080,000000,RE,0000010000,,CN,0000018062
100,0001000080,000000,RG,0000010000,,CN,0000015367
100,0001000081,000000,AG,0000010001,,CN,0000061629
100,0001000081,000000,WE,0000010001,,CN,0000053940
100,0001000081,000000,RE,0000010001,,CN,0000094708
100,0001000081,000000,RG,0000010001,,CN,0000044216
100,0001000082,000000,AG,0000010000,,CN,0000097405
100,0001000082,000000,WE,0000010000,,CN,0000027770
100,0001000082,000000,RE,0000010000,,CN,0000052482
100,0001000082,000000,RG,0000010000,,CN,0000081140
100,0001000083,000000,AG,0000010010,,CN,0000070985
100,0001000083,000000,WE,0000010010,,CN,0000013955
100,0001000083,000000,RE,0000010010,,CN,0000008562
100,0001000083,000000,RG,0000010010,,CN,0000027776
100,0001000084,000000,AG,0000010001,,CN,0000095118
100,0001000084,000000,WE,0000010001,,CN,0000046641
100,0001000084,000000,RE,0000010001,,CN,0000016977
100,0001000084,000000,RG,0000010001,,CN,0000092099
100,0001000085,000000,AG,0000010000,,CN,0000085380
100,0001000085,000000,WE,0000010000,,CN,0000068589
100,0001000085,000000,RE,0000010000,,CN,0000044750
100,0001000085,000000,RG,0000010000,,CN,0000058653
100,0001000086,000000,AG,0000010036,,JP,0000023487
100,0001000086,000000,WE,0000010036,,JP,0000093147
100,0001000086,000000,RE,0000010036,,JP,0000060391
100,0001000086,000000,RG,0000010036,,JP,0000033810
100,0001000087,000000,AG,0000010043,,KR,0000005594
100,0001000087,000000,WE,0000010043,,KR,0000081346
100,0001000087,000000,RE,0000010043,,KR,0000084393
100,0001000087,000000,RG,0000010043,,KR,0000007479
100,0001000088,000000,AG,0000010001,,CN,0000097162
100,0001000088,000000,WE,0000010001,,CN,0000062420
100,0001000088,000000,RE,0000010001,,CN,0000014985
100,0001000088,000000,RG,0000010001,,CN,0000036488
100,0001000089,000000,AG,0000010013,,KR,0000053094
100,0001000089,000000,WE,0000010013,,KR,0000010710
100,0001000089,000000,RE,0000010013,,KR,0000039104
100,0001000089,000000,RG,0000010013,,KR,0000093351
100,0001000090,000000,AG,0000010001,,CN,0000075824
100,0001000090,000000,WE,0000010001,,CN,0000080808
100,0001000090,000000,RE,0000010001,,CN,0000018956
100,0001000090,000000,RG,0000010001,,CN,0000042433
100,0001000091,000000,AG,0000010008,,JP,0000065810
100,0001000091,000000,WE,0000010008,,JP,0000016351
100,0001000091,000000,RE,0000010008,,JP,0000091661
100,0001000091,000000,RG,0000010008,,JP,0000065423
100,0001000092,000000,AG,0000010000,,CN,0000058210
100,0001000092,000000,WE,0000010000,,CN,0000065977
100,0001000092,000000,RE,0000010000,,CN,0000076184
100,0001000092,000000,RG,0000010000,,CN,0000004278
100,0001000093,000000,AG,0000010001,,CN,0000003441
100,0001000093,000000,WE,0000010001,,CN,0000020104
100,0001000093,000000,RE,0000010001,,CN,0000049075
100,0001000093,000000,RG,0000010001,,CN,0000068022
100,0001000094,000000,AG,0000010002,,CN,0000072471
100,0001000094,000000,WE,0000010002,,CN,0000020848
100,0001000094,000000,RE,0000010002,,CN,0000042259
100,0001000094,000000,RG,0000010002,,CN,0000026708
100,0001000095,000000,AG,0000010002,,CN,0000095200
100,0001000095,000000,WE,0000010002,,CN,0000049560
100,0001000095,000000,RE,0000010002,,CN,0000034142
100,0001000095,000000,RG,0000010002,,CN,0000086411
100,0001000096,000000,AG,0000010001,,CN,0000083041
100,0001000096,000000,WE,0000010001,,CN,0000059098
100,0001000096,000000,RE,0000010001,,CN,0000021117
100,0001000096,000000,RG,0000010001,,CN,0000023568
100,0001000097,000000,AG,0000010002,,CN,0000010938
100,0001000097,000000,WE,0000010002,,CN,0000095387
100,0001000097,000000,RE,0000010002,,CN,0000090650
100,0001000097,000000,RG,0000010002,,CN,0000016592
100,0001000098,000000,AG,0000010000,,CN,0000026178
100,0001000098,000000,WE,0000010000,,CN,0000074337
100,0001000098,000000,RE,0000010000,,CN,0000046258
100,0001000098,000000,RG,0000010000,,CN,0000049016
100,0001000099,000000,AG,0000010000,,CN,0000016031
100,0001000099,000000,WE,0000010000,,CN,0000001263
100,0001000099,000000,RE,0000010000,,CN,0000041759
100,0001000099,000000,RG,0000010000,,CN,0000090216
100,0001000100,000000,AG,0000010000,,CN,0000016266
100,0001000100,000000,WE,0000010000,,CN,0000059348
100,0001000100,000000,RE,0000010000,,CN,0000022432
100,0001000100,000000,RG,0000010000,,CN,0000078831
100,0001000101,000000,AG,0000010002,,CN,0000091287
100,0001000101,000000,WE,0000010002,,CN,0000059583
100,0001000101,000000,RE,0000010002,,CN,0000064663
100,0001000101,000000,RG,0000010002,,CN,0000084030
100,0001000102,000000,AG,0000010001,,CN,0000019399
100,0001000102,000000,WE,0000010001,,CN,0000098702
100,0001000102,000000,RE,0000010001,,CN,0000076564
100,0001000102,000000,RG,0000010001,,CN,0000054172
100,0001000103,000000,AG,0000010045,,JP,0000001721
100,0001000103,000000,WE,0000010045,,JP,0000087884
100,0001000103,000000,RE,0000010045,,JP,0000028330
100,0001000103,000000,RG,0000010045,,JP,0000061362
100,0001000104,000000,AG,0000010041,,KR,0000036417
100,0001000104,000000,WE,0000010041,,KR,0000055456
100,0001000104,000000,RE,0000010041,,KR,0000021522
100,0001000104,000000,RG,0000010041,,KR,0000089951
100,0001000105,000000,AG,0000010001,,CN,0000095945
100,0001000105,000000,WE,0000010001,,CN,0000055390
100,0001000105,000000,RE,0000010001,,CN,0000025420
100,0001000105,000000,RG,0000010001,,CN,0000038536
100,0001000106,000000,AG,0000010036,,JP,0000045565
100,0001000106,000000,WE,0000010036,,JP,0000083480
100,0001000106,000000,RE,0000010036,,JP,0000037748
100,0001000106,000000,RG,0000010036,,JP,0000092518
100,0001000107,000000,AG,0000010000,,CN,0000022378
100,0001000107,000000,WE,0000010000,,CN,0000089025
100,0001000107,000000,RE,0000010000,,CN,0000099649
100,0001000107,000000,RG,0000010000,,CN,0000001276
100,0001000108,000000,AG,0000010033,,CN,0000087024
100,0001000108,000000,WE,0000010033,,CN,0000078086
100,0001000108,000000,RE,0000010033,,CN,0000063486
100,0001000108,000000,RG,0000010033,,CN,0000014780
100,0001000109,000000,AG,0000010002,,CN,0000045724
100,0001000109,000000,WE,0000010002,,CN,0000043411
100,0001000109,000000,RE,0000010002,,CN,0000051253
100,0001000109,000000,RG,0000010002,,CN,0000077221
100,0001000110,000000,AG,0000010001,,CN,0000038631
100,0001000110,000000,WE,0000010001,,CN,0000002044
100,0001000110,000000,RE,0000010001,,CN,0000059489
100,0001000110,000000,RG,0000010001,,CN,0000005368
100,0001000111,000000,AG,0000010032,,CN,0000034244
100,0001000111,000000,WE,0000010032,,CN,0000039587
100,0001000111,000000,RE,0000010032,,CN,0000078256
100,0001000111,000000,RG,0000010032,,CN,0000040729
100,0001000112,000000,AG,0000010002,,CN,0000055117
100,0001000112,000000,WE,0000010002,,CN,0000053774
100,0001000112,000000,RE,0000010002,,CN,0000060462
100,0001000112,000000,RG,0000010002,,CN,0000003628
100,0001000113,000000,AG,0000010001,,CN,0000077902
100,0001000113,000000,WE,0000010001,,CN,0000012767
100,0001000113,000000,RE,0000010001,,CN,0000038087
100,0001000113,000000,RG,0000010001,,CN,0000074114
100,0001000114,000000,AG,0000010001,,CN,0000020057
100,0001000114,000000,WE,0000010001,,CN,0000079141
100,0001000114,000000,RE,0000010001,,CN,0000015865
100,0001000114,000000,RG,0000010001,,CN,0000068135
100,0001000115,000000,AG,0000010015,,KR,0000037939
100,0001000115,000000,WE,0000010015,,KR,0000087496
100,0001000115,000000,RE,0000010015,,KR,0000013110
100,0001000115,000000,RG,0000010015,,KR,0000077171
100,0001000116,000000,AG,0000010001,,CN,0000065620
100,0001000116,000000,WE,0000010001,,CN,0000065957
100,0001000116,000000,RE,0000010001,,CN,0000027628
100,0001000116,000000,RG,0000010001,,CN,0000045723
100,0001000117,000000,AG,0000010002,,CN,0000042478
100,0001000117,000000,WE,0000010002,,CN,0000077183
100,0001000117,000000,RE,0000010002,,CN,0000076117
100,0001000117,000000,RG,0000010002,,CN,0000045626
100,0001000118,000000,AG,0000010000,,CN,0000083545
100,0001000118,000000,WE,0000010000,,CN,0000075207
100,0001000118,000000,RE,0000010000,,CN,0000072938
100,0001000118,000000,RG,0000010000,,CN,0000026180
100,0001000119,000000,AG,0000010000,,CN,0000074760
100,0001000119,000000,WE,0000010000,,CN,0000062094
100,0001000119,000000,RE,0000010000,,CN,0000065648
100,0001000119,000000,RG,0000010000,,CN,0000046152
100,0001000120,000000,AG,0000010019,,KR,0000008907
100,0001000120,000000,WE,0000010019,,KR,0000020692
100,0001000120,000000,RE,0000010019,,KR,0000037758
100,0001000120,000000,RG,0000010019,,KR,0000009802
100,0001000121,000000,AG,0000010001,,CN,0000079955
100,0001000121,000000,WE,0000010001,,CN,0000092156
100,0001000121,000000,RE,0000010001,,CN,0000004635
100,0001000121,000000,RG,0000010001,,CN,0000045331
100,0001000122,000000,AG,0000010027,,JP,0000091153
100,0001000122,000000,WE,0000010027,,JP,0000016416
100,0001000122,000000,RE,0000010027,,JP,0000056325
100,0001000122,000000,RG,0000010027,,JP,0000091926
100,0001000123,000000,AG,0000010000,,CN,0000038328
100,0001000123,000000,WE,0000010000,,CN,0000017003
100,0001000123,000000,RE,0000010000,,CN,0000079446
100,0001000123,000000,RG,0000010000,,CN,0000052143
100,0001000124,000000,AG,0000010049,,JP,0000072479
100,0001000124,000000,WE,0000010049,,JP,0000027626
100,0001000124,000000,RE,0000010049,,JP,0000016089
100,0001000124,000000,RG,0000010049,,JP,0000048810
100,0001000125,000000,AG,0000010005,,CN,0000056504
100,0001000125,000000,WE,0000010005,,CN,0000069795
100,0001000125,000000,RE,0000010005,,CN,0000006850
100,0001000125,000000,RG,0000010005,,CN,0000086561
100,0001000126,000000,AG,0000010037,,JP,0000088863
100,0001000126,000000,WE,0000010037,,JP,0000037673
100,0001000126,000000,RE,0000010037,,JP,0000070093
100,0001000126,000000,RG,0000010037,,JP,0000060753
100,0001000127,000000,AG,0000010002,,CN,0000074507
100,0001000127,000000,WE,0000010002,,CN,0000086610
100,0001000127,000000,RE,0000010002,,CN,0000042073
100,0001000127,000000,RG,0000010002,,CN,0000034671
100,0001000128,000000,AG,0000010002,,CN,0000076008
100,0001000128,000000,WE,0000010002,,CN,0000041594
100,0001000128,000000,RE,0000010002,,CN,0000005500
100,0001000128,000000,RG,0000010002,,CN,0000072537
100,0001000129,000000,AG,0000010000,,CN,0000021013
100,0001000129,000000,WE,0000010000,,CN,0000048275
100,0001000129,000000,RE,0000010000,,CN,0000005848
