MANDT,EBELN,BUKRS,BSTYP,BSART,LIFNR,AEDAT,WAERS
100,4500000059,1000,F,NB,50170,2024-01-15,USD
100,4500000060,2000,F,NB,50099,2024-01-16,USD
100,4500000061,1000,F,NB,50070,2024-01-16,USD
100,4500000062,1000,F,NB,50082,2024-01-16,USD
100,4500000063,2000,F,NB,50027,2024-01-16,USD
100,4500000064,2000,F,NB,50022,2024-01-17,USD
100,4500000065,1000,F,NB,50022,2024-01-17,USD
100,4500000066,1000,F,NB,50234,2024-01-17,USD
100,4500000067,1000,F,NB,50161,2024-01-17,USD
100,4500000068,1000,F,NB,50169,2024-01-17,USD
100,4500000069,1000,F,NB,50227,2024-01-18,USD
100,4500000070,2000,F,NB,50153,2024-01-18,USD
100,4500000071,1000,F,NB,50062,2024-01-18,USD
100,4500000072,2000,F,NB,50282,2024-01-18,USD
100,4500000073,2000,F,NB,50209,2024-01-18,USD
100,4500000074,2000,F,NB,50163,2024-01-19,USD
100,4500000075,1000,F,NB,50072,2024-01-19,USD
100,4500000076,1000,F,NB,50081,2024-01-19,USD
100,4500000077,2000,F,NB,50259,2024-01-20,USD
100,4500000078,2000,F,NB,50296,2024-01-20,USD
100,4500000079,1000,F,NB,50124,2024-01-20,USD
100,4500000080,2000,F,NB,50160,2024-01-20,USD
100,4500000081,2000,F,NB,50164,2024-01-21,USD
100,4500000082,1000,F,NB,50213,2024-01-21,USD
100,4500000083,1000,F,NB,50004,2024-01-21,USD
100,4500000084,1000,F,NB,50167,2024-01-22,USD
100,4500000085,1000,F,NB,50286,2024-01-22,USD
100,4500000086,1000,F,NB,50035,2024-01-22,USD
100,4500000087,2000,F,NB,50195,2024-01-23,USD
100,4500000088,2000,F,NB,50073,2024-01-23,USD
100,4500000089,2000,F,NB,50078,2024-01-24,USD
100,4500000090,2000,F,NB,50250,2024-01-24,USD
100,4500000091,1000,F,NB,50038,2024-01-24,USD
100,4500000092,1000,F,NB,50077,2024-01-24,USD
100,4500000093,2000,F,NB,50249,2024-01-24,USD
100,4500000094,2000,F,NB,50138,2024-01-25,USD
100,4500000095,1000,F,NB,50091,2024-01-25,USD
100,4500000096,2000,F,NB,50276,2024-01-25,USD
100,4500000097,1000,F,NB,50038,2024-01-25,USD
100,4500000098,2000,F,NB,50116,2024-01-25,USD
100,4500000099,1000,F,NB,50042,2024-01-25,USD
100,4500000100,1000,F,NB,50245,2024-01-26,USD
100,4500000101,2000,F,NB,50143,2024-01-26,USD
100,4500000102,2000,F,NB,50149,2024-01-26,USD
100,4500000103,1000,F,NB,50129,2024-01-26,USD
100,4500000104,2000,F,NB,50273,2024-01-26,USD
100,4500000105,1000,F,NB,50022,2024-01-26,USD
100,4500000106,1000,F,NB,50274,2024-01-27,USD
100,4500000107,2000,F,NB,50198,2024-01-27,USD
100,4500000108,1000,F,NB,50293,2024-01-28,USD
100,4500000109,1000,F,NB,50225,2024-01-28,USD
100,4500000110,2000,F,NB,50134,2024-01-28,USD
100,4500000111,2000,F,NB,50084,2024-01-28,USD
100,4500000112,1000,F,NB,50165,2024-01-28,USD
100,4500000113,2000,F,NB,50064,2024-01-28,USD
100,4500000114,2000,F,NB,50004,2024-01-29,USD
100,4500000115,1000,F,NB,50244,2024-01-29,USD
100,4500000116,1000,F,NB,50160,2024-01-29,USD
100,4500000117,2000,F,NB,50216,2024-01-30,USD
100,4500000118,1000,F,NB,50158,2024-01-30,USD
100,4500000119,1000,F,NB,50006,2024-01-30,USD
100,4500000120,1000,F,NB,50190,2024-01-30,USD
100,4500000121,2000,F,NB,50219,2024-01-30,USD
100,4500000122,1000,F,NB,50188,2024-01-30,USD
100,4500000123,1000,F,NB,50118,2024-01-31,USD
100,4500000124,2000,F,NB,50066,2024-01-31,USD
100,4500000125,1000,F,NB,50011,2024-02-01,USD
100,4500000126,1000,F,NB,50169,2024-02-01,USD
100,4500000127,2000,F,NB,50254,2024-02-01,USD
100,4500000128,1000,F,NB,50095,2024-02-01,USD
100,4500000129,1000,F,NB,50066,2024-02-02,USD
100,4500000130,2000,F,NB,50037,2024-02-02,USD
100,4500000131,2000,F,NB,50162,2024-02-02,USD
100,4500000132,2000,F,NB,50157,2024-02-02,USD
100,4500000133,2000,F,NB,50144,2024-02-03,USD
100,4500000134,1000,F,NB,50150,2024-02-03,USD
100,4500000135,1000,F,NB,50278,2024-02-03,USD
100,4500000136,1000,F,NB,50043,2024-02-03,USD
100,4500000137,2000,F,NB,50293,2024-02-03,USD
100,4500000138,1000,F,NB,50061,2024-02-03,USD
100,4500000139,2000,F,NB,50137,2024-02-04,USD
100,4500000140,1000,F,NB,50033,2024-02-04,USD
100,4500000141,1000,F,NB,50127,2024-02-04,USD
100,4500000142,2000,F,NB,50188,2024-02-04,USD
100,4500000143,2000,F,NB,50083,2024-02-04,USD
100,4500000144,1000,F,NB,50171,2024-02-05,USD
100,4500000145,2000,F,NB,50169,2024-02-05,USD
100,4500000146,2000,F,NB,50099,2024-02-05,USD
100,4500000147,1000,F,NB,50077,2024-02-05,USD
100,4500000148,1000,F,NB,50249,2024-02-05,USD
100,4500000149,2000,F,NB,50045,2024-02-05,USD
100,4500000150,1000,F,NB,50063,2024-02-06,USD
100,4500000151,1000,F,NB,50010,2024-02-06,USD
100,4500000152,1000,F,NB,50045,2024-02-07,USD
100,4500000153,1000,F,NB,50051,2024-02-07,USD
100,4500000154,1000,F,NB,50221,2024-02-08,USD
100,4500000155,1000,F,NB,50005,2024-02-08,USD
100,4500000156,1000,F,NB,50169,2024-02-08,USD
100,4500000157,1000,F,NB,50255,2024-02-08,USD
100,4500000158,2000,F,NB,50150,2024-02-09,USD
100,4500000159,1000,F,NB,50107,2024-02-09,USD
100,4500000160,1000,F,NB,50180,2024-02-09,USD
100,4500000161,2000,F,NB,50074,2024-02-09,USD
100,4500000162,2000,F,NB,50128,2024-02-09,USD
100,4500000163,2000,F,NB,50047,2024-02-10,USD
100,4500000164,1000,F,NB,50058,2024-02-10,USD
100,4500000165,1000,F,NB,50197,2024-02-10,USD
100,4500000166,1000,F,NB,50164,2024-02-10,USD
100,4500000167,1000,F,NB,50033,2024-02-10,USD
100,4500000168,2000,F,NB,50036,2024-02-10,USD
100,4500000169,1000,F,NB,50156,2024-02-11,USD
100,4500000170,1000,F,NB,50082,2024-02-11,USD
100,4500000171,2000,F,NB,50281,2024-02-11,USD
100,4500000172,1000,F,NB,50297,2024-02-11,USD
100,4500000173,1000,F,NB,50289,2024-02-11,USD
100,4500000174,2000,F,NB,50068,2024-02-11,USD
100,4500000175,2000,F,NB,50240,2024-02-12,USD
100,4500000176,2000,F,NB,50193,2024-02-12,USD
100,4500000177,2000,F,NB,50246,2024-02-12,USD
100,4500000178,1000,F,NB,50263,2024-02-12,USD
100,4500000179,1000,F,NB,50271,2024-02-13,USD
100,4500000180,2000,F,NB,50119,2024-02-13,USD
100,4500000181,2000,F,NB,50096,2024-02-13,USD
100,4500000182,1000,F,NB,50266,2024-02-13,USD
100,4500000183,2000,F,NB,50113,2024-02-14,USD
100,4500000184,1000,F,NB,50253,2024-02-14,USD
100,4500000185,1000,F,NB,50195,2024-02-15,USD
100,4500000186,1000,F,NB,50134,2024-02-15,USD
100,4500000187,2000,F,NB,50160,2024-02-15,USD
100,4500000188,1000,F,NB,50135,2024-02-15,USD
100,4500000189,2000,F,NB,50107,2024-02-16,USD
100,4500000190,1000,F,NB,50284,2024-02-16,USD
100,4500000191,2000,F,NB,50153,2024-02-16,USD
100,4500000192,2000,F,NB,50171,2024-02-16,USD
100,4500000193,1000,F,NB,50145,2024-02-16,USD
100,4500000194,2000,F,NB,50079,2024-02-17,USD
100,4500000195,2000,F,NB,50153,2024-02-17,USD
100,4500000196,1000,F,NB,50280,2024-02-17,USD
100,4500000197,1000,F,NB,50134,2024-02-17,USD
100,4500000198,2000,F,NB,50272,2024-02-17,USD
100,4500000199,1000,F,NB,50190,2024-02-18,USD
100,4500000200,1000,F,NB,50030,2024-02-18,USD
100,4500000201,2000,F,NB,50098,2024-02-18,USD
100,4500000202,2000,F,NB,50020,2024-02-18,USD
100,4500000203,1000,F,NB,50035,2024-02-18,USD
100,4500000204,2000,F,NB,50029,2024-02-19,USD
100,4500000205,2000,F,NB,50097,2024-02-19,USD
100,4500000206,2000,F,NB,50054,2024-02-19,USD
100,4500000207,1000,F,NB,50273,2024-02-19,USD
100,4500000208,1000,F,NB,50192,2024-02-19,USD
100,4500000209,1000,F,NB,50163,2024-02-20,USD
100,4500000210,2000,F,NB,50294,2024-02-20,USD
100,4500000211,1000,F,NB,50067,2024-02-20,USD
100,4500000212,1000,F,NB,50246,2024-02-20,USD
100,4500000213,1000,F,NB,50124,2024-02-20,USD
100,4500000214,1000,F,NB,50211,2024-02-20,USD
100,4500000215,1000,F,NB,50256,2024-02-21,USD
100,4500000216,1000,F,NB,50044,2024-02-21,USD
100,4500000217,1000,F,NB,50105,2024-02-21,USD
100,4500000218,1000,F,NB,50220,2024-02-21,USD
100,4500000219,1000,F,NB,50090,2024-02-22,USD
100,4500000220,1000,F,NB,50266,2024-02-22,USD
100,4500000221,1000,F,NB,50265,2024-02-22,USD
100,4500000222,1000,F,NB,50125,2024-02-23,USD
100,4500000223,1000,F,NB,50295,2024-02-23,USD
100,4500000224,1000,F,NB,50212,2024-02-24,USD
100,4500000225,2000,F,NB,50003,2024-02-24,USD
100,4500000226,2000,F,NB,50259,2024-02-25,USD
100,4500000227,2000,F,NB,50268,2024-02-25,USD
100,4500000228,2000,F,NB,50159,2024-02-26,USD
100,4500000229,1000,F,NB,50239,2024-02-26,USD
100,4500000230,2000,F,NB,50118,2024-02-26,USD
100,4500000231,2000,F,NB,50232,2024-02-26,USD
100,4500000232,2000,F,NB,50054,2024-02-26,USD
100,4500000233,1000,F,NB,50088,2024-02-27,USD
100,4500000234,2000,F,NB,50069,2024-02-27,USD
100,4500000235,2000,F,NB,50092,2024-02-27,USD
100,4500000236,2000,F,NB,50210,2024-02-27,USD
100,4500000237,2000,F,NB,50238,2024-02-27,USD
100,4500000238,1000,F,NB,50276,2024-02-27,USD
100,4500000239,1000,F,NB,50085,2024-02-28,USD
100,4500000240,2000,F,NB,50006,2024-02-28,USD
100,4500000241,1000,F,NB,50225,2024-02-29,USD
100,4500000242,2000,F,NB,50055,2024-02-29,USD
100,4500000243,2000,F,NB,50052,2024-02-29,USD
100,4500000244,2000,F,NB,50009,2024-02-29,USD
100,4500000245,1000,F,NB,50296,2024-03-01,USD
100,4500000246,1000,F,NB,50066,2024-03-01,USD
100,4500000247,1000,F,NB,50233,2024-03-01,USD
100,4500000248,1000,F,NB,50103,2024-03-01,USD
100,4500000249,2000,F,NB,50032,2024-03-01,USD
100,4500000250,2000,F,NB,50283,2024-03-01,USD
100,4500000251,2000,F,NB,50178,2024-03-02,USD
100,4500000252,2000,F,NB,50027,2024-03-02,USD
100,4500000253,1000,F,NB,50056,2024-03-03,USD
100,4500000254,1000,F,NB,50223,2024-03-03,USD
100,4500000255,2000,F,NB,50138,2024-03-03,USD
100,4500000256,2000,F,NB,50234,2024-03-03,USD
100,4500000257,1000,F,NB,50008,2024-03-04,USD
100,4500000258,2000,F,NB,50000,2024-03-04,USD
100,4500000259,2000,F,NB,50218,2024-03-04,USD
100,4500000260,2000,F,NB,50027,2024-03-05,USD
100,4500000261,1000,F,NB,50240,2024-03-05,USD
100,4500000262,1000,F,NB,50041,2024-03-05,USD
100,4500000263,2000,F,NB,50213,2024-03-05,USD
100,4500000264,1000,F,NB,50011,2024-03-05,USD
100,4500000265,2000,F,NB,50075,2024-03-06,USD
100,4500000266,2000,F,NB,50163,2024-03-06,USD
100,4500000267,2000,F,NB,50148,2024-03-06,USD
100,4500000268,1000,F,NB,50071,2024-03-06,USD
100,4500000269,2000,F,NB,50147,2024-03-07,USD
100,4500000270,1000,F,NB,50106,2024-03-07,USD
100,4500000271,2000,F,NB,50089,2024-03-07,USD
100,4500000272,2000,F,NB,50286,2024-03-07,USD
100,4500000273,1000,F,NB,50251,2024-03-07,USD
100,4500000274,2000,F,NB,50185,2024-03-08,USD
100,4500000275,1000,F,NB,50070,2024-03-08,USD
100,4500000276,1000,F,NB,50213,2024-03-08,USD
100,4500000277,1000,F,NB,50155,2024-03-08,USD
100,4500000278,1000,F,NB,50102,2024-03-09,USD
100,4500000279,2000,F,NB,50082,2024-03-09,USD
100,4500000280,1000,F,NB,50042,2024-03-10,USD
100,4500000281,2000,F,NB,50219,2024-03-10,USD
100,4500000282,1000,F,NB,50202,2024-03-10,USD
100,4500000283,2000,F,NB,50102,2024-03-10,USD
100,4500000284,2000,F,NB,50230,2024-03-11,USD
100,4500000285,2000,F,NB,50220,2024-03-11,USD
100,4500000286,2000,F,NB,50058,2024-03-12,USD
100,4500000287,2000,F,NB,50010,2024-03-12,USD
100,4500000288,2000,F,NB,50102,2024-03-13,USD
100,4500000289,2000,F,NB,50137,2024-03-13,USD
100,4500000290,2000,F,NB,50163,2024-03-13,USD
100,4500000291,2000,F,NB,50082,2024-03-13,USD
100,4500000292,2000,F,NB,50248,2024-03-13,USD
100,4500000293,2000,F,NB,50010,2024-03-13,USD
100,4500000294,2000,F,NB,50126,2024-03-14,USD
100,4500000295,1000,F,NB,50129,2024-03-14,USD
100,4500000296,2000,F,NB,50107,2024-03-14,USD
100,4500000297,2000,F,NB,50041,2024-03-14,USD
100,4500000298,2000,F,NB,50232,2024-03-14,USD
100,4500000299,1000,F,NB,50045,2024-03-15,USD
100,4500000300,1000,F,NB,50269,2024-03-15,USD
100,4500000301,1000,F,NB,50220,2024-03-15,USD
100,4500000302,1000,F,NB,50209,2024-03-15,USD
100,4500000303,2000,F,NB,50298,2024-03-15,USD
100,4500000304,1000,F,NB,50285,2024-03-15,USD
100,4500000305,2000,F,NB,50223,2024-03-16,USD
100,4500000306,1000,F,NB,50096,2024-03-16,USD
100,4500000307,2000,F,NB,50059,2024-03-16,USD
100,4500000308,2000,F,NB,50092,2024-03-16,USD
100,4500000309,1000,F,NB,50231,2024-03-17,USD
100,4500000310,1000,F,NB,50280,2024-03-17,USD
100,4500000311,1000,F,NB,50061,2024-03-17,USD
100,4500000312,1000,F,NB,50250,2024-03-17,USD
100,4500000313,2000,F,NB,50181,2024-03-18,USD
100,4500000314,1000,F,NB,50042,2024-03-18,USD
100,4500000315,2000,F,NB,50054,2024-03-18,USD
100,4500000316,2000,F,NB,50184,2024-03-18,USD
100,4500000317,1000,F,NB,50223,2024-03-18,USD
100,4500000318,1000,F,NB,50078,2024-03-18,USD
100,4500000319,2000,F,NB,50184,2024-03-19,USD
100,4500000320,2000,F,NB,50155,2024-03-19,USD
100,4500000321,1000,F,NB,50089,2024-03-19,USD
100,4500000322,1000,F,NB,50287,2024-03-19,USD
100,4500000323,2000,F,NB,50077,2024-03-19,USD
100,4500000324,2000,F,NB,50146,2024-03-20,USD
100,4500000325,1000,F,NB,50271,2024-03-20,USD
100,4500000326,1000,F,NB,50043,2024-03-20,USD
100,4500000327,1000,F,NB,50266,2024-03-20,USD
100,4500000328,1000,F,NB,50143,2024-03-20,USD
100,4500000329,2000,F,NB,50152,2024-03-21,USD
100,4500000330,1000,F,NB,50179,2024-03-21,USD
100,4500000331,2000,F,NB,50135,2024-03-22,USD
100,4500000332,1000,F,NB,50108,2024-03-22,USD
100,4500000333,1000,F,NB,50267,2024-03-22,USD
100,4500000334,1000,F,NB,50072,2024-03-22,USD
100,4500000335,2000,F,NB,50293,2024-03-22,USD
100,4500000336,2000,F,NB,50230,2024-03-22,USD
100,4500000337,2000,F,NB,50043,2024-03-23,USD
100,4500000338,2000,F,NB,50131,2024-03-23,USD
100,4500000339,1000,F,NB,50093,2024-03-23,USD
100,4500000340,2000,F,NB,50199,2024-03-23,USD
100,4500000341,2000,F,NB,50192,2024-03-23,USD
100,4500000342,2000,F,NB,50260,2024-03-23,USD
100,4500000343,2000,F,NB,50085,2024-03-24,USD
100,4500000344,2000,F,NB,50179,2024-03-24,USD
100,4500000345,2000,F,NB,50045,2024-03-24,USD
100,4500000346,2000,F,NB,50139,2024-03-24,USD
100,4500000347,1000,F,NB,50243,2024-03-24,USD
100,4500000348,2000,F,NB,50201,2024-03-24,USD
100,4500000349,1000,F,NB,50132,2024-03-25,USD
100,4500000350,2000,F,NB,50286,2024-03-25,USD
100,4500000351,1000,F,NB,50174,2024-03-26,USD
100,4500000352,2000,F,NB,50048,2024-03-26,USD
100,4500000353,1000,F,NB,50052,2024-03-26,USD
100,4500000354,2000,F,NB,50049,2024-03-26,USD
100,4500000355,2000,F,NB,50264,2024-03-26,USD
100,4500000356,1000,F,NB,50035,2024-03-27,USD
100,4500000357,2000,F,NB,50214,2024-03-27,USD
100,4500000358,2000,F,NB,50109,2024-03-27,USD
100,4500000359,1000,F,NB,50100,2024-03-28,USD
100,4500000360,1000,F,NB,50194,2024-03-28,USD
100,4500000361,2000,F,NB,50190,2024-03-28,USD
100,4500000362,2000,F,NB,50260,2024-03-29,USD
100,4500000363,2000,F,NB,50137,2024-03-29,USD
100,4500000364,2000,F,NB,50130,2024-03-29,USD
100,4500000365,2000,F,NB,50117,2024-03-29,USD
100,4500000366,2000,F,NB,50239,2024-03-29,USD
100,4500000367,2000,F,NB,50256,2024-03-29,USD
100,4500000368,1000,F,NB,50107,2024-03-30,USD
100,4500000369,1000,F,NB,50224,2024-03-30,USD
100,4500000370,2000,F,NB,50206,2024-03-30,USD
100,4500000371,2000,F,NB,50105,2024-03-31,USD
100,4500000372,1000,F,NB,50257,2024-03-31,USD
100,4500000373,2000,F,NB,50230,2024-04-01,USD
100,4500000374,2000,F,NB,50175,2024-04-01,USD
100,4500000375,1000,F,NB,50224,2024-04-01,USD
100,4500000376,2000,F,NB,50063,2024-04-01,USD
100,4500000377,1000,F,NB,50049,2024-04-02,USD
100,4500000378,1000,F,NB,50106,2024-04-02,USD
100,4500000379,1000,F,NB,50162,2024-04-03,USD
100,4500000380,1000,F,NB,50063,2024-04-03,USD
100,4500000381,1000,F,NB,50192,2024-04-03,USD
100,4500000382,2000,F,NB,50068,2024-04-03,USD
100,4500000383,1000,F,NB,50064,2024-04-04,USD
100,4500000384,1000,F,NB,50259,2024-04-04,USD
100,4500000385,1000,F,NB,50125,2024-04-04,USD
100,4500000386,1000,F,NB,50209,2024-04-05,USD
100,4500000387,1000,F,NB,50223,2024-04-05,USD
100,4500000388,2000,F,NB,50126,2024-04-05,USD
100,4500000389,1000,F,NB,50133,2024-04-05,USD
100,4500000390,2000,F,NB,50041,2024-04-05,USD
100,4500000391,2000,F,NB,50157,2024-04-05,USD
100,4500000392,1000,F,NB,50095,2024-04-06,USD
100,4500000393,2000,F,NB,50055,2024-04-06,USD
100,4500000394,1000,F,NB,50244,2024-04-06,USD
100,4500000395,2000,F,NB,50266,2024-04-06,USD
100,4500000396,2000,F,NB,50204,2024-04-06,USD
100,4500000397,1000,F,NB,50073,2024-04-07,USD
100,4500000398,2000,F,NB,50086,2024-04-07,USD
100,4500000399,1000,F,NB,50167,2024-04-07,USD
100,4500000400,2000,F,NB,50114,2024-04-07,USD
100,4500000401,2000,F,NB,50119,2024-04-07,USD
100,4500000402,1000,F,NB,50293,2024-04-07,USD
100,4500000403,2000,F,NB,50192,2024-04-08,USD
100,4500000404,1000,F,NB,50026,2024-04-08,USD
100,4500000405,2000,F,NB,50172,2024-04-08,USD
100,4500000406,2000,F,NB,50049,2024-04-08,USD
100,4500000407,1000,F,NB,50226,2024-04-08,USD
100,4500000408,1000,F,NB,50061,2024-04-09,USD
100,4500000409,1000,F,NB,50011,2024-04-09,USD
100,4500000410,1000,F,NB,50207,2024-04-09,USD
100,4500000411,2000,F,NB,50032,2024-04-09,USD
100,4500000412,1000,F,NB,50153,2024-04-10,USD
100,4500000413,1000,F,NB,50295,2024-04-10,USD
100,4500000414,2000,F,NB,50288,2024-04-11,USD
100,4500000415,1000,F,NB,50138,2024-04-11,USD
100,4500000416,1000,F,NB,50168,2024-04-11,USD
100,4500000417,2000,F,NB,50244,2024-04-12,USD
100,4500000418,2000,F,NB,50290,2024-04-12,USD
100,4500000419,1000,F,NB,50224,2024-04-12,USD
100,4500000420,2000,F,NB,50208,2024-04-12,USD
100,4500000421,2000,F,NB,50005,2024-04-12,USD
100,4500000422,1000,F,NB,50217,2024-04-12,USD
100,4500000423,2000,F,NB,50111,2024-04-13,USD
100,4500000424,2000,F,NB,50152,2024-04-13,USD
100,4500000425,2000,F,NB,50055,2024-04-14,USD
100,4500000426,2000,F,NB,50169,2024-04-14,USD
100,4500000427,2000,F,NB,50060,2024-04-14,USD
100,4500000428,1000,F,NB,50056,2024-04-14,USD
100,4500000429,1000,F,NB,50121,2024-04-14,USD
100,4500000430,2000,F,NB,50245,2024-04-14,USD
100,4500000431,1000,F,NB,50117,2024-04-15,USD
100,4500000432,1000,F,NB,50218,2024-04-15,USD
100,4500000433,2000,F,NB,50208,2024-04-15,USD
100,4500000434,2000,F,NB,50056,2024-04-15,USD
100,4500000435,2000,F,NB,50108,2024-04-15,USD
100,4500000436,1000,F,NB,50006,2024-04-15,USD
100,4500000437,1000,F,NB,50022,2024-04-16,USD
100,4500000438,2000,F,NB,50187,2024-04-16,USD
100,4500000439,2000,F,NB,50023,2024-04-16,USD
100,4500000440,1000,F,NB,50107,2024-04-17,USD
100,4500000441,2000,F,NB,50042,2024-04-17,USD
100,4500000442,2000,F,NB,50075,2024-04-18,USD
100,4500000443,2000,F,NB,50096,2024-04-18,USD
100,4500000444,2000,F,NB,50051,2024-04-18,USD
100,4500000445,1000,F,NB,50006,2024-04-18,USD
100,4500000446,1000,F,NB,50006,2024-04-18,USD
100,4500000447,1000,F,NB,50022,2024-04-19,USD
100,4500000448,1000,F,NB,50000,2024-04-19,USD
100,4500000449,1000,F,NB,50075,2024-04-20,USD
100,4500000450,2000,F,NB,50065,2024-04-20,USD
100,4500000451,2000,F,NB,50071,2024-04-21,USD
100,4500000452,1000,F,NB,50193,2024-04-21,USD
100,4500000453,1000,F,NB,50244,2024-04-21,USD
100,4500000454,1000,F,NB,50093,2024-04-21,USD
100,4500000455,1000,F,NB,50112,2024-04-22,USD
100,4500000456,1000,F,NB,50190,2024-04-22,USD
100,4500000457,1000,F,NB,50158,2024-04-22,USD
100,4500000458,2000,F,NB,50023,2024-04-22,USD
100,4500000459,2000,F,NB,50144,2024-04-22,USD
100,4500000460,1000,F,NB,50256,2024-04-23,USD
100,4500000461,1000,F,NB,50106,2024-04-23,USD
100,4500000462,1000,F,NB,50007,2024-04-23,USD
100,4500000463,2000,F,NB,50209,2024-04-24,USD
100,4500000464,2000,F,NB,50134,2024-04-24,USD
100,4500000465,1000,F,NB,50079,2024-04-24,USD
100,4500000466,1000,F,NB,50114,2024-04-24,USD
100,4500000467,1000,F,NB,50035,2024-04-25,USD
100,4500000468,1000,F,NB,50027,2024-04-25,USD
100,4500000469,2000,F,NB,50134,2024-04-26,USD
100,4500000470,1000,F,NB,50111,2024-04-26,USD
100,4500000471,1000,F,NB,50277,2024-04-27,USD
100,4500000472,1000,F,NB,50008,2024-04-27,USD
100,4500000473,1000,F,NB,50114,2024-04-27,USD
100,4500000474,1000,F,NB,50191,2024-04-27,USD
100,4500000475,1000,F,NB,50002,2024-04-27,USD
100,4500000476,1000,F,NB,50201,2024-04-27,USD
100,4500000477,1000,F,NB,50292,2024-04-28,USD
100,4500000478,2000,F,NB,50133,2024-04-28,USD
100,4500000479,1000,F,NB,50056,2024-04-28,USD
100,4500000480,1000,F,NB,50211,2024-04-28,USD
100,4500000481,2000,F,NB,50160,2024-04-28,USD
100,4500000482,1000,F,NB,50081,2024-04-28,USD
100,4500000483,2000,F,NB,50223,2024-04-29,USD
100,4500000484,2000,F,NB,50221,2024-04-29,USD
100,4500000485,2000,F,NB,50085,2024-04-29,USD
100,4500000486,2000,F,NB,50203,2024-04-29,USD
100,4500000487,1000,F,NB,50183,2024-04-29,USD
100,4500000488,1000,F,NB,50293,2024-04-30,USD
100,4500000489,1000,F,NB,50167,2024-04-30,USD
100,4500000490,1000,F,NB,50273,2024-04-30,USD
100,4500000491,1000,F,NB,50212,2024-04-30,USD
100,4500000492,2000,F,NB,50232,2024-04-30,USD
100,4500000493,1000,F,NB,50045,2024-04-30,USD
100,4500000494,2000,F,NB,50247,2024-05-01,USD
100,4500000495,1000,F,NB,50039,2024-05-01,USD
100,4500000496,2000,F,NB,50197,2024-05-01,USD
