MANDT,BUKRS,BELNR,GJAHR,BUZEI,BSCHL,HKONT,DMBTR,KOSTL
100,1000,100000044,2024,2,01,INTERNAL,679.83,
100,1000,100000045,2024,1,50,410000,869.32,
100,1000,100000045,2024,2,01,INTERNAL,869.32,
100,1000,100000046,2024,1,50,410000,559.61,
100,1000,100000046,2024,2,01,INTERNAL,559.61,
100,1000,100000047,2024,1,50,410000,1128.84,
100,1000,100000047,2024,2,01,INTERNAL,1128.84,
100,2000,100000048,2024,1,40,400000,16991.6,LAB200
100,2000,100000048,2024,2,31,50133,16991.6,
100,2000,100000049,2024,1,40,400000,15476.1,REF200
100,2000,100000049,2024,2,31,50161,15476.1,
100,1000,100000050,2024,1,40,400000,6086.030000000001,MANT300
100,1000,100000050,2024,2,31,50275,6086.030000000001,
100,2000,100000051,2024,1,40,400000,31848.07,REF200
100,2000,100000051,2024,2,31,50080,31848.07,
100,1000,100000052,2024,1,40,400000,45106.06,MIN100
100,1000,100000052,2024,2,31,50139,45106.06,
100,1000,100000053,2024,1,40,400000,50785.259999999995,PLAN100
100,1000,100000053,2024,2,31,50216,50785.259999999995,
100,3000,100000054,2024,1,50,800000,280112.04,
100,3000,100000054,2024,2,01,10000,280112.04,
100,3000,100000055,2024,1,50,800000,186023.52,
100,3000,100000055,2024,2,01,10023,186023.52,
100,3000,100000056,2024,1,50,800000,355500.42000000004,
100,3000,100000056,2024,2,01,10023,355500.42000000004,
100,3000,100000057,2024,1,50,800000,776825.1400000001,
100,3000,100000057,2024,2,01,10042,776825.1400000001,
100,3000,100000058,2024,1,50,800000,356192.8,
100,3000,100000058,2024,2,01,10026,356192.8,
100,3000,100000059,2024,1,50,800000,924786.6000000001,
100,3000,100000059,2024,2,01,10011,924786.6000000001,
100,3000,100000060,2024,1,50,800000,325980.0,
100,3000,100000060,2024,2,01,10047,325980.0,
100,3000,100000061,2024,1,50,800000,869307.04,
100,3000,100000061,2024,2,01,10006,869307.04,
100,3000,100000062,2024,1,50,800000,290129.83999999997,
100,3000,100000062,2024,2,01,10014,290129.83999999997,
100,1000,100000063,2024,1,50,410000,918.69,
100,1000,100000063,2024,2,01,INTERNAL,918.69,
100,1000,100000064,2024,1,50,410000,1264.11,
100,1000,100000064,2024,2,01,INTERNAL,1264.11,
100,1000,100000065,2024,1,50,410000,1971.72,
100,1000,100000065,2024,2,01,INTERNAL,1971.72,
100,1000,100000066,2024,1,50,410000,996.72,
100,1000,100000066,2024,2,01,INTERNAL,996.72,
100,1000,100000067,2024,1,40,400000,9997.289999999999,MANT300
100,1000,100000067,2024,2,31,50133,9997.289999999999,
100,2000,100000068,2024,1,40,400000,7124.72,REF100
100,2000,100000068,2024,2,31,50261,7124.72,
100,3000,100000069,2024,1,50,800000,681773.8400000001,
100,3000,100000069,2024,2,01,10027,681773.8400000001,
100,3000,100000070,2024,1,50,800000,395992.5,
100,3000,100000070,2024,2,01,10047,395992.5,
100,3000,100000071,2024,1,50,800000,866865.4199999999,
100,3000,100000071,2024,2,01,10042,866865.4199999999,
100,3000,100000072,2024,1,50,800000,760631.89,
100,3000,100000072,2024,2,01,10042,760631.89,
100,3000,100000073,2024,1,50,800000,1463230.1600000001,
100,3000,100000073,2024,2,01,10042,1463230.1600000001,
100,3000,100000074,2024,1,50,800000,1029184.95,
100,3000,100000074,2024,2,01,10019,1029184.95,
100,3000,100000075,2024,1,50,800000,653995.2,
100,3000,100000075,2024,2,01,10028,653995.2,
100,3000,100000076,2024,1,50,800000,395461.36000000004,
100,3000,100000076,2024,2,01,10047,395461.36000000004,
100,3000,100000077,2024,1,50,800000,636082.9,
100,3000,100000077,2024,2,01,10040,636082.9,
100,3000,100000078,2024,1,50,800000,823097.1000000001,
100,3000,100000078,2024,2,01,10002,823097.1000000001,
100,1000,100000079,2024,1,50,410000,1363.51,
100,1000,100000079,2024,2,01,INTERNAL,1363.51,
100,1000,100000080,2024,1,50,410000,1544.53,
100,1000,100000080,2024,2,01,INTERNAL,1544.53,
100,2000,100000081,2024,1,40,400000,38142.2,LOG100
100,2000,100000081,2024,2,31,50124,38142.2,
100,1000,100000082,2024,1,40,400000,43538.28,PLAN200
100,1000,100000082,2024,2,31,50090,43538.28,
100,2000,100000083,2024,1,40,400000,71729.27,LAB200
100,2000,100000083,2024,2,31,50280,71729.27,
100,2000,100000084,2024,1,40,400000,20618.2,LAB100
100,2000,100000084,2024,2,31,50039,20618.2,
100,1000,100000085,2024,1,40,400000,49213.88,PLAN100
100,1000,100000085,2024,2,31,50212,49213.88,
100,3000,100000086,2024,1,50,800000,1283676.79,
100,3000,100000086,2024,2,01,10000,1283676.79,
100,3000,100000087,2024,1,50,800000,292403.52,
100,3000,100000087,2024,2,01,10034,292403.52,
100,3000,100000088,2024,1,50,800000,483555.87,
100,3000,100000088,2024,2,01,10031,483555.87,
100,3000,100000089,2024,1,50,800000,321224.04,
100,3000,100000089,2024,2,01,10025,321224.04,
100,3000,100000090,2024,1,50,800000,689469.15,
100,3000,100000090,2024,2,01,10034,689469.15,
100,3000,100000091,2024,1,50,800000,313294.17,
100,3000,100000091,2024,2,01,10001,313294.17,
100,3000,100000092,2024,1,50,800000,429039.88,
100,3000,100000092,2024,2,01,10011,429039.88,
100,3000,100000093,2024,1,50,800000,849347.32,
100,3000,100000093,2024,2,01,10029,849347.32,
100,1000,100000094,2024,1,50,410000,29998.16,
100,1000,100000094,2024,2,01,INTERNAL,29998.16,
100,1000,100000095,2024,1,50,410000,836.33,
100,1000,100000095,2024,2,01,INTERNAL,836.33,
100,1000,100000096,2024,1,50,410000,1671.85,
100,1000,100000096,2024,2,01,INTERNAL,1671.85,
100,1000,100000097,2024,1,50,410000,560.39,
100,1000,100000097,2024,2,01,INTERNAL,560.39,
100,1000,100000098,2024,1,50,410000,1924.42,
100,1000,100000098,2024,2,01,INTERNAL,1924.42,
100,1000,100000099,2024,1,50,410000,1758.84,
100,1000,100000099,2024,2,01,INTERNAL,1758.84,
100,1000,100000100,2024,1,40,400000,23076.97,MANT300
100,1000,100000100,2024,2,31,50122,23076.97,
100,1000,100000101,2024,1,40,400000,24034.44,PLAN100
100,1000,100000101,2024,2,31,50058,24034.44,
100,2000,100000102,2024,1,40,400000,30281.85,LAB100
100,2000,100000102,2024,2,31,50101,30281.85,
100,1000,100000103,2024,1,40,400000,931.1999999999999,PLAN100
100,1000,100000103,2024,2,31,50154,931.1999999999999,
100,2000,100000104,2024,1,40,400000,56993.170000000006,LOG100
100,2000,100000104,2024,2,31,50035,56993.170000000006,
100,1000,100000105,2024,1,40,400000,46075.84,MANT100
100,1000,100000105,2024,2,31,50267,46075.84,
100,3000,100000106,2024,1,50,800000,897305.0,
100,3000,100000106,2024,2,01,10017,897305.0,
100,3000,100000107,2024,1,50,800000,301707.10000000003,
100,3000,100000107,2024,2,01,10020,301707.10000000003,
100,3000,100000108,2024,1,50,800000,1207949.6400000001,
100,3000,100000108,2024,2,01,10016,1207949.6400000001,
100,3000,100000109,2024,1,50,800000,500710.32,
100,3000,100000109,2024,2,01,10012,500710.32,
100,3000,100000110,2024,1,50,800000,557001.4,
100,3000,100000110,2024,2,01,10048,557001.4,
100,1000,100000111,2024,1,50,410000,23835.74,
100,1000,100000111,2024,2,01,INTERNAL,23835.74,
100,1000,100000112,2024,1,50,410000,1495.94,
100,1000,100000112,2024,2,01,INTERNAL,1495.94,
100,1000,100000113,2024,1,50,410000,1209.89,
100,1000,100000113,2024,2,01,INTERNAL,1209.89,
100,2000,100000114,2024,1,40,400000,25079.83,LOG300
100,2000,100000114,2024,2,31,50217,25079.83,
100,1000,100000115,2024,1,40,400000,29708.99,MANT200
100,1000,100000115,2024,2,31,50098,29708.99,
100,1000,100000116,2024,1,40,400000,27499.680000000004,PLAN300
100,1000,100000116,2024,2,31,50099,27499.680000000004,
100,2000,100000117,2024,1,40,400000,18561.56,LOG100
100,2000,100000117,2024,2,31,50064,18561.56,
100,2000,100000118,2024,1,40,400000,6583.6,LAB200
100,2000,100000118,2024,2,31,50037,6583.6,
100,1000,100000119,2024,1,40,400000,17744.37,MANT100
100,1000,100000119,2024,2,31,50127,17744.37,
100,3000,100000120,2024,1,50,800000,918755.54,
100,3000,100000120,2024,2,01,10024,918755.54,
100,3000,100000121,2024,1,50,800000,584410.0,
100,3000,100000121,2024,2,01,10003,584410.0,
100,3000,100000122,2024,1,50,800000,284762.5,
100,3000,100000122,2024,2,01,10042,284762.5,
100,3000,100000123,2024,1,50,800000,489744.72000000003,
100,3000,100000123,2024,2,01,10004,489744.72000000003,
100,3000,100000124,2024,1,50,800000,554429.76,
100,3000,100000124,2024,2,01,10038,554429.76,
100,3000,100000125,2024,1,50,800000,665871.12,
100,3000,100000125,2024,2,01,10014,665871.12,
100,3000,100000126,2024,1,50,800000,152919.62999999998,
100,3000,100000126,2024,2,01,10017,152919.62999999998,
100,3000,100000127,2024,1,50,800000,863337.3500000001,
100,3000,100000127,2024,2,01,10019,863337.3500000001,
100,3000,100000128,2024,1,50,800000,674070.3500000001,
100,3000,100000128,2024,2,01,10032,674070.3500000001,
100,1000,100000129,2024,1,50,410000,29991.45,
100,1000,100000129,2024,2,01,INTERNAL,29991.45,
100,1000,100000130,2024,1,50,410000,1732.13,
100,1000,100000130,2024,2,01,INTERNAL,1732.13,
100,1000,100000131,2024,1,50,410000,560.35,
100,1000,100000131,2024,2,01,INTERNAL,560.35,
100,2000,100000132,2024,1,40,400000,57905.06999999999,REF300
100,2000,100000132,2024,2,31,50265,57905.06999999999,
100,2000,100000133,2024,1,40,400000,58105.22,LOG300
100,2000,100000133,2024,2,31,50210,58105.22,
100,1000,100000134,2024,1,40,400000,51750.05,MANT200
100,1000,100000134,2024,2,31,50277,51750.05,
100,3000,100000135,2024,1,50,800000,596486.0700000001,
100,3000,100000135,2024,2,01,10044,596486.0700000001,
100,3000,100000136,2024,1,50,800000,386844.48,
100,3000,100000136,2024,2,01,10019,386844.48,
100,3000,100000137,2024,1,50,800000,937586.75,
100,3000,100000137,2024,2,01,10007,937586.75,
100,3000,100000138,2024,1,50,800000,745793.01,
100,3000,100000138,2024,2,01,10026,745793.01,
100,3000,100000139,2024,1,50,800000,444988.5,
100,3000,100000139,2024,2,01,10038,444988.5,
100,3000,100000140,2024,1,50,800000,931533.0,
100,3000,100000140,2024,2,01,10026,931533.0,
100,3000,100000141,2024,1,50,800000,997758.1799999999,
100,3000,100000141,2024,2,01,10037,997758.1799999999,
100,3000,100000142,2024,1,50,800000,1124647.85,
100,3000,100000142,2024,2,01,10034,1124647.85,
100,1000,100000143,2024,1,50,410000,17721.58,
100,1000,100000143,2024,2,01,INTERNAL,17721.58,
100,1000,100000144,2024,1,50,410000,1688.59,
100,1000,100000144,2024,2,01,INTERNAL,1688.59,
100,1000,100000145,2024,1,50,410000,1971.23,
100,1000,100000145,2024,2,01,INTERNAL,1971.23,
100,1000,100000146,2024,1,50,410000,1947.24,
100,1000,100000146,2024,2,01,INTERNAL,1947.24,
100,1000,100000147,2024,1,50,410000,1253.44,
100,1000,100000147,2024,2,01,INTERNAL,1253.44,
100,1000,100000148,2024,1,50,410000,997.99,
100,1000,100000148,2024,2,01,INTERNAL,997.99,
100,2000,100000149,2024,1,40,400000,24506.6,LAB300
100,2000,100000149,2024,2,31,50051,24506.6,
100,2000,100000150,2024,1,40,400000,38127.58,REF200
100,2000,100000150,2024,2,31,50162,38127.58,
100,3000,100000151,2024,1,50,800000,524166.95,
100,3000,100000151,2024,2,01,10010,524166.95,
100,3000,100000152,2024,1,50,800000,578394.27,
100,3000,100000152,2024,2,01,10027,578394.27,
100,3000,100000153,2024,1,50,800000,223266.54,
100,3000,100000153,2024,2,01,10043,223266.54,
100,3000,100000154,2024,1,50,800000,523812.18000000005,
100,3000,100000154,2024,2,01,10024,523812.18000000005,
100,3000,100000155,2024,1,50,800000,830487.3599999999,
100,3000,100000155,2024,2,01,10029,830487.3599999999,
100,3000,100000156,2024,1,50,800000,572839.04,
100,3000,100000156,2024,2,01,10010,572839.04,
100,3000,100000157,2024,1,50,800000,1234255.6199999999,
100,3000,100000157,2024,2,01,10019,1234255.6199999999,
100,3000,100000158,2024,1,50,800000,598533.12,
100,3000,100000158,2024,2,01,10006,598533.12,
100,1000,100000159,2024,1,50,410000,532.91,
100,1000,100000159,2024,2,01,INTERNAL,532.91,
100,1000,100000160,2024,1,50,410000,1093.71,
100,1000,100000160,2024,2,01,INTERNAL,1093.71,
100,1000,100000161,2024,1,50,410000,1348.89,
100,1000,100000161,2024,2,01,INTERNAL,1348.89,
100,1000,100000162,2024,1,50,410000,1667.47,
100,1000,100000162,2024,2,01,INTERNAL,1667.47,
100,2000,100000163,2024,1,40,400000,14446.55,REF300
100,2000,100000163,2024,2,31,50146,14446.55,
100,1000,100000164,2024,1,40,400000,15335.25,MIN300
100,1000,100000164,2024,2,31,50020,15335.25,
100,3000,100000165,2024,1,50,800000,1177054.2000000002,
100,3000,100000165,2024,2,01,10008,1177054.2000000002,
100,3000,100000166,2024,1,50,800000,538324.4,
100,3000,100000166,2024,2,01,10030,538324.4,
100,3000,100000167,2024,1,50,800000,481054.29,
100,3000,100000167,2024,2,01,10014,481054.29,
100,3000,100000168,2024,1,50,800000,643005.27,
100,3000,100000168,2024,2,01,10007,643005.27,
100,3000,100000169,2024,1,50,800000,574394.73,
100,3000,100000169,2024,2,01,10030,574394.73,
100,3000,100000170,2024,1,50,800000,682366.45,
100,3000,100000170,2024,2,01,10039,682366.45,
100,1000,100000171,2024,1,50,410000,709.67,
100,1000,100000171,2024,2,01,INTERNAL,709.67,
100,1000,100000172,2024,1,50,410000,956.55,
100,1000,100000172,2024,2,01,INTERNAL,956.55,
100,1000,100000173,2024,1,50,410000,674.18,
100,1000,100000173,2024,2,01,INTERNAL,674.18,
100,1000,100000174,2024,1,50,410000,1830.89,
100,1000,100000174,2024,2,01,INTERNAL,1830.89,
100,2000,100000175,2024,1,40,400000,47857.65,REF200
100,2000,100000175,2024,2,31,50232,47857.65,
100,2000,100000176,2024,1,40,400000,42380.08,LAB300
100,2000,100000176,2024,2,31,50208,42380.08,
100,2000,100000177,2024,1,40,400000,36345.22000000001,LAB100
100,2000,100000177,2024,2,31,50031,36345.22000000001,
100,3000,100000178,2024,1,50,800000,524576.7,
100,3000,100000178,2024,2,01,10036,524576.7,
100,3000,100000179,2024,1,50,800000,309874.04,
100,3000,100000179,2024,2,01,10013,309874.04,
100,3000,100000180,2024,1,50,800000,340104.18000000005,
100,3000,100000180,2024,2,01,10038,340104.18000000005,
100,3000,100000181,2024,1,50,800000,442043.66,
100,3000,100000181,2024,2,01,10034,442043.66,
100,3000,100000182,2024,1,50,800000,773198.56,
100,3000,100000182,2024,2,01,10015,773198.56,
100,3000,100000183,2024,1,50,800000,624629.39,
100,3000,100000183,2024,2,01,10047,624629.39,
100,1000,100000184,2024,1,50,410000,1255.76,
100,1000,100000184,2024,2,01,INTERNAL,1255.76,
100,1000,100000185,2024,1,50,410000,565.05,
100,1000,100000185,2024,2,01,INTERNAL,565.05,
100,1000,100000186,2024,1,50,410000,1282.18,
100,1000,100000186,2024,2,01,INTERNAL,1282.18,
100,1000,100000187,2024,1,50,410000,1465.01,
100,1000,100000187,2024,2,01,INTERNAL,1465.01,
100,1000,100000188,2024,1,50,410000,591.24,
100,1000,100000188,2024,2,01,INTERNAL,591.24,
100,1000,100000189,2024,1,50,410000,1770.95,
100,1000,100000189,2024,2,01,INTERNAL,1770.95,
100,1000,100000190,2024,1,40,400000,29571.78,PLAN300
100,1000,100000190,2024,2,31,50251,29571.78,
100,2000,100000191,2024,1,40,400000,89483.88,LOG100
100,2000,100000191,2024,2,31,50232,89483.88,
100,2000,100000192,2024,1,40,400000,23470.3,REF200
100,2000,100000192,2024,2,31,50232,23470.3,
100,1000,100000193,2024,1,40,400000,15815.52,MIN300
100,1000,100000193,2024,2,31,50221,15815.52,
100,1000,100000194,2024,1,40,400000,23962.88,MANT200
100,1000,100000194,2024,2,31,50287,23962.88,
100,3000,100000195,2024,1,50,800000,477655.37999999995,
100,3000,100000195,2024,2,01,10006,477655.37999999995,
100,3000,100000196,2024,1,50,800000,914920.7,
100,3000,100000196,2024,2,01,10006,914920.7,
100,3000,100000197,2024,1,50,800000,276253.74000000005,
100,3000,100000197,2024,2,01,10027,276253.74000000005,
100,3000,100000198,2024,1,50,800000,1023465.84,
100,3000,100000198,2024,2,01,10017,1023465.84,
100,3000,100000199,2024,1,50,800000,247517.94999999998,
100,3000,100000199,2024,2,01,10004,247517.94999999998,
100,3000,100000200,2024,1,50,800000,961655.6599999999,
100,3000,100000200,2024,2,01,10013,961655.6599999999,
100,3000,100000201,2024,1,50,800000,219555.96000000002,
100,3000,100000201,2024,2,01,10049,219555.96000000002,
100,1000,100000202,2024,1,50,410000,18862.26,
100,1000,100000202,2024,2,01,INTERNAL,18862.26,
100,1000,100000203,2024,1,50,410000,1228.49,
100,1000,100000203,2024,2,01,INTERNAL,1228.49,
100,1000,100000204,2024,1,50,410000,1121.28,
100,1000,100000204,2024,2,01,INTERNAL,1121.28,
100,1000,100000205,2024,1,50,410000,1632.41,
100,1000,100000205,2024,2,01,INTERNAL,1632.41,
100,1000,100000206,2024,1,50,410000,1017.76,
100,1000,100000206,2024,2,01,INTERNAL,1017.76,
100,1000,100000207,2024,1,50,410000,924.87,
100,1000,100000207,2024,2,01,INTERNAL,924.87,
100,1000,100000208,2024,1,50,410000,1389.7,
100,1000,100000208,2024,2,01,INTERNAL,1389.7,
100,2000,100000209,2024,1,40,400000,18732.309999999998,REF300
100,2000,100000209,2024,2,31,50023,18732.309999999998,
100,2000,100000210,2024,1,40,400000,12424.4,LOG300
100,2000,100000210,2024,2,31,50148,12424.4,
100,2000,100000211,2024,1,40,400000,32949.85,REF200
100,2000,100000211,2024,2,31,50036,32949.85,
100,2000,100000212,2024,1,40,400000,24617.359999999997,LOG100
100,2000,100000212,2024,2,31,50010,24617.359999999997,
100,1000,100000213,2024,1,40,400000,9519.64,MANT100
100,1000,100000213,2024,2,31,50202,9519.64,
100,2000,100000214,2024,1,40,400000,7140.410000000001,REF200
100,2000,100000214,2024,2,31,50179,7140.410000000001,
100,3000,100000215,2024,1,50,800000,1436256.1600000001,
100,3000,100000215,2024,2,01,10049,1436256.1600000001,
100,3000,100000216,2024,1,50,800000,835543.99,
100,3000,100000216,2024,2,01,10039,835543.99,
100,3000,100000217,2024,1,50,800000,444927.84,
100,3000,100000217,2024,2,01,10017,444927.84,
100,3000,100000218,2024,1,50,800000,394605.07999999996,
100,3000,100000218,2024,2,01,10029,394605.07999999996,
100,3000,100000219,2024,1,50,800000,1343410.78,
100,3000,100000219,2024,2,01,10005,1343410.78,
100,3000,100000220,2024,1,50,800000,669544.4400000001,
100,3000,100000220,2024,2,01,10036,669544.4400000001,
100,1000,100000221,2024,1,50,410000,655.25,
100,1000,100000221,2024,2,01,INTERNAL,655.25,
100,1000,100000222,2024,1,50,410000,1973.58,
100,1000,100000222,2024,2,01,INTERNAL,1973.58,
100,1000,100000223,2024,1,50,410000,1256.82,
100,1000,100000223,2024,2,01,INTERNAL,1256.82,
100,1000,100000224,2024,1,40,400000,53785.94,MANT300
100,1000,100000224,2024,2,31,50126,53785.94,
100,1000,100000225,2024,1,40,400000,14956.480000000001,MANT200
100,1000,100000225,2024,2,31,50168,14956.480000000001,
100,1000,100000226,2024,1,40,400000,6711.009999999999,MANT300
100,1000,100000226,2024,2,31,50170,6711.009999999999,
100,3000,100000227,2024,1,50,800000,1179098.35,
100,3000,100000227,2024,2,01,10041,1179098.35,
100,3000,100000228,2024,1,50,800000,1015542.8200000001,
100,3000,100000228,2024,2,01,10041,1015542.8200000001,
100,3000,100000229,2024,1,50,800000,559117.1900000001,
100,3000,100000229,2024,2,01,10023,559117.1900000001,
100,3000,100000230,2024,1,50,800000,477529.47,
100,3000,100000230,2024,2,01,10008,477529.47,
100,3000,100000231,2024,1,50,800000,546895.7999999999,
100,3000,100000231,2024,2,01,10006,546895.7999999999,
100,3000,100000232,2024,1,50,800000,357991.33999999997,
100,3000,100000232,2024,2,01,10024,357991.33999999997,
100,3000,100000233,2024,1,50,800000,166085.75,
100,3000,100000233,2024,2,01,10049,166085.75,
100,1000,100000234,2024,1,50,410000,927.39,
100,1000,100000234,2024,2,01,INTERNAL,927.39,
100,1000,100000235,2024,1,50,410000,1675.7,
100,1000,100000235,2024,2,01,INTERNAL,1675.7,
100,1000,100000236,2024,1,50,410000,1301.02,
100,1000,100000236,2024,2,01,INTERNAL,1301.02,
100,2000,100000237,2024,1,40,400000,56939.18000000001,REF300
100,2000,100000237,2024,2,31,50099,56939.18000000001,
100,1000,100000238,2024,1,40,400000,67668.98000000001,MANT200
100,1000,100000238,2024,2,31,50070,67668.98000000001,
100,1000,100000239,2024,1,40,400000,30546.32,MIN100
100,1000,100000239,2024,2,31,50082,30546.32,
100,2000,100000240,2024,1,40,400000,29599.059999999998,REF300
100,2000,100000240,2024,2,31,50027,29599.059999999998,
100,3000,100000241,2024,1,50,800000,695833.4,
100,3000,100000241,2024,2,01,10018,695833.4,
100,3000,100000242,2024,1,50,800000,689775.73,
100,3000,100000242,2024,2,01,10013,689775.73,
100,3000,100000243,2024,1,50,800000,869842.75,
100,3000,100000243,2024,2,01,10007,869842.75,
100,3000,100000244,2024,1,50,800000,969634.62,
100,3000,100000244,2024,2,01,10039,969634.62,
100,3000,100000245,2024,1,50,800000,382866.72000000003,
100,3000,100000245,2024,2,01,10040,382866.72000000003,
100,1000,100000246,2024,1,50,410000,1124.85,
100,1000,100000246,2024,2,01,INTERNAL,1124.85,
100,1000,100000247,2024,1,50,410000,1502.32,
100,1000,100000247,2024,2,01,INTERNAL,1502.32,
100,1000,100000248,2024,1,50,410000,1961.98,
100,1000,100000248,2024,2,01,INTERNAL,1961.98,
100,1000,100000249,2024,1,50,410000,1930.11,
100,1000,100000249,2024,2,01,INTERNAL,1930.11,
100,1000,100000250,2024,1,50,410000,1260.99,
100,1000,100000250,2024,2,01,INTERNAL,1260.99,
100,1000,100000251,2024,1,50,410000,1331.23,
100,1000,100000251,2024,2,01,INTERNAL,1331.23,
100,2000,100000252,2024,1,40,400000,57185.32,LAB300
100,2000,100000252,2024,2,31,50022,57185.32,
100,1000,100000253,2024,1,40,400000,58936.16,MIN300
100,1000,100000253,2024,2,31,50022,58936.16,
100,1000,100000254,2024,1,40,400000,1077.05,MANT100
100,1000,100000254,2024,2,31,50234,1077.05,
100,1000,100000255,2024,1,40,400000,36147.39,MANT300
100,1000,100000255,2024,2,31,50161,36147.39,
100,1000,100000256,2024,1,40,400000,44461.82,PLAN200
100,1000,100000256,2024,2,31,50169,44461.82,
100,3000,100000257,2024,1,50,800000,644720.76,
100,3000,100000257,2024,2,01,10031,644720.76,
100,3000,100000258,2024,1,50,800000,575805.1799999999,
100,3000,100000258,2024,2,01,10011,575805.1799999999,
100,3000,100000259,2024,1,50,800000,971732.0899999999,
100,3000,100000259,2024,2,01,10045,971732.0899999999,
100,3000,100000260,2024,1,50,800000,688311.9,
100,3000,100000260,2024,2,01,10027,688311.9,
100,3000,100000261,2024,1,50,800000,318997.84,
