MANDT,EBELN,EBELP,MATNR,WERKS,MENGE,NETPR,BRTWR
100,4500000015,30,10135,1000,33,416.4,13741.199999999999
100,4500000016,10,10022,1000,1,300.17,300.17
100,4500000016,20,10066,1000,41,784.85,32178.850000000002
100,4500000016,30,10082,1000,48,381.38,18306.239999999998
100,4500000017,10,10297,1000,17,78.69,1337.73
100,4500000017,20,80005,1000,28,309.27,8659.56
100,4500000018,10,10197,2000,37,192.56,7124.72
100,4500000019,10,80035,2000,45,54.16,2437.2
100,4500000019,20,30034,2000,50,714.1,35705.0
100,4500000020,10,10025,1000,36,236.9,8528.4
100,4500000020,20,10062,1000,30,150.0,4500.0
100,4500000020,30,10237,1000,43,448.35,19279.05
100,4500000020,40,10286,1000,39,287.97,11230.830000000002
100,4500000021,10,10081,2000,48,696.12,33413.76
100,4500000021,20,10230,2000,17,613.83,10435.11
100,4500000021,30,80026,2000,18,624.36,11238.48
100,4500000021,40,10266,2000,32,520.06,16641.92
100,4500000022,10,10120,2000,18,301.89,5434.0199999999995
100,4500000022,20,10276,2000,6,153.78,922.6800000000001
100,4500000022,30,10118,2000,25,570.46,14261.5
100,4500000023,10,10169,1000,35,399.44,13980.4
100,4500000023,20,10031,1000,14,674.67,9445.38
100,4500000023,30,10199,1000,50,488.06,24403.0
100,4500000023,40,30006,1000,2,692.55,1385.1
100,4500000024,10,10242,1000,43,135.79,5838.969999999999
100,4500000024,20,10111,1000,30,574.6,17238.0
100,4500000025,10,10159,1000,7,484.01,3388.0699999999997
100,4500000025,20,10159,1000,37,558.01,20646.37
100,4500000026,10,80003,2000,45,672.93,30281.85
100,4500000027,10,10289,1000,3,310.4,931.1999999999999
100,4500000028,10,10006,2000,27,666.75,18002.25
100,4500000028,20,10054,2000,28,770.59,21576.52
100,4500000028,30,80025,2000,30,580.48,17414.4
100,4500000029,10,80015,1000,35,630.98,22084.3
100,4500000029,20,10238,1000,28,669.3,18740.399999999998
100,4500000029,30,80003,1000,18,291.73,5251.14
100,4500000030,10,10180,2000,45,390.31,17563.95
100,4500000030,20,10156,2000,17,222.9,3789.3
100,4500000030,30,30019,2000,13,286.66,3726.5800000000004
100,4500000031,10,30028,1000,31,257.37,7978.47
100,4500000031,20,80001,1000,49,443.48,21730.52
100,4500000032,10,10116,1000,24,184.58,4429.92
100,4500000032,20,10007,1000,46,450.6,20727.600000000002
100,4500000032,30,10140,1000,3,780.72,2342.16
100,4500000033,10,10052,2000,1,480.55,480.55
100,4500000033,20,10240,2000,31,380.35,11790.85
100,4500000033,30,10094,2000,4,239.36,957.44
100,4500000033,40,10244,2000,8,666.59,5332.72
100,4500000034,10,10077,2000,10,658.36,6583.6
100,4500000035,10,10285,1000,49,362.13,17744.37
100,4500000036,10,10142,2000,12,797.71,9572.52
100,4500000036,20,10223,2000,41,660.68,27087.879999999997
100,4500000036,30,10046,2000,31,310.97,9640.070000000002
100,4500000036,40,10170,2000,21,552.6,11604.6
100,4500000037,10,10147,2000,43,758.9,32632.7
100,4500000037,20,30039,2000,36,77.52,2790.72
100,4500000037,30,10045,2000,21,239.3,5025.3
100,4500000037,40,10059,2000,50,353.13,17656.5
100,4500000038,10,10211,1000,4,190.69,762.76
100,4500000038,20,10185,1000,40,617.33,24693.2
100,4500000038,30,80020,1000,29,619.99,17979.71
100,4500000038,40,10104,1000,18,461.91,8314.380000000001
100,4500000039,10,10007,2000,47,158.12,7431.64
100,4500000039,20,80035,2000,10,106.12,1061.2
100,4500000039,30,10135,2000,22,517.44,11383.68
100,4500000039,40,10203,2000,42,110.24,4630.08
100,4500000040,10,10277,2000,3,513.09,1539.27
100,4500000040,20,10120,2000,41,563.3,23095.3
100,4500000040,30,10147,2000,15,610.07,9151.050000000001
100,4500000040,40,10222,2000,7,620.28,4341.96
100,4500000041,10,80010,2000,23,214.25,4927.75
100,4500000041,20,10097,2000,40,237.97,9518.8
100,4500000042,10,10225,1000,3,484.68,1454.04
100,4500000042,20,30024,1000,9,117.6,1058.3999999999999
100,4500000042,30,10151,1000,21,610.61,12822.81
100,4500000043,10,80043,2000,48,572.36,27473.28
100,4500000043,20,10276,2000,27,490.51,13243.77
100,4500000043,30,30022,2000,10,714.06,7140.599999999999
100,4500000044,10,10016,2000,45,327.9,14755.499999999998
100,4500000044,20,10227,2000,29,762.92,22124.68
100,4500000044,30,10185,2000,7,785.7,5499.900000000001
100,4500000045,10,10141,2000,13,776.16,10090.08
100,4500000045,20,10232,2000,6,547.08,3282.4800000000005
100,4500000045,30,80028,2000,41,497.86,20412.260000000002
100,4500000045,40,10010,2000,4,640.1,2560.4
100,4500000046,10,10037,1000,6,291.58,1749.48
100,4500000046,20,10075,1000,5,144.64,723.1999999999999
100,4500000046,30,80019,1000,41,489.02,20049.82
100,4500000046,40,30014,1000,21,335.68,7049.28
100,4500000047,10,10050,2000,45,135.81,6111.45
100,4500000047,20,80035,2000,42,708.28,29747.76
100,4500000047,30,10282,2000,47,699.12,32858.64
100,4500000047,40,10220,2000,29,716.07,20766.030000000002
100,4500000048,10,10212,2000,47,121.31,5701.57
100,4500000048,20,10218,2000,21,548.83,11525.43
100,4500000048,30,10191,2000,10,565.12,5651.2
100,4500000048,40,10242,2000,5,118.42,592.1
100,4500000049,10,30031,1000,48,329.49,15815.52
100,4500000050,10,80043,1000,8,358.11,2864.88
100,4500000050,20,80040,1000,49,367.2,17992.8
100,4500000050,30,30019,1000,4,776.3,3105.2
100,4500000051,10,10202,2000,39,91.09,3552.51
100,4500000051,20,10104,2000,20,758.99,15179.8
100,4500000052,10,10061,2000,1,423.04,423.04
100,4500000052,20,10220,2000,12,146.89,1762.6799999999998
100,4500000052,30,10272,2000,46,222.58,10238.68
100,4500000053,10,30029,2000,3,377.16,1131.48
100,4500000053,20,10235,2000,5,696.58,3482.9
100,4500000053,30,10294,2000,28,480.05,13441.4
100,4500000053,40,30013,2000,41,363.27,14894.07
100,4500000054,10,10087,2000,40,395.07,15802.8
100,4500000054,20,30003,2000,24,116.1,2786.3999999999996
100,4500000054,30,10054,2000,16,376.76,6028.16
100,4500000055,10,30031,1000,22,216.18,4755.96
100,4500000055,20,30048,1000,11,107.28,1180.08
100,4500000055,30,80024,1000,8,447.95,3583.6
100,4500000056,10,10120,2000,7,159.83,1118.8100000000002
100,4500000056,20,10101,2000,12,501.8,6021.6
100,4500000057,10,10224,1000,34,442.06,15030.04
100,4500000057,20,10081,1000,24,329.64,7911.36
100,4500000057,30,10144,1000,25,356.58,8914.5
100,4500000057,40,10173,1000,44,498.41,21930.04
100,4500000058,10,10285,1000,44,339.92,14956.480000000001
100,4500000059,10,10298,1000,43,156.07,6711.009999999999
100,4500000060,10,80047,2000,37,788.33,29168.210000000003
100,4500000060,20,10236,2000,50,261.33,13066.5
100,4500000060,30,10195,2000,33,445.59,14704.47
100,4500000061,10,10026,1000,42,410.44,17238.48
100,4500000061,20,10190,1000,36,750.72,27025.920000000002
100,4500000061,30,30014,1000,34,688.37,23404.58
100,4500000062,10,10230,1000,33,160.51,5296.83
100,4500000062,20,10223,1000,6,759.81,4558.86
100,4500000062,30,10113,1000,29,713.47,20690.63
100,4500000063,10,10257,2000,24,226.83,5443.92
100,4500000063,20,10041,2000,24,218.4,5241.6
100,4500000063,30,10163,2000,7,679.38,4755.66
100,4500000063,40,80032,2000,22,643.54,14157.88
100,4500000064,10,10191,2000,17,610.49,10378.33
100,4500000064,20,10182,2000,5,308.6,1543.0
100,4500000064,30,30025,2000,43,521.19,22411.170000000002
100,4500000064,40,30045,2000,38,601.39,22852.82
100,4500000065,10,10279,1000,22,660.13,14522.86
100,4500000065,20,10089,1000,50,563.51,28175.5
100,4500000065,30,30006,1000,31,523.8,16237.8
100,4500000066,10,10150,1000,13,82.85,1077.05
100,4500000067,10,10263,1000,26,791.84,20587.84
100,4500000067,20,10278,1000,31,239.99,7439.6900000000005
100,4500000067,30,30035,1000,42,193.33,8119.860000000001
100,4500000068,10,10063,1000,24,377.71,9065.039999999999
100,4500000068,20,10204,1000,48,379.8,18230.4
100,4500000068,30,10197,1000,22,780.29,17166.379999999997
100,4500000069,10,80049,1000,21,550.88,11568.48
100,4500000070,10,30014,2000,46,745.49,34292.54
100,4500000070,20,80026,2000,12,645.27,7743.24
100,4500000071,10,10071,1000,16,642.78,10284.48
100,4500000071,20,10013,1000,24,465.52,11172.48
100,4500000072,10,80013,2000,6,99.31,595.86
100,4500000072,20,10203,2000,46,589.15,27100.899999999998
100,4500000073,10,10064,2000,21,531.75,11166.75
100,4500000074,10,10204,2000,9,620.5,5584.5
100,4500000074,20,10263,2000,36,129.64,4667.039999999999
100,4500000074,30,10123,2000,30,141.89,4256.7
100,4500000075,10,10025,1000,19,759.04,14421.759999999998
100,4500000076,10,10295,1000,47,284.54,13373.380000000001
100,4500000076,20,30040,1000,11,423.7,4660.7
100,4500000076,30,10263,1000,30,424.07,12722.1
100,4500000077,10,30012,2000,37,274.84,10169.08
100,4500000077,20,10008,2000,24,298.43,7162.32
100,4500000077,30,10056,2000,27,487.78,13170.06
100,4500000077,40,30021,2000,45,521.95,23487.750000000004
100,4500000078,10,30019,2000,4,487.64,1950.56
100,4500000078,20,10087,2000,34,521.77,17740.18
100,4500000079,10,10293,1000,45,132.42,5958.9
100,4500000080,10,10077,2000,27,567.88,15332.76
100,4500000080,20,10210,2000,33,631.23,20830.59
100,4500000080,30,10241,2000,48,595.55,28586.399999999998
100,4500000080,40,30011,2000,9,439.01,3951.09
100,4500000081,10,80030,2000,4,730.95,2923.8
100,4500000081,20,10045,2000,42,480.6,20185.2
100,4500000081,30,10273,2000,48,592.34,28432.32
100,4500000082,10,10018,1000,26,640.97,16665.22
100,4500000082,20,10095,1000,48,771.6,37036.8
100,4500000083,10,10290,1000,39,130.48,5088.719999999999
100,4500000083,20,10171,1000,19,390.76,7424.44
100,4500000083,30,80028,1000,35,443.24,15513.4
100,4500000084,10,10059,1000,44,204.05,8978.2
100,4500000084,20,10298,1000,32,118.21,3782.72
100,4500000084,30,10261,1000,29,656.52,19039.079999999998
100,4500000084,40,10232,1000,9,434.94,3914.46
100,4500000085,10,80044,1000,20,592.46,11849.2
100,4500000085,20,10202,1000,17,662.34,11259.78
100,4500000085,30,30031,1000,14,483.73,6772.22
100,4500000085,40,10023,1000,28,308.4,8635.199999999999
100,4500000086,10,10016,1000,19,356.65,6776.349999999999
100,4500000086,20,30043,1000,9,624.37,5619.33
100,4500000086,30,30023,1000,42,772.84,32459.280000000002
100,4500000086,40,10191,1000,25,386.4,9660.0
100,4500000087,10,30006,2000,27,356.19,9617.13
100,4500000087,20,10153,2000,25,187.91,4697.75
100,4500000087,30,10275,2000,31,230.73,7152.63
100,4500000088,10,10029,2000,36,359.51,12942.36
100,4500000088,20,10213,2000,36,447.49,16109.64
100,4500000088,30,10198,2000,16,241.25,3860.0
100,4500000088,40,10169,2000,42,109.3,4590.599999999999
100,4500000089,10,10168,2000,15,334.88,5023.2
100,4500000089,20,10125,2000,32,462.98,14815.36
100,4500000090,10,10235,2000,11,599.58,6595.38
100,4500000090,20,10180,2000,11,154.97,1704.67
100,4500000090,30,10279,2000,32,188.04,6017.28
100,4500000090,40,10277,2000,42,767.93,32253.059999999998
100,4500000091,10,30041,1000,1,359.29,359.29
100,4500000092,10,10111,1000,33,392.01,12936.33
100,4500000093,10,10003,2000,35,463.73,16230.550000000001
100,4500000094,10,10038,2000,44,744.19,32744.36
100,4500000095,10,10008,1000,14,490.28,6863.92
100,4500000095,20,30035,1000,46,665.68,30621.28
100,4500000095,30,10039,1000,20,171.84,3436.8
100,4500000096,10,10196,2000,49,604.81,29635.69
100,4500000096,20,30002,2000,47,108.82,5114.54
100,4500000096,30,30031,2000,23,90.27,2076.21
100,4500000097,10,80009,1000,50,510.4,25520.0
100,4500000097,20,80004,1000,26,776.69,20193.940000000002
100,4500000097,30,10167,1000,2,525.59,1051.18
100,4500000098,10,10283,2000,25,373.89,9347.25
100,4500000098,20,80048,2000,38,545.5,20729.0
100,4500000098,30,10043,2000,50,513.96,25698.0
100,4500000099,10,10078,1000,25,583.76,14594.0
100,4500000099,20,80024,1000,10,604.74,6047.4
100,4500000099,30,10162,1000,24,129.91,3117.84
100,4500000100,10,10090,1000,26,776.54,20190.04
100,4500000100,20,10149,1000,48,571.22,27418.56
100,4500000100,30,10251,1000,37,636.48,23549.760000000002
100,4500000101,10,10186,2000,8,749.05,5992.4
100,4500000101,20,10102,2000,38,797.95,30322.100000000002
100,4500000101,30,10092,2000,44,625.71,27531.24
100,4500000101,40,10013,2000,47,396.22,18622.34
100,4500000102,10,10209,2000,44,424.48,18677.120000000003
100,4500000103,10,30016,1000,28,641.81,17970.68
100,4500000103,20,10037,1000,29,793.03,22997.87
100,4500000104,10,10278,2000,3,643.04,1929.12
100,4500000104,20,10184,2000,45,721.63,32473.35
100,4500000104,30,10274,2000,39,528.64,20616.96
100,4500000104,40,10043,2000,7,626.72,4387.04
100,4500000105,10,30035,1000,22,774.29,17034.379999999997
100,4500000105,20,10220,1000,7,57.91,405.37
100,4500000105,30,10132,1000,15,433.01,6495.15
100,4500000105,40,10265,1000,36,485.39,17474.04
100,4500000106,10,10187,1000,21,197.81,4154.01
100,4500000106,20,10058,1000,17,553.03,9401.51
100,4500000107,10,80000,2000,8,310.94,2487.52
100,4500000107,20,10234,2000,40,179.4,7176.0
100,4500000107,30,80044,2000,46,650.46,29921.160000000003
100,4500000107,40,80014,2000,38,113.56,4315.28
100,4500000108,10,10137,1000,50,457.33,22866.5
100,4500000109,10,10217,1000,7,601.99,4213.93
100,4500000109,20,80034,1000,49,235.65,11546.85
100,4500000110,10,10044,2000,29,698.97,20270.13
100,4500000110,20,10060,2000,50,658.92,32946.0
100,4500000110,30,10107,2000,48,490.94,23565.12
100,4500000111,10,10105,2000,14,654.08,9157.12
100,4500000111,20,10291,2000,23,449.21,10331.83
100,4500000112,10,10148,1000,37,250.51,9268.869999999999
100,4500000112,20,10263,1000,44,661.39,29101.16
100,4500000112,30,10069,1000,49,639.27,31324.23
100,4500000113,10,10127,2000,10,583.55,5835.5
100,4500000113,20,10126,2000,49,682.67,33450.829999999994
100,4500000114,10,30006,2000,22,662.83,14582.26
100,4500000115,10,10117,1000,25,117.0,2925.0
100,4500000116,10,10153,1000,9,337.04,3033.36
100,4500000116,20,30035,1000,9,531.18,4780.62
100,4500000116,30,80046,1000,10,101.31,1013.1
100,4500000117,10,10042,2000,41,452.42,18549.22
100,4500000117,20,80015,2000,10,258.1,2581.0
100,4500000117,30,10158,2000,6,433.48,2600.88
100,4500000117,40,10104,2000,10,452.29,4522.900000000001
100,4500000118,10,30023,1000,16,93.43,1494.88
100,4500000118,20,10044,1000,28,136.99,3835.7200000000003
100,4500000118,30,80013,1000,39,91.27,3559.5299999999997
100,4500000118,40,80041,1000,48,543.54,26089.92
100,4500000119,10,30009,1000,1,172.87,172.87
100,4500000119,20,10177,1000,34,437.92,14889.28
100,4500000120,10,30033,1000,50,705.1,35255.0
100,4500000120,20,30025,1000,8,628.57,5028.56
100,4500000121,10,10268,2000,5,247.21,1236.05
100,4500000121,20,10295,2000,41,107.8,4419.8
100,4500000121,30,10233,2000,33,320.09,10562.97
100,4500000122,10,10130,1000,50,127.18,6359.0
100,4500000122,20,10293,1000,44,592.08,26051.52
100,4500000123,10,30008,1000,24,393.84,9452.16
100,4500000123,20,30032,1000,6,485.58,2913.48
100,4500000123,30,10258,1000,9,527.91,4751.19
100,4500000123,40,10201,1000,5,493.92,2469.6
100,4500000124,10,10149,2000,17,688.19,11699.230000000001
100,4500000124,20,10201,2000,45,673.92,30326.399999999998
100,4500000125,10,10101,1000,42,382.57,16067.94
100,4500000126,10,10021,1000,30,87.98,2639.4
100,4500000127,10,10195,2000,44,370.0,16280.0
100,4500000128,10,10143,1000,29,712.57,20664.530000000002
100,4500000128,20,10017,1000,40,514.38,20575.2
100,4500000128,30,10125,1000,42,271.33,11395.859999999999
100,4500000129,10,30017,1000,12,739.09,8869.08
100,4500000129,20,10165,1000,4,66.43,265.72
100,4500000129,30,80000,1000,46,737.92,33944.32
100,4500000130,10,30010,2000,43,346.7,14908.1
100,4500000130,20,10051,2000,22,276.32,6079.04
100,4500000130,30,10069,2000,11,599.26,6591.86
100,4500000131,10,30012,2000,36,570.17,20526.12
100,4500000131,20,80014,2000,23,217.43,5000.89
100,4500000132,10,10065,2000,12,596.62,7159.4400000000005
100,4500000132,20,30009,2000,37,343.7,12716.9
100,4500000132,30,30044,2000,37,74.29,2748.73
100,4500000133,10,10121,2000,7,87.23,610.61
100,4500000133,20,10292,2000,36,679.89,24476.04
100,4500000133,30,10078,2000,4,320.62,1282.48
100,4500000134,10,10102,1000,7,69.3,485.09999999999997
100,4500000134,20,10087,1000,41,268.86,11023.26
100,4500000134,30,10041,1000,31,682.83,21167.73
100,4500000134,40,10157,1000,26,403.21,10483.46
100,4500000135,10,10094,1000,24,714.12,17138.88
100,4500000135,20,10189,1000,12,384.33,4611.96
100,4500000135,30,10134,1000,29,398.79,11564.91
100,4500000135,40,10115,1000,18,473.18,8517.24
100,4500000136,10,10277,1000,27,778.03,21006.809999999998
100,4500000136,20,80001,1000,15,465.2,6978.0
100,4500000136,30,10198,1000,34,363.97,12374.980000000001
100,4500000137,10,10243,2000,20,109.22,2184.4
100,4500000137,20,30015,2000,3,426.58,1279.74
100,4500000138,10,10088,1000,11,779.12,8570.32
100,4500000138,20,10098,1000,9,82.01,738.09
100,4500000138,30,10040,1000,44,376.54,16567.760000000002
100,4500000138,40,80021,1000,10,675.58,6755.8
100,4500000139,10,80009,2000,42,116.97,4912.74
100,4500000139,20,10226,2000,14,735.07,10290.980000000001
100,4500000139,30,10208,2000,48,413.35,19840.800000000003
100,4500000139,40,10264,2000,24,665.76,15978.24
100,4500000140,10,30013,1000,33,352.54,11633.820000000002
100,4500000140,20,30049,1000,34,709.5,24123.0
100,4500000140,30,10014,1000,12,194.57,2334.84
100,4500000141,10,10233,1000,4,738.52,2954.08
100,4500000142,10,10258,2000,26,526.56,13690.559999999998
100,4500000142,20,10063,2000,44,72.92,3208.48
100,4500000142,30,10190,2000,32,495.53,15856.96
100,4500000142,40,10090,2000,31,490.16,15194.960000000001
100,4500000143,10,30033,2000,45,117.79,5300.55
100,4500000143,20,10014,2000,25,87.24,2181.0
100,4500000143,30,10292,2000,50,773.69,38684.5
100,4500000144,10,10113,1000,23,217.5,5002.5
100,4500000145,10,10133,2000,38,270.54,10280.52
100,4500000145,20,10060,2000,31,90.26,2798.06
100,4500000145,30,80024,2000,38,485.23,18438.74
100,4500000146,10,80048,2000,25,447.38,11184.5
100,4500000147,10,10102,1000,22,356.89,7851.58
100,4500000147,20,10291,1000,30,157.42,4722.599999999999
100,4500000148,10,80023,1000,12,285.06,3420.7200000000003
100,4500000148,20,10029,1000,1,389.04,389.04
100,4500000148,30,10107,1000,49,630.16,30877.84
100,4500000149,10,80014,2000,28,525.12,14703.36
100,4500000149,20,10206,2000,28,774.0,21672.0
100,4500000150,10,30014,1000,42,644.1,27052.2
100,4500000150,20,10192,1000,41,241.84,9915.44
100,4500000150,30,10273,1000,40,86.44,3457.6
100,4500000151,10,30003,1000,8,362.58,2900.64
100,4500000152,10,10293,1000,43,420.58,18084.94
100,4500000153,10,80029,1000,15,392.56,5888.4
100,4500000153,20,10151,1000,17,398.21,6769.57
100,4500000153,30,10051,1000,12,705.61,8467.32
100,4500000154,10,10246,1000,23,547.78,12598.939999999999
100,4500000154,20,80028,1000,25,161.49,4037.25
100,4500000155,10,10258,1000,31,688.9,21355.899999999998
100,4500000155,20,10084,1000,5,613.57,3067.8500000000004
100,4500000156,10,10025,1000,33,217.03,7161.99
100,4500000156,20,80029,1000,25,352.46,8811.5
100,4500000156,30,10120,1000,6,394.32,2365.92
100,4500000157,10,10161,1000,8,785.5,6284.0
100,4500000157,20,30031,1000,42,63.33,2659.86
100,4500000157,30,10206,1000,27,76.87,2075.4900000000002
100,4500000157,40,10281,1000,1,669.43,669.43
100,4500000158,10,10068,2000,9,359.56,3236.04
100,4500000158,20,30008,2000,48,434.22,20842.56
100,4500000158,30,30009,2000,36,695.53,25039.079999999998
100,4500000158,40,30014,2000,48,751.63,36078.24
100,4500000159,10,30001,1000,23,740.89,17040.47
100,4500000159,20,10067,1000,46,537.56,24727.76
100,4500000159,30,10091,1000,33,456.87,15076.710000000001
100,4500000160,10,10298,1000,37,757.01,28009.37
100,4500000160,20,30013,1000,27,555.68,15003.359999999999
100,4500000160,30,10273,1000,19,708.11,13454.09
100,4500000160,40,10216,1000,1,442.05,442.05
100,4500000161,10,80043,2000,4,199.93,799.72
100,4500000162,10,10031,2000,45,638.27,28722.149999999998
100,4500000162,20,10104,2000,49,455.88,22338.12
100,4500000163,10,10113,2000,14,547.5,7665.0
100,4500000163,20,10169,2000,24,270.18,6484.32
100,4500000163,30,30035,2000,40,447.87,17914.8
100,4500000164,10,10228,1000,16,728.37,11653.92
100,4500000164,20,80014,1000,40,232.87,9314.8
100,4500000164,30,10020,1000,44,714.25,31427.0
100,4500000165,10,10276,1000,47,262.12,12319.64
100,4500000165,20,10264,1000,50,331.22,16561.0
100,4500000165,30,10260,1000,29,415.1,12037.900000000001
100,4500000166,10,10049,1000,11,778.72,8565.92
100,4500000167,10,80043,1000,41,630.19,25837.79
100,4500000167,20,30000,1000,28,676.75,18949.0
100,4500000168,10,10012,2000,30,587.65,17629.5
100,4500000168,20,10019,2000,6,104.94,629.64
100,4500000169,10,30033,1000,48,727.66,34927.68
100,4500000169,20,10176,1000,14,359.49,5032.860000000001
100,4500000170,10,10113,1000,40,676.06,27042.399999999998
100,4500000170,20,10099,1000,8,186.02,1488.16
100,4500000171,10,10148,2000,43,100.52,4322.36
100,4500000172,10,10169,1000,23,146.16,3361.68
100,4500000172,20,80035,1000,16,125.03,2000.48
100,4500000172,30,80017,1000,5,725.09,3625.4500000000003
100,4500000172,40,10162,1000,32,387.98,12415.36
100,4500000173,10,10161,1000,28,176.48,4941.44
100,4500000173,20,10160,1000,16,639.25,10228.0
100,4500000173,30,30014,1000,48,530.63,25470.239999999998
100,4500000174,10,10245,2000,30,384.02,11520.599999999999
100,4500000174,20,30046,2000,20,415.23,8304.6
100,4500000174,30,10055,2000,12,534.16,6409.92
100,4500000175,10,10023,2000,3,785.44,2356.32
100,4500000175,20,10165,2000,7,577.8,4044.5999999999995
100,4500000175,30,10266,2000,41,672.24,27561.84
100,4500000175,40,30029,2000,17,483.97,8227.49
100,4500000176,10,80000,2000,42,723.67,30394.14
100,4500000176,20,10039,2000,34,238.69,8115.46
100,4500000176,30,10114,2000,34,354.38,12048.92
100,4500000177,10,10256,2000,9,379.92,3419.28
100,4500000178,10,10108,1000,10,190.18,1901.8000000000002
100,4500000178,20,10185,1000,39,587.98,22931.22
100,4500000178,30,10060,1000,43,222.76,9578.68
100,4500000179,10,10117,1000,31,642.17,19907.27
100,4500000179,20,10195,1000,23,491.79,11311.17
100,4500000179,30,30029,1000,49,677.89,33216.61
100,4500000179,40,10294,1000,7,369.12,2583.84
100,4500000180,10,10145,2000,39,707.57,27595.230000000003
100,4500000181,10,30013,2000,48,642.07,30819.36
100,4500000182,10,10192,1000,42,204.06,8570.52
100,4500000183,10,10040,2000,39,78.32,3054.4799999999996
100,4500000183,20,10196,2000,26,510.47,13272.220000000001
100,4500000183,30,10266,2000,19,583.7,11090.300000000001
100,4500000184,10,10005,1000,13,687.93,8943.09
100,4500000184,20,10265,1000,19,196.06,3725.14
100,4500000184,30,80006,1000,33,436.86,14416.380000000001
100,4500000184,40,10118,1000,40,177.11,7084.400000000001
100,4500000185,10,80046,1000,45,222.45,10010.25
100,4500000185,20,10161,1000,27,766.58,20697.66
100,4500000186,10,10147,1000,6,349.2,2095.2
100,4500000186,20,30033,1000,22,107.02,2354.44
100,4500000187,10,10111,2000,37,251.81,9316.97
100,4500000187,20,30032,2000,44,747.69,32898.36
100,4500000187,30,10097,2000,32,602.83,19290.56
100,4500000188,10,10117,1000,13,676.21,8790.73
100,4500000188,20,80016,1000,23,167.0,3841.0
100,4500000189,10,30008,2000,49,329.23,16132.27
100,4500000189,20,10205,2000,18,388.05,6984.900000000001
100,4500000189,30,10292,2000,9,784.45,7060.05
100,4500000189,40,30001,2000,15,660.64,9909.6
100,4500000190,10,10195,1000,13,159.38,2071.94
100,4500000190,20,30028,1000,10,404.74,4047.4
100,4500000190,30,10004,1000,12,366.14,4393.68
100,4500000190,40,10068,1000,41,437.76,17948.16
100,4500000191,10,10287,2000,37,85.78,3173.86
100,4500000191,20,10050,2000,45,172.51,7762.95
100,4500000191,30,10110,2000,17,407.4,6925.799999999999
100,4500000192,10,10184,2000,24,470.26,11286.24
100,4500000192,20,10131,2000,23,64.88,1492.2399999999998
100,4500000192,30,10062,2000,23,700.53,16112.189999999999
100,4500000193,10,10166,1000,44,432.83,19044.52
100,4500000193,20,30046,1000,48,385.2,18489.6
100,4500000193,30,10040,1000,25,510.25,12756.25
100,4500000194,10,10005,2000,1,442.49,442.49
100,4500000194,20,30038,2000,9,307.91,2771.19
100,4500000194,30,10240,2000,35,56.24,1968.4
100,4500000195,10,30042,2000,28,648.47,18157.16
100,4500000196,10,10096,1000,27,711.62,19213.74
100,4500000196,20,10223,1000,26,237.42,6172.92
100,4500000196,30,30016,1000,48,534.49,25655.52
100,4500000197,10,10216,1000,41,229.67,9416.47
100,4500000198,10,10211,2000,13,690.11,8971.43
100,4500000198,20,10093,2000,9,267.2,2404.7999999999997
100,4500000198,30,80026,2000,30,513.3,15398.999999999998
100,4500000199,10,10127,1000,11,424.94,4674.34
100,4500000200,10,80030,1000,10,576.0,5760.0
100,4500000200,20,10054,1000,9,415.88,3742.92
