MANDT,KOKRS,BELNR,BUZEI,KSTAR,KOSTL,WTGBTR,REFBN
100,1000,300138,1,400000,MANT300,36147.39,100000255
100,1000,300139,1,400000,PLAN200,44461.82,100000256
100,1000,300140,1,400000,MANT100,1540.97,100000267
100,1000,300141,1,400000,MANT100,800.27,100000268
100,1000,300142,1,400000,MANT100,1779.24,100000269
100,1000,300143,1,400000,MIN200,11568.48,100000270
100,1000,300144,1,400000,LOG300,42035.78,100000271
100,1000,300145,1,400000,MANT300,21456.96,100000272
100,1000,300146,1,400000,LOG300,27696.76,100000273
100,1000,300147,1,400000,LOG200,11166.75,100000274
100,1000,300148,1,400000,MANT100,1224.42,100000283
100,1000,300149,1,400000,MANT100,1109.14,100000284
100,1000,300150,1,400000,MANT100,609.46,100000285
100,1000,300151,1,400000,MANT100,737.12,100000286
100,1000,300152,1,400000,MANT100,1226.38,100000287
100,1000,300153,1,400000,MANT100,1010.29,100000288
100,1000,300154,1,400000,LOG200,14508.239999999998,100000289
100,1000,300155,1,400000,PLAN100,14421.759999999998,100000290
100,1000,300156,1,400000,MANT200,30756.18,100000291
100,1000,300157,1,400000,MANT100,709.67,100000300
100,1000,300158,1,400000,MANT100,977.8,100000301
100,1000,300159,1,400000,MANT100,1985.92,100000302
100,1000,300160,1,400000,LOG200,53989.21000000001,100000303
100,1000,300161,1,400000,LOG100,19690.74,100000304
100,1000,300162,1,400000,MIN100,5958.9,100000305
100,1000,300163,1,400000,LOG300,68700.84,100000306
100,1000,300164,1,400000,MANT100,12003.96,100000314
100,1000,300165,1,400000,MANT100,1576.04,100000315
100,1000,300166,1,400000,MANT100,1521.79,100000316
100,1000,300167,1,400000,MANT100,507.77,100000317
100,1000,300168,1,400000,MANT100,1966.87,100000318
100,1000,300169,1,400000,MANT100,1110.36,100000319
100,1000,300170,1,400000,MANT100,1216.17,100000320
100,1000,300171,1,400000,REF100,51541.32,100000321
100,1000,300172,1,400000,MANT200,53702.020000000004,100000322
100,1000,300173,1,400000,MIN300,28026.559999999998,100000323
100,1000,300174,1,400000,MANT100,1288.26,100000333
100,1000,300175,1,400000,MANT100,1555.65,100000334
100,1000,300176,1,400000,MANT100,1875.87,100000335
100,1000,300177,1,400000,MANT100,592.64,100000336
100,1000,300178,1,400000,MANT100,1854.33,100000337
100,1000,300179,1,400000,MANT100,1359.05,100000338
100,1000,300180,1,400000,PLAN200,35714.46,100000339
100,1000,300181,1,400000,MIN200,38516.4,100000340
100,1000,300182,1,400000,PLAN100,54514.96000000001,100000341
100,1000,300183,1,400000,MANT100,18271.2,100000350
100,1000,300184,1,400000,MANT100,591.44,100000351
100,1000,300185,1,400000,MANT100,1819.57,100000352
100,1000,300186,1,400000,MANT100,1438.99,100000353
100,1000,300187,1,400000,MANT100,1333.78,100000354
100,1000,300188,1,400000,LAB100,21467.51,100000355
100,1000,300189,1,400000,LOG200,37502.6,100000356
100,1000,300190,1,400000,MANT100,1343.79,100000364
100,1000,300191,1,400000,MANT100,1611.88,100000365
100,1000,300192,1,400000,MANT100,891.16,100000366
100,1000,300193,1,400000,MANT100,1368.71,100000367
100,1000,300194,1,400000,LAB300,19838.56,100000368
100,1000,300195,1,400000,LOG300,46570.39,100000369
100,1000,300196,1,400000,MANT100,359.29,100000370
100,1000,300197,1,400000,MIN100,12936.33,100000371
100,1000,300198,1,400000,REF100,16230.550000000001,100000372
100,1000,300199,1,400000,MANT100,514.18,100000378
100,1000,300200,1,400000,MANT100,624.03,100000379
100,1000,300201,1,400000,MANT100,1467.36,100000380
100,1000,300202,1,400000,MANT100,1348.78,100000381
100,1000,300203,1,400000,MANT100,1842.19,100000382
100,1000,300204,1,400000,MANT100,844.65,100000383
100,1000,300205,1,400000,LOG300,32744.36,100000384
100,1000,300206,1,400000,MANT100,40922.0,100000385
100,1000,300207,1,400000,LOG100,36826.439999999995,100000386
100,1000,300208,1,400000,PLAN200,46765.12,100000387
100,1000,300209,1,400000,LAB100,55774.25,100000388
100,1000,300210,1,400000,MIN100,23759.24,100000389
100,1000,300211,1,400000,MANT100,1069.83,100000397
100,1000,300212,1,400000,MANT100,1160.33,100000398
100,1000,300213,1,400000,MANT100,1723.21,100000399
100,1000,300214,1,400000,MANT100,1961.34,100000400
100,1000,300215,1,400000,MANT100,950.65,100000401
100,1000,300216,1,400000,MANT300,71158.36000000002,100000402
100,1000,300217,1,400000,LAB100,82468.08,100000403
100,1000,300218,1,400000,LAB200,18677.120000000003,100000404
100,1000,300219,1,400000,PLAN200,40968.55,100000405
100,1000,300220,1,400000,LAB300,59406.47,100000406
100,1000,300221,1,400000,MANT100,41408.939999999995,100000407
100,1000,300222,1,400000,MANT100,1421.16,100000416
100,1000,300223,1,400000,MANT100,1174.36,100000417
100,1000,300224,1,400000,MANT100,1083.25,100000418
100,1000,300225,1,400000,MANT100,822.19,100000419
100,1000,300226,1,400000,MANT100,1628.49,100000420
100,1000,300227,1,400000,PLAN200,13555.52,100000421
100,1000,300228,1,400000,REF300,43899.96000000001,100000422
100,1000,300229,1,400000,MANT100,1671.11,100000430
100,1000,300230,1,400000,MANT100,1613.78,100000431
100,1000,300231,1,400000,MANT100,1242.97,100000432
100,1000,300232,1,400000,MANT300,22866.5,100000433
100,1000,300233,1,400000,MIN100,15760.78,100000434
100,1000,300234,1,400000,LAB300,76781.25,100000435
100,1000,300235,1,400000,LOG300,19488.95,100000436
100,1000,300236,1,400000,MIN100,69694.26,100000437
100,1000,300237,1,400000,LOG100,39286.329999999994,100000438
100,1000,300238,1,400000,MANT100,18584.62,100000447
100,1000,300239,1,400000,MANT100,1555.55,100000448
100,1000,300240,1,400000,MANT100,820.13,100000449
100,1000,300241,1,400000,MANT100,699.05,100000450
100,1000,300242,1,400000,LOG100,14582.26,100000451
100,1000,300243,1,400000,MIN200,2925.0,100000452
100,1000,300244,1,400000,MIN100,8827.08,100000453
100,1000,300245,1,400000,MANT100,1206.52,100000463
100,1000,300246,1,400000,MANT100,609.49,100000464
100,1000,300247,1,400000,MANT100,601.3,100000465
100,1000,300248,1,400000,MANT100,823.61,100000466
100,1000,300249,1,400000,MANT100,1923.02,100000467
100,1000,300250,1,400000,MANT100,1259.92,100000468
100,1000,300251,1,400000,LOG100,28254.000000000004,100000469
100,1000,300252,1,400000,MIN300,34980.05,100000470
100,1000,300253,1,400000,MANT200,15062.150000000001,100000471
100,1000,300254,1,400000,MIN100,40283.56,100000472
100,1000,300255,1,400000,LOG200,16218.82,100000473
100,1000,300256,1,400000,MANT100,32410.52,100000474
100,1000,300257,1,400000,MANT100,961.27,100000485
100,1000,300258,1,400000,MANT100,1294.72,100000486
100,1000,300259,1,400000,MANT100,1129.72,100000487
100,1000,300260,1,400000,MANT100,1958.84,100000488
100,1000,300261,1,400000,MANT100,1567.48,100000489
100,1000,300262,1,400000,MIN100,19586.429999999997,100000490
100,1000,300263,1,400000,LAB300,42025.63,100000491
100,1000,300264,1,400000,MANT100,12614.3,100000499
100,1000,300265,1,400000,MANT100,1058.36,100000500
100,1000,300266,1,400000,MANT100,1906.36,100000501
100,1000,300267,1,400000,MANT100,1373.49,100000502
100,1000,300268,1,400000,MIN300,16067.94,100000503
100,1000,300269,1,400000,PLAN100,2639.4,100000504
100,1000,300270,1,400000,LAB300,16280.0,100000505
100,1000,300271,1,400000,PLAN100,52635.590000000004,100000506
100,1000,300272,1,400000,MANT100,584.25,100000516
100,1000,300273,1,400000,MANT100,828.21,100000517
100,1000,300274,1,400000,MANT100,1216.98,100000518
100,1000,300275,1,400000,MIN200,43079.119999999995,100000519
100,1000,300276,1,400000,LOG100,27579.0,100000520
100,1000,300277,1,400000,REF300,25527.01,100000521
100,1000,300278,1,400000,LAB300,22625.07,100000522
100,1000,300279,1,400000,MANT100,546.49,100000532
100,1000,300280,1,400000,MANT100,747.5,100000533
100,1000,300281,1,400000,MANT100,735.66,100000534
100,1000,300282,1,400000,MANT100,996.64,100000535
100,1000,300283,1,400000,MANT100,1113.92,100000536
100,1000,300284,1,400000,MANT100,1583.06,100000537
100,1000,300285,1,400000,LOG100,26369.13,100000538
100,1000,300286,1,400000,MANT200,43159.55,100000539
100,1000,300287,1,400000,MIN300,41832.99,100000540
100,1000,300288,1,400000,PLAN300,40359.79,100000541
100,1000,300289,1,400000,LOG300,3464.1400000000003,100000542
100,1000,300290,1,400000,MANT200,32631.97,100000543
100,1000,300291,1,400000,MANT100,530.35,100000551
100,1000,300292,1,400000,MANT100,966.42,100000552
100,1000,300293,1,400000,MANT100,1787.35,100000553
100,1000,300294,1,400000,MANT100,647.33,100000554
100,1000,300295,1,400000,MANT100,701.58,100000555
100,1000,300296,1,400000,LOG300,51022.76,100000556
100,1000,300297,1,400000,MANT100,38091.66,100000557
100,1000,300298,1,400000,MANT100,2954.08,100000558
100,1000,300299,1,400000,LAB300,47950.96,100000559
100,1000,300300,1,400000,LAB100,46166.05,100000560
100,1000,300301,1,400000,MANT100,1760.96,100000571
100,1000,300302,1,400000,MANT100,771.7,100000572
100,1000,300303,1,400000,MANT100,1206.17,100000573
100,1000,300304,1,400000,MANT100,887.98,100000574
100,1000,300305,1,400000,MANT200,5002.5,100000575
100,1000,300306,1,400000,REF200,31517.32,100000576
100,1000,300307,1,400000,LOG100,11184.5,100000577
100,1000,300308,1,400000,MIN300,12574.18,100000578
100,1000,300309,1,400000,MIN300,34687.6,100000579
100,1000,300310,1,400000,LOG100,36375.36,100000580
100,1000,300311,1,400000,MANT100,528.69,100000586
100,1000,300312,1,400000,MANT100,1590.75,100000587
100,1000,300313,1,400000,MANT100,816.79,100000588
100,1000,300314,1,400000,MIN100,40425.24,100000589
100,1000,300315,1,400000,PLAN100,2900.64,100000590
100,1000,300316,1,400000,MANT100,1532.31,100000596
100,1000,300317,1,400000,MANT100,995.91,100000597
100,1000,300318,1,400000,MIN200,18084.94,100000598
100,1000,300319,1,400000,MANT200,21125.29,100000599
100,1000,300320,1,400000,MANT100,892.42,100000607
100,1000,300321,1,400000,MANT100,518.54,100000608
100,1000,300322,1,400000,MANT100,1287.23,100000609
100,1000,300323,1,400000,MANT100,1364.97,100000610
100,1000,300324,1,400000,MANT100,835.98,100000611
100,1000,300325,1,400000,PLAN300,16636.19,100000612
100,1000,300326,1,400000,MANT300,24423.75,100000613
100,1000,300327,1,400000,PLAN200,18339.41,100000614
100,1000,300328,1,400000,MANT200,11688.78,100000615
100,1000,300329,1,400000,MANT100,20082.2,100000625
100,1000,300330,1,400000,MANT100,1128.0,100000626
100,1000,300331,1,400000,MANT100,1873.87,100000627
100,1000,300332,1,400000,MANT100,872.36,100000628
100,1000,300333,1,400000,LAB100,85195.92,100000629
100,1000,300334,1,400000,MANT300,56844.939999999995,100000630
100,1000,300335,1,400000,MIN100,56908.869999999995,100000631
100,1000,300336,1,400000,REF300,799.72,100000632
100,1000,300337,1,400000,LAB300,51060.27,100000633
100,1000,300338,1,400000,MANT100,1235.83,100000642
100,1000,300339,1,400000,MANT100,1325.24,100000643
100,1000,300340,1,400000,MANT100,1676.05,100000644
100,1000,300341,1,400000,MANT100,1288.09,100000645
100,1000,300342,1,400000,MANT100,1280.91,100000646
100,1000,300343,1,400000,MANT100,739.06,100000647
100,1000,300344,1,400000,LOG300,32064.12,100000648
100,1000,300345,1,400000,PLAN100,52395.72,100000649
100,1000,300346,1,400000,MANT200,40918.54,100000650
100,1000,300347,1,400000,PLAN300,8565.92,100000651
100,1000,300348,1,400000,MANT100,44786.79,100000652
100,1000,300349,1,400000,REF300,18259.14,100000653
100,1000,300350,1,400000,MANT100,1330.29,100000661
100,1000,300351,1,400000,MANT100,712.06,100000662
100,1000,300352,1,400000,MANT100,507.54,100000663
100,1000,300353,1,400000,MANT100,1091.12,100000664
100,1000,300354,1,400000,PLAN300,39960.54,100000665
100,1000,300355,1,400000,MIN100,28530.559999999998,100000666
100,1000,300356,1,400000,REF200,4322.36,100000667
100,1000,300357,1,400000,MANT200,21402.97,100000668
100,1000,300358,1,400000,MANT200,40639.67999999999,100000669
100,1000,300359,1,400000,REF200,26235.119999999995,100000670
100,1000,300360,1,400000,MANT100,828.23,100000678
100,1000,300361,1,400000,MANT100,847.62,100000679
100,1000,300362,1,400000,MANT100,1054.15,100000680
100,1000,300363,1,400000,MANT100,1502.88,100000681
100,1000,300364,1,400000,MANT100,1861.59,100000682
100,1000,300365,1,400000,REF300,42190.25,100000683
100,1000,300366,1,400000,LAB300,50558.52,100000684
100,1000,300367,1,400000,LAB100,3419.28,100000685
100,1000,300368,1,400000,MANT300,34411.7,100000686
100,1000,300369,1,400000,MANT100,639.78,100000697
100,1000,300370,1,400000,MANT100,695.49,100000698
100,1000,300371,1,400000,MANT100,1308.93,100000699
100,1000,300372,1,400000,MANT100,1845.45,100000700
100,1000,300373,1,400000,MANT100,1517.84,100000701
100,1000,300374,1,400000,MANT100,1283.07,100000702
100,1000,300375,1,400000,MANT200,67018.89,100000703
100,1000,300376,1,400000,LOG100,27595.230000000003,100000704
100,1000,300377,1,400000,LOG300,30819.36,100000705
100,1000,300378,1,400000,MANT300,8570.52,100000706
100,1000,300379,1,400000,MANT100,1207.5,100000715
100,1000,300380,1,400000,MANT100,1153.07,100000716
100,1000,300381,1,400000,REF100,27417.0,100000717
100,1000,300382,1,400000,MIN100,34169.01,100000718
100,1000,300383,1,400000,MANT100,1188.27,100000726
100,1000,300384,1,400000,MANT100,1844.79,100000727
100,1000,300385,1,400000,MANT100,1222.96,100000728
100,1000,300386,1,400000,PLAN300,30707.91,100000729
100,1000,300387,1,400000,MIN300,4449.639999999999,100000730
100,1000,300388,1,400000,LAB100,61505.89,100000731
100,1000,300389,1,400000,MIN200,12631.73,100000732
100,1000,300390,1,400000,MANT100,780.73,100000738
100,1000,300391,1,400000,MANT100,855.71,100000739
100,1000,300392,1,400000,MANT100,1937.79,100000740
100,1000,300393,1,400000,MANT100,1048.89,100000741
100,1000,300394,1,400000,LAB200,40086.82,100000742
100,1000,300395,1,400000,MANT300,28461.18,100000743
100,1000,300396,1,400000,REF200,17862.61,100000744
100,1000,300397,1,400000,LAB100,28890.67,100000745
100,1000,300398,1,400000,PLAN200,50290.369999999995,100000746
100,1000,300399,1,400000,MANT100,22620.95,100000757
100,1000,300400,1,400000,MANT100,1815.94,100000758
100,1000,300401,1,400000,MANT100,1285.19,100000759
100,1000,300402,1,400000,MANT100,1300.68,100000760
100,1000,300403,1,400000,MANT100,1222.48,100000761
100,1000,300404,1,400000,MANT100,1707.06,100000762
100,1000,300405,1,400000,MANT100,961.8,100000763
100,1000,300406,1,400000,LOG200,5182.08,100000764
100,1000,300407,1,400000,LAB100,18157.16,100000765
100,1000,300408,1,400000,PLAN100,51042.18000000001,100000766
100,1000,300409,1,400000,MANT200,9416.47,100000767
100,1000,300410,1,400000,LAB200,26775.229999999996,100000768
100,1000,300411,1,400000,MANT100,679.47,100000779
100,1000,300412,1,400000,MANT100,513.39,100000780
100,1000,300413,1,400000,MANT100,1371.62,100000781
100,1000,300414,1,400000,MANT300,4674.34,100000782
100,1000,300415,1,400000,MANT300,32594.04,100000783
100,1000,300416,1,400000,REF300,7965.75,100000784
100,1000,300417,1,400000,LOG300,56753.22,100000785
100,1000,300418,1,400000,PLAN300,22000.08,100000786
100,1000,300419,1,400000,MANT100,591.05,100000795
100,1000,300420,1,400000,MANT100,1615.22,100000796
100,1000,300421,1,400000,LAB100,6475.880000000001,100000797
100,1000,300422,1,400000,LOG300,15798.35,100000798
100,1000,300423,1,400000,LAB300,31175.190000000002,100000799
100,1000,300424,1,400000,PLAN300,46076.42,100000800
100,1000,300425,1,400000,MIN300,14204.679999999998,100000801
100,1000,300426,1,400000,MANT100,1804.68,100000809
100,1000,300427,1,400000,MANT100,1621.52,100000810
100,1000,300428,1,400000,MANT100,1892.98,100000811
100,1000,300429,1,400000,MANT100,1666.13,100000812
100,1000,300430,1,400000,MANT100,581.19,100000813
100,1000,300431,1,400000,PLAN100,21140.810000000005,100000814
100,1000,300432,1,400000,LOG100,7485.5199999999995,100000815
100,1000,300433,1,400000,MIN300,38499.64,100000816
100,1000,300434,1,400000,PLAN300,32450.940000000002,100000817
100,1000,300435,1,400000,MIN200,18627.5,100000818
100,1000,300436,1,400000,PLAN200,55743.25,100000819
100,1000,300437,1,400000,MANT100,21213.75,100000829
100,1000,300438,1,400000,MANT100,532.23,100000830
100,1000,300439,1,400000,MANT100,1883.41,100000831
100,1000,300440,1,400000,MANT100,1000.35,100000832
100,1000,300441,1,400000,MANT100,1616.59,100000833
100,1000,300442,1,400000,MANT100,1020.17,100000834
100,1000,300443,1,400000,MANT100,1033.07,100000835
100,1000,300444,1,400000,PLAN100,13946.560000000001,100000836
100,1000,300445,1,400000,PLAN300,49786.2,100000837
100,1000,300446,1,400000,PLAN300,22242.149999999998,100000838
100,1000,300447,1,400000,MIN200,29639.760000000002,100000839
100,1000,300448,1,400000,MANT100,25290.78,100000846
100,1000,300449,1,400000,MANT100,1888.15,100000847
100,1000,300450,1,400000,MANT100,833.83,100000848
100,1000,300451,1,400000,MANT100,1982.37,100000849
100,1000,300452,1,400000,PLAN300,38936.86,100000850
100,1000,300453,1,400000,MIN100,20107.8,100000851
100,1000,300454,1,400000,MANT200,43125.490000000005,100000852
100,1000,300455,1,400000,MANT100,20870.02,100000861
100,1000,300456,1,400000,MANT100,1411.98,100000862
100,1000,300457,1,400000,MANT100,856.82,100000863
100,1000,300458,1,400000,MANT100,1489.21,100000864
100,1000,300459,1,400000,MANT100,1115.23,100000865
100,1000,300460,1,400000,MIN300,33043.0,100000866
100,1000,300461,1,400000,PLAN300,24400.22,100000867
100,1000,300462,1,400000,MANT100,1562.88,100000874
100,1000,300463,1,400000,MANT100,502.37,100000875
100,1000,300464,1,400000,MANT100,1197.33,100000876
100,1000,300465,1,400000,PLAN300,24946.960000000003,100000877
100,1000,300466,1,400000,REF100,6732.44,100000878
100,1000,300467,1,400000,MANT100,824.21,100000885
100,1000,300468,1,400000,MANT100,762.52,100000886
100,1000,300469,1,400000,MANT100,1677.42,100000887
100,1000,300470,1,400000,MANT100,803.15,100000888
100,1000,300471,1,400000,LAB300,5463.4800000000005,100000889
100,1000,300472,1,400000,LOG200,30571.25,100000890
100,1000,300473,1,400000,MANT100,18529.31,100000899
100,1000,300474,1,400000,MANT100,1557.02,100000900
100,1000,300475,1,400000,MANT100,1444.21,100000901
100,1000,300476,1,400000,REF300,52710.59,100000902
100,1000,300477,1,400000,PLAN200,11267.2,100000903
100,1000,300478,1,400000,LAB300,14616.86,100000904
100,1000,300479,1,400000,REF200,31584.92,100000905
100,1000,300480,1,400000,LAB100,24365.64,100000906
100,1000,300481,1,400000,MANT100,664.55,100000916
100,1000,300482,1,400000,MANT100,1798.52,100000917
100,1000,300483,1,400000,MANT100,1147.57,100000918
100,1000,300484,1,400000,MANT100,1091.4,100000919
100,1000,300485,1,400000,MANT100,1567.66,100000920
100,1000,300486,1,400000,MANT100,1072.35,100000921
100,1000,300487,1,400000,PLAN200,14490.46,100000922
100,1000,300488,1,400000,LOG200,27487.32,100000923
100,1000,300489,1,400000,LAB100,56924.36,100000924
100,1000,300490,1,400000,LOG300,9617.46,100000925
100,1000,300491,1,400000,LOG200,4653.2,100000926
100,1000,300492,1,400000,MANT300,29890.08,100000927
100,1000,300493,1,400000,MANT100,1491.0,100000936
100,1000,300494,1,400000,MANT100,1456.36,100000937
100,1000,300495,1,400000,MANT100,1366.64,100000938
100,1000,300496,1,400000,MANT100,581.49,100000939
100,1000,300497,1,400000,MANT100,1633.23,100000940
100,1000,300498,1,400000,PLAN300,66628.91,100000941
100,1000,300499,1,400000,LOG100,66197.8,100000942
100,1000,300500,1,400000,MANT100,611.0,100000952
100,1000,300501,1,400000,MANT100,593.58,100000953
100,1000,300502,1,400000,MANT100,998.98,100000954
100,1000,300503,1,400000,MANT100,887.36,100000955
100,1000,300504,1,400000,MIN300,6600.49,100000956
100,1000,300505,1,400000,LOG200,24118.98,100000957
100,1000,300506,1,400000,LAB200,2392.55,100000958
100,1000,300507,1,400000,LOG200,52347.990000000005,100000959
100,1000,300508,1,400000,MANT100,1710.66,100000968
100,1000,300509,1,400000,MANT100,1284.68,100000969
100,1000,300510,1,400000,MIN100,4505.37,100000970
100,1000,300511,1,400000,MANT200,3586.27,100000971
