MANDT,VBELN,POSNR,MATNR,ARKTX,KWMENG,NETWR
100,1000031,20,50007,Concentrado Cu,64,398128.64
100,1000032,10,50000,Concentrado Cu,44,290129.83999999997
100,1000033,10,50008,Concentrado Cu,88,681773.8400000001
100,1000034,10,50005,Concentrado Cu,75,395992.5
100,1000035,10,50009,Concentrado Cu,60,459213.0
100,1000035,20,50001,Concentrado Cu,58,407652.42
100,1000036,10,50005,Concentrado Cu,71,553006.93
100,1000036,20,50008,Concentrado Cu,36,207624.96
100,1000037,10,50002,Concentrado Cu,98,713089.16
100,1000037,20,50006,Concentrado Cu,90,750141.0
100,1000038,10,50003,Concentrado Cu,75,610728.0
100,1000038,20,50009,Concentrado Cu,61,418456.95
100,1000039,10,50008,Concentrado Cu,80,653995.2
100,1000040,10,50001,Concentrado Cu,56,395461.36000000004
100,1000041,10,50001,Concentrado Cu,50,384559.0
100,1000041,20,50003,Concentrado Cu,45,251523.9
100,1000042,10,50007,Concentrado Cu,98,823097.1000000001
100,1000043,10,50004,Concentrado Cu,69,580551.51
100,1000043,20,50006,Concentrado Cu,88,703125.28
100,1000044,10,50007,Concentrado Cu,48,292403.52
100,1000045,10,50006,Concentrado Cu,63,483555.87
100,1000046,10,50007,Concentrado Cu,36,321224.04
100,1000047,10,50006,Concentrado Cu,95,689469.15
100,1000048,10,50006,Concentrado Cu,37,313294.17
100,1000049,10,50004,Concentrado Cu,68,429039.88
100,1000050,10,50005,Concentrado Cu,68,415686.04
100,1000050,20,50006,Concentrado Cu,52,433661.27999999997
100,1000051,10,50003,Concentrado Cu,79,575072.6
100,1000051,20,50006,Concentrado Cu,63,322232.4
100,1000052,10,50007,Concentrado Cu,47,301707.10000000003
100,1000053,10,50004,Concentrado Cu,96,749255.04
100,1000053,20,50004,Concentrado Cu,91,458694.60000000003
100,1000054,10,50003,Concentrado Cu,72,500710.32
100,1000055,10,50007,Concentrado Cu,82,557001.4
100,1000056,10,50007,Concentrado Cu,58,489558.86
100,1000056,20,50006,Concentrado Cu,59,429196.68000000005
100,1000057,10,50003,Concentrado Cu,100,584410.0
100,1000058,10,50002,Concentrado Cu,50,284762.5
100,1000059,10,50000,Concentrado Cu,72,489744.72000000003
100,1000060,10,50004,Concentrado Cu,24,142221.59999999998
100,1000060,20,50004,Concentrado Cu,78,412208.16000000003
100,1000061,10,50009,Concentrado Cu,45,301525.2
100,1000061,20,50008,Concentrado Cu,48,364345.92
100,1000062,10,50001,Concentrado Cu,27,152919.62999999998
100,1000063,10,50007,Concentrado Cu,35,240617.65
100,1000063,20,50004,Concentrado Cu,71,622719.7000000001
100,1000064,10,50007,Concentrado Cu,30,221764.5
100,1000064,20,50006,Concentrado Cu,61,452305.85000000003
100,1000065,10,50001,Concentrado Cu,23,204529.57
100,1000065,20,50009,Concentrado Cu,50,391956.5
100,1000066,10,50008,Concentrado Cu,72,386844.48
100,1000067,10,50001,Concentrado Cu,39,272746.5
100,1000067,20,50004,Concentrado Cu,85,664840.25
100,1000068,10,50007,Concentrado Cu,51,348184.64999999997
100,1000068,20,50002,Concentrado Cu,69,397608.36
100,1000069,10,50001,Concentrado Cu,55,444988.5
100,1000070,10,50008,Concentrado Cu,54,447238.80000000005
100,1000070,20,50004,Concentrado Cu,58,484294.19999999995
100,1000071,10,50002,Concentrado Cu,77,550882.64
100,1000071,20,50005,Concentrado Cu,62,446875.54
100,1000072,10,50007,Concentrado Cu,61,517183.01
100,1000072,20,50003,Concentrado Cu,93,607464.84
100,1000073,10,50000,Concentrado Cu,25,157437.5
100,1000073,20,50000,Concentrado Cu,57,366729.45
100,1000074,10,50003,Concentrado Cu,87,578394.27
100,1000075,10,50002,Concentrado Cu,42,223266.54
100,1000076,10,50007,Concentrado Cu,94,523812.18000000005
100,1000077,10,50007,Concentrado Cu,52,398702.72
100,1000077,20,50007,Concentrado Cu,56,431784.63999999996
100,1000078,10,50007,Concentrado Cu,64,572839.04
100,1000079,10,50004,Concentrado Cu,78,653735.1599999999
100,1000079,20,50003,Concentrado Cu,69,580520.46
100,1000080,10,50006,Concentrado Cu,93,598533.12
100,1000081,10,50008,Concentrado Cu,84,726931.8
100,1000081,20,50002,Concentrado Cu,52,450122.4
100,1000082,10,50005,Concentrado Cu,34,233693.22
100,1000082,20,50001,Concentrado Cu,38,304631.18
100,1000083,10,50008,Concentrado Cu,66,353839.86
100,1000083,20,50006,Concentrado Cu,21,127214.43
100,1000084,10,50005,Concentrado Cu,53,388926.72
100,1000084,20,50005,Concentrado Cu,33,254078.55000000002
100,1000085,10,50009,Concentrado Cu,91,574394.73
100,1000086,10,50001,Concentrado Cu,79,682366.45
100,1000087,10,50001,Concentrado Cu,90,524576.7
100,1000088,10,50005,Concentrado Cu,38,309874.04
100,1000089,10,50004,Concentrado Cu,38,340104.18000000005
100,1000090,10,50002,Concentrado Cu,34,259903.81999999998
100,1000090,20,50000,Concentrado Cu,36,182139.84
100,1000091,10,50000,Concentrado Cu,42,254581.74000000002
100,1000091,20,50002,Concentrado Cu,73,518616.82
100,1000092,10,50007,Concentrado Cu,77,624629.39
100,1000093,10,50002,Concentrado Cu,81,477655.37999999995
100,1000094,10,50008,Concentrado Cu,67,365789.18
100,1000094,20,50004,Concentrado Cu,93,549131.52
100,1000095,10,50009,Concentrado Cu,54,276253.74000000005
100,1000096,10,50005,Concentrado Cu,64,321562.88
100,1000096,20,50002,Concentrado Cu,92,701902.96
100,1000097,10,50000,Concentrado Cu,31,247517.94999999998
100,1000098,10,50006,Concentrado Cu,78,496359.24
100,1000098,20,50005,Concentrado Cu,59,465296.42
100,1000099,10,50000,Concentrado Cu,39,219555.96000000002
100,1000100,10,50007,Concentrado Cu,92,739634.92
100,1000100,20,50007,Concentrado Cu,92,696621.24
100,1000101,10,50005,Concentrado Cu,39,263602.95
100,1000101,20,50007,Concentrado Cu,76,571941.04
100,1000102,10,50005,Concentrado Cu,84,444927.84
100,1000103,10,50000,Concentrado Cu,27,174823.65
100,1000103,20,50004,Concentrado Cu,29,219781.43
100,1000104,10,50007,Concentrado Cu,94,678423.38
100,1000104,20,50000,Concentrado Cu,77,664987.4
100,1000105,10,50005,Concentrado Cu,97,669544.4400000001
100,1000106,10,50002,Concentrado Cu,96,752192.64
100,1000106,20,50001,Concentrado Cu,59,426905.70999999996
100,1000107,10,50002,Concentrado Cu,87,467521.47000000003
100,1000107,20,50006,Concentrado Cu,85,548021.35
100,1000108,10,50002,Concentrado Cu,47,299245.71
100,1000108,20,50007,Concentrado Cu,44,259871.48
100,1000109,10,50001,Concentrado Cu,57,477529.47
100,1000110,10,50005,Concentrado Cu,99,546895.7999999999
100,1000111,10,50002,Concentrado Cu,43,357991.33999999997
100,1000112,10,50007,Concentrado Cu,25,166085.75
100,1000113,10,50002,Concentrado Cu,80,543552.8
100,1000113,20,50000,Concentrado Cu,30,152280.6
100,1000114,10,50008,Concentrado Cu,97,689775.73
100,1000115,10,50003,Concentrado Cu,58,318268.62
100,1000115,20,50003,Concentrado Cu,73,551574.13
100,1000116,10,50001,Concentrado Cu,34,283789.5
100,1000116,20,50007,Concentrado Cu,96,685845.12
100,1000117,10,50002,Concentrado Cu,57,382866.72000000003
100,1000118,10,50008,Concentrado Cu,54,443047.86
100,1000118,20,50006,Concentrado Cu,30,201672.90000000002
100,1000119,10,50005,Concentrado Cu,33,175569.24
100,1000119,20,50004,Concentrado Cu,59,400235.94
100,1000120,10,50002,Concentrado Cu,76,486870.43999999994
100,1000120,20,50000,Concentrado Cu,65,484861.64999999997
100,1000121,10,50000,Concentrado Cu,29,222857.46
100,1000121,20,50006,Concentrado Cu,66,465454.44
100,1000122,10,50000,Concentrado Cu,38,318997.84
100,1000123,10,50000,Concentrado Cu,36,189681.48
100,1000123,20,50005,Concentrado Cu,66,431073.72000000003
100,1000124,10,50009,Concentrado Cu,39,300933.75
100,1000125,10,50007,Concentrado Cu,29,211575.00999999998
100,1000125,20,50008,Concentrado Cu,66,435081.24000000005
100,1000126,10,50003,Concentrado Cu,34,173524.09999999998
100,1000126,20,50002,Concentrado Cu,83,586891.34
100,1000127,10,50004,Concentrado Cu,53,414255.94999999995
100,1000128,10,50002,Concentrado Cu,90,680326.2000000001
100,1000128,20,50002,Concentrado Cu,36,242296.92
100,1000129,10,50008,Concentrado Cu,39,242443.5
100,1000130,10,50003,Concentrado Cu,64,562555.52
100,1000130,20,50008,Concentrado Cu,56,469488.88
100,1000131,10,50008,Concentrado Cu,55,302537.4
100,1000132,10,50008,Concentrado Cu,41,302056.43
100,1000133,10,50002,Concentrado Cu,99,780370.47
100,1000134,10,50009,Concentrado Cu,25,207523.75000000003
100,1000134,20,50000,Concentrado Cu,30,155455.5
100,1000135,10,50003,Concentrado Cu,93,619970.55
100,1000135,20,50000,Concentrado Cu,83,710147.1699999999
100,1000136,10,50006,Concentrado Cu,84,573629.28
100,1000137,10,50009,Concentrado Cu,65,337650.95
100,1000138,10,50009,Concentrado Cu,80,491439.19999999995
100,1000138,20,50000,Concentrado Cu,33,221882.43
100,1000139,10,50006,Concentrado Cu,66,341944.02
100,1000139,20,50000,Concentrado Cu,92,666748.8400000001
100,1000140,10,50001,Concentrado Cu,69,484174.38
100,1000140,20,50008,Concentrado Cu,55,456568.75
100,1000141,10,50002,Concentrado Cu,32,210419.52
100,1000142,10,50002,Concentrado Cu,45,333443.25
100,1000142,20,50006,Concentrado Cu,84,433525.68000000005
100,1000143,10,50005,Concentrado Cu,80,566186.4
100,1000144,10,50008,Concentrado Cu,68,425340.68
100,1000144,20,50002,Concentrado Cu,78,674583.0
100,1000145,10,50004,Concentrado Cu,98,679798.56
100,1000145,20,50003,Concentrado Cu,55,397779.25
100,1000146,10,50004,Concentrado Cu,46,357004.16
100,1000146,20,50007,Concentrado Cu,60,415152.6
100,1000147,10,50004,Concentrado Cu,35,255286.85
100,1000147,20,50008,Concentrado Cu,68,583646.7200000001
100,1000148,10,50002,Concentrado Cu,57,294591.39
100,1000148,20,50001,Concentrado Cu,64,556546.56
100,1000149,10,50007,Concentrado Cu,47,272988.69
100,1000149,20,50008,Concentrado Cu,54,471533.4
100,1000150,10,50002,Concentrado Cu,33,246269.43
100,1000150,20,50009,Concentrado Cu,50,298491.5
100,1000151,10,50003,Concentrado Cu,34,214973.16
100,1000151,20,50007,Concentrado Cu,52,409468.28
100,1000152,10,50004,Concentrado Cu,92,708179.2000000001
100,1000152,20,50003,Concentrado Cu,42,312640.44
100,1000153,10,50006,Concentrado Cu,85,536495.35
100,1000153,20,50006,Concentrado Cu,32,183651.84
100,1000154,10,50005,Concentrado Cu,51,256393.31999999998
100,1000154,20,50006,Concentrado Cu,50,339347.0
100,1000155,10,50004,Concentrado Cu,94,741803.82
100,1000155,20,50000,Concentrado Cu,53,403580.69
100,1000156,10,50000,Concentrado Cu,35,240155.3
100,1000157,10,50008,Concentrado Cu,59,457908.44
100,1000157,20,50004,Concentrado Cu,67,499719.5
100,1000158,10,50007,Concentrado Cu,39,265976.49
100,1000159,10,50006,Concentrado Cu,90,778607.1000000001
100,1000159,20,50008,Concentrado Cu,47,378229.68
100,1000160,10,50005,Concentrado Cu,35,199986.15000000002
100,1000161,10,50008,Concentrado Cu,36,284811.48
100,1000161,20,50003,Concentrado Cu,20,160494.4
100,1000162,10,50008,Concentrado Cu,74,527452.02
100,1000162,20,50003,Concentrado Cu,51,348967.5
100,1000163,10,50003,Concentrado Cu,34,174381.58
100,1000163,20,50006,Concentrado Cu,98,790292.58
100,1000164,10,50003,Concentrado Cu,28,151300.52000000002
100,1000165,10,50009,Concentrado Cu,26,155452.44
100,1000165,20,50000,Concentrado Cu,71,479665.35000000003
100,1000166,10,50000,Concentrado Cu,37,259576.46
100,1000167,10,50009,Concentrado Cu,60,438594.0
100,1000168,10,50000,Concentrado Cu,54,351468.18
100,1000169,10,50001,Concentrado Cu,44,361618.4
100,1000170,10,50007,Concentrado Cu,46,389983.39999999997
100,1000171,10,50000,Concentrado Cu,47,411186.07999999996
100,1000171,20,50001,Concentrado Cu,81,701279.37
100,1000172,10,50006,Concentrado Cu,50,360416.0
100,1000173,10,50006,Concentrado Cu,79,563633.4
100,1000173,20,50005,Concentrado Cu,59,356728.75
100,1000174,10,50007,Concentrado Cu,32,262760.64
100,1000174,20,50007,Concentrado Cu,60,519439.19999999995
100,1000175,10,50008,Concentrado Cu,56,283839.92
100,1000175,20,50006,Concentrado Cu,42,227978.94
100,1000176,10,50003,Concentrado Cu,44,329081.27999999997
100,1000177,10,50004,Concentrado Cu,70,372125.6
100,1000177,20,50006,Concentrado Cu,78,566280.78
100,1000178,10,50004,Concentrado Cu,30,228448.19999999998
100,1000179,10,50001,Concentrado Cu,71,462711.26
100,1000180,10,50004,Concentrado Cu,33,182490.99
100,1000180,20,50002,Concentrado Cu,75,509652.75
100,1000181,10,50001,Concentrado Cu,23,123245.04
100,1000181,20,50008,Concentrado Cu,31,229018.69999999998
100,1000182,10,50000,Concentrado Cu,57,379348.68
100,1000182,20,50001,Concentrado Cu,91,784495.53
100,1000183,10,50006,Concentrado Cu,41,227769.75999999998
100,1000184,10,50007,Concentrado Cu,38,199616.65999999997
100,1000184,20,50006,Concentrado Cu,55,367642.55
100,1000185,10,50005,Concentrado Cu,52,456398.27999999997
100,1000186,10,50009,Concentrado Cu,98,566654.62
100,1000186,20,50001,Concentrado Cu,37,230089.31
100,1000187,10,50007,Concentrado Cu,95,737366.25
100,1000187,20,50002,Concentrado Cu,64,575411.84
100,1000188,10,50004,Concentrado Cu,73,633799.87
100,1000189,10,50002,Concentrado Cu,64,399843.84
100,1000190,10,50008,Concentrado Cu,81,517849.2
100,1000191,10,50007,Concentrado Cu,60,316122.0
100,1000191,20,50000,Concentrado Cu,34,173071.56
100,1000192,10,50002,Concentrado Cu,51,360262.98
100,1000193,10,50005,Concentrado Cu,91,610198.6799999999
100,1000194,10,50006,Concentrado Cu,100,573781.0
100,1000195,10,50004,Concentrado Cu,34,194894.12
100,1000196,10,50008,Concentrado Cu,69,460434.24
100,1000197,10,50006,Concentrado Cu,43,298707.24
100,1000197,20,50008,Concentrado Cu,42,303225.3
100,1000198,10,50002,Concentrado Cu,43,269107.76
100,1000198,20,50007,Concentrado Cu,99,516230.55
100,1000199,10,50007,Concentrado Cu,37,213878.87
100,1000200,10,50006,Concentrado Cu,82,546326.64
100,1000200,20,50007,Concentrado Cu,82,464858.82
100,1000201,10,50003,Concentrado Cu,57,292454.45999999996
100,1000202,10,50006,Concentrado Cu,68,462941.96
100,1000202,20,50001,Concentrado Cu,71,501433.95
100,1000203,10,50007,Concentrado Cu,82,517351.12
100,1000203,20,50000,Concentrado Cu,31,245635.62999999998
100,1000204,10,50001,Concentrado Cu,88,579995.6799999999
100,1000204,20,50006,Concentrado Cu,47,328006.42
100,1000205,10,50005,Concentrado Cu,90,658055.7
100,1000205,20,50009,Concentrado Cu,82,668563.22
100,1000206,10,50000,Concentrado Cu,32,240151.04
100,1000207,10,50001,Concentrado Cu,40,270605.60000000003
100,1000208,10,50003,Concentrado Cu,36,307029.24
100,1000208,20,50004,Concentrado Cu,40,339907.60000000003
100,1000209,10,50005,Concentrado Cu,52,277143.36
100,1000210,10,50007,Concentrado Cu,64,504942.72
100,1000211,10,50006,Concentrado Cu,98,759133.48
100,1000212,10,50001,Concentrado Cu,37,296361.86
100,1000213,10,50005,Concentrado Cu,74,463092.74
100,1000213,20,50002,Concentrado Cu,51,311501.37
100,1000214,10,50008,Concentrado Cu,96,710402.88
100,1000215,10,50000,Concentrado Cu,58,337663.24
100,1000215,20,50009,Concentrado Cu,85,489140.15
100,1000216,10,50000,Concentrado Cu,50,348977.5
100,1000216,20,50001,Concentrado Cu,50,349916.5
100,1000217,10,50008,Concentrado Cu,21,187898.13
100,1000218,10,50006,Concentrado Cu,92,614877.4
100,1000219,10,50000,Concentrado Cu,21,125542.41
100,1000220,10,50006,Concentrado Cu,39,222917.76
100,1000220,20,50000,Concentrado Cu,90,739121.3999999999
100,1000221,10,50003,Concentrado Cu,61,365576.05
100,1000221,20,50005,Concentrado Cu,54,448415.45999999996
100,1000222,10,50001,Concentrado Cu,84,646237.2000000001
100,1000222,20,50000,Concentrado Cu,42,247495.08
100,1000223,10,50006,Concentrado Cu,28,238222.87999999998
100,1000224,10,50005,Concentrado Cu,31,223583.47
100,1000224,20,50000,Concentrado Cu,67,388779.56
100,1000225,10,50009,Concentrado Cu,51,349641.21
100,1000225,20,50009,Concentrado Cu,83,746265.45
100,1000226,10,50008,Concentrado Cu,51,285715.77
100,1000227,10,50003,Concentrado Cu,89,568326.4099999999
100,1000228,10,50005,Concentrado Cu,20,160714.4
100,1000229,10,50003,Concentrado Cu,29,254452.37999999998
100,1000229,20,50002,Concentrado Cu,94,510973.66000000003
100,1000230,10,50007,Concentrado Cu,79,494234.27
100,1000231,10,50003,Concentrado Cu,77,479958.70999999996
100,1000231,20,50004,Concentrado Cu,35,187658.80000000002
100,1000232,10,50009,Concentrado Cu,25,146502.0
100,1000232,20,50005,Concentrado Cu,38,203864.30000000002
100,1000233,10,50006,Concentrado Cu,85,441643.0
100,1000233,20,50004,Concentrado Cu,53,438859.08
100,1000234,10,50006,Concentrado Cu,77,556234.14
100,1000235,10,50001,Concentrado Cu,79,427202.77
100,1000236,10,50001,Concentrado Cu,55,359263.30000000005
100,1000237,10,50008,Concentrado Cu,51,383674.02
100,1000238,10,50006,Concentrado Cu,65,449718.1
100,1000239,10,50009,Concentrado Cu,84,528059.28
100,1000239,20,50004,Concentrado Cu,43,219482.75
100,1000240,10,50000,Concentrado Cu,55,287889.8
100,1000241,10,50009,Concentrado Cu,49,435900.08
100,1000241,20,50001,Concentrado Cu,51,389000.46
100,1000242,10,50003,Concentrado Cu,93,779899.86
100,1000243,10,50002,Concentrado Cu,42,249740.4
100,1000243,20,50005,Concentrado Cu,65,562634.8
100,1000244,10,50009,Concentrado Cu,92,512293.72
100,1000244,20,50003,Concentrado Cu,83,594985.5
100,1000245,10,50007,Concentrado Cu,38,240337.46
100,1000246,10,50005,Concentrado Cu,60,340293.0
100,1000247,10,50007,Concentrado Cu,21,127277.85
100,1000247,20,50003,Concentrado Cu,28,179253.76
100,1000248,10,50000,Concentrado Cu,69,465948.72000000003
100,1000249,10,50006,Concentrado Cu,83,707747.64
100,1000250,10,50001,Concentrado Cu,81,660548.52
100,1000250,20,50009,Concentrado Cu,48,271230.24
100,1000251,10,50004,Concentrado Cu,22,138047.13999999998
100,1000252,10,50005,Concentrado Cu,41,350620.93
100,1000253,10,50008,Concentrado Cu,31,196905.80000000002
100,1000254,10,50001,Concentrado Cu,69,498556.74
100,1000255,10,50004,Concentrado Cu,86,587606.18
100,1000255,20,50000,Concentrado Cu,99,727679.7000000001
100,1000256,10,50006,Concentrado Cu,39,218119.2
100,1000257,10,50001,Concentrado Cu,92,746872.56
100,1000258,10,50006,Concentrado Cu,53,346205.01
100,1000258,20,50007,Concentrado Cu,93,691534.05
100,1000259,10,50004,Concentrado Cu,71,395854.11
100,1000260,10,50000,Concentrado Cu,70,599081.0
100,1000260,20,50005,Concentrado Cu,50,259858.0
100,1000261,10,50004,Concentrado Cu,72,507824.64
100,1000262,10,50007,Concentrado Cu,36,273221.64
100,1000263,10,50003,Concentrado Cu,52,386535.76
100,1000264,10,50006,Concentrado Cu,68,571631.12
100,1000264,20,50007,Concentrado Cu,52,305387.68
100,1000265,10,50009,Concentrado Cu,33,165969.87000000002
100,1000265,20,50005,Concentrado Cu,91,690632.67
100,1000266,10,50004,Concentrado Cu,33,228589.35
100,1000266,20,50005,Concentrado Cu,55,415930.9
100,1000267,10,50004,Concentrado Cu,44,246387.68000000002
100,1000267,20,50003,Concentrado Cu,27,221986.43999999997
100,1000268,10,50005,Concentrado Cu,37,291749.81
100,1000268,20,50007,Concentrado Cu,57,344149.47000000003
100,1000269,10,50006,Concentrado Cu,24,175970.16
100,1000269,20,50009,Concentrado Cu,44,280397.48
100,1000270,10,50008,Concentrado Cu,80,690088.8
100,1000271,10,50005,Concentrado Cu,21,179928.63
100,1000272,10,50000,Concentrado Cu,20,150135.0
100,1000273,10,50005,Concentrado Cu,59,325427.48000000004
100,1000274,10,50002,Concentrado Cu,28,232270.63999999998
100,1000274,20,50004,Concentrado Cu,57,388951.47000000003
100,1000275,10,50006,Concentrado Cu,37,235724.41
100,1000275,20,50007,Concentrado Cu,65,520029.9
100,1000276,10,50007,Concentrado Cu,39,227057.21999999997
100,1000276,20,50000,Concentrado Cu,58,387642.42
100,1000277,10,50009,Concentrado Cu,97,756882.27
100,1000277,20,50006,Concentrado Cu,33,232529.22
100,1000278,10,50004,Concentrado Cu,34,276727.36
100,1000279,10,50009,Concentrado Cu,45,365032.8
100,1000280,10,50005,Concentrado Cu,72,445060.8
100,1000281,10,50006,Concentrado Cu,34,182919.66
100,1000281,20,50000,Concentrado Cu,21,176567.79
100,1000282,10,50005,Concentrado Cu,65,557577.15
100,1000283,10,50001,Concentrado Cu,67,553410.62
100,1000283,20,50002,Concentrado Cu,34,224505.74
100,1000284,10,50006,Concentrado Cu,81,664167.6
100,1000284,20,50002,Concentrado Cu,34,188021.7
100,1000285,10,50002,Concentrado Cu,33,219915.62999999998
100,1000286,10,50009,Concentrado Cu,76,435103.04
100,1000286,20,50006,Concentrado Cu,65,483952.95
100,1000287,10,50007,Concentrado Cu,82,447043.5
100,1000288,10,50007,Concentrado Cu,63,406562.31
100,1000289,10,50007,Concentrado Cu,62,448917.2
100,1000290,10,50005,Concentrado Cu,77,420118.93
100,1000290,20,50003,Concentrado Cu,20,127308.6
100,1000291,10,50008,Concentrado Cu,86,558618.16
100,1000291,20,50001,Concentrado Cu,25,214687.75
100,1000292,10,50006,Concentrado Cu,33,198566.28
100,1000293,10,50001,Concentrado Cu,70,410365.19999999995
100,1000294,10,50001,Concentrado Cu,73,378578.0
100,1000294,20,50009,Concentrado Cu,35,283100.3
100,1000295,10,50009,Concentrado Cu,84,465237.36
100,1000295,20,50007,Concentrado Cu,20,142429.2
100,1000296,10,50009,Concentrado Cu,81,704495.88
100,1000296,20,50002,Concentrado Cu,94,535292.4
100,1000297,10,50008,Concentrado Cu,69,410576.22000000003
100,1000298,10,50000,Concentrado Cu,68,445414.96
100,1000298,20,50005,Concentrado Cu,90,469368.9
100,1000299,10,50003,Concentrado Cu,99,839064.6
100,1000299,20,50007,Concentrado Cu,48,415005.60000000003
100,1000300,10,50009,Concentrado Cu,89,707888.2000000001
100,1000300,20,50003,Concentrado Cu,44,271775.24
100,1000301,10,50002,Concentrado Cu,42,333493.44
100,1000302,10,50000,Concentrado Cu,74,452617.3
100,1000302,20,50004,Concentrado Cu,36,203173.92
100,1000303,10,50005,Concentrado Cu,79,619262.04
100,1000304,10,50002,Concentrado Cu,61,450638.72000000003
100,1000305,10,50009,Concentrado Cu,49,423553.55000000005
100,1000306,10,50007,Concentrado Cu,100,661779.0
100,1000306,20,50005,Concentrado Cu,22,144276.22
100,1000307,10,50009,Concentrado Cu,28,224667.52000000002
100,1000308,10,50001,Concentrado Cu,65,566292.35
100,1000309,10,50004,Concentrado Cu,97,518563.94000000006
100,1000309,20,50007,Concentrado Cu,68,447470.6
100,1000310,10,50007,Concentrado Cu,40,285354.8
100,1000311,10,50008,Concentrado Cu,57,503910.78
100,1000311,20,50002,Concentrado Cu,58,447131.27999999997
100,1000312,10,50004,Concentrado Cu,100,530585.0
100,1000313,10,50008,Concentrado Cu,100,512478.0
100,1000314,10,50009,Concentrado Cu,47,405384.86999999994
100,1000314,20,50008,Concentrado Cu,53,380215.64
100,1000315,10,50002,Concentrado Cu,66,433619.33999999997
100,1000315,20,50009,Concentrado Cu,57,315525.20999999996
100,1000316,10,50006,Concentrado Cu,66,462572.22000000003
100,1000317,10,50009,Concentrado Cu,41,329181.62
100,1000318,10,50002,Concentrado Cu,42,305148.06
100,1000318,20,50009,Concentrado Cu,38,301859.84
100,1000319,10,50007,Concentrado Cu,81,473268.42
100,1000319,20,50002,Concentrado Cu,72,366464.16
100,1000320,10,50009,Concentrado Cu,95,536229.4
100,1000321,10,50009,Concentrado Cu,38,198498.69999999998
100,1000322,10,50008,Concentrado Cu,71,525217.53
100,1000323,10,50004,Concentrado Cu,30,175991.1
100,1000324,10,50007,Concentrado Cu,41,240975.86000000002
100,1000324,20,50006,Concentrado Cu,96,534801.6000000001
100,1000325,10,50009,Concentrado Cu,85,514936.8
100,1000326,10,50007,Concentrado Cu,96,706788.48
100,1000326,20,50003,Concentrado Cu,68,444845.80000000005
100,1000327,10,50003,Concentrado Cu,86,725699.8200000001
100,1000328,10,50002,Concentrado Cu,97,522363.42999999993
100,1000328,20,50007,Concentrado Cu,98,725127.48
100,1000329,10,50002,Concentrado Cu,74,562866.2000000001
100,1000330,10,50008,Concentrado Cu,74,537142.3200000001
100,1000330,20,50009,Concentrado Cu,55,493195.45
100,1000331,10,50006,Concentrado Cu,90,732163.5
100,1000332,10,50005,Concentrado Cu,91,656988.15
100,1000333,10,50009,Concentrado Cu,64,518193.92
100,1000333,20,50006,Concentrado Cu,37,311540.0
100,1000334,10,50003,Concentrado Cu,77,626197.88
100,1000335,10,50003,Concentrado Cu,85,561190.4
100,1000336,10,50002,Concentrado Cu,69,611221.3200000001
100,1000337,10,50002,Concentrado Cu,31,278605.37
100,1000338,10,50005,Concentrado Cu,70,463526.0
