MANDT,KOKRS,BELNR,GJAHR,BUDAT
100,1000,300126,2024,2024-01-16
100,1000,300127,2024,2024-01-16
100,1000,300128,2024,2024-01-16
100,1000,300129,2024,2024-01-16
100,1000,300130,2024,2024-01-16
100,1000,300131,2024,2024-01-16
100,1000,300132,2024,2024-01-16
100,1000,300133,2024,2024-01-16
100,1000,300134,2024,2024-01-16
100,1000,300135,2024,2024-01-17
100,1000,300136,2024,2024-01-17
100,1000,300137,2024,2024-01-17
100,1000,300138,2024,2024-01-17
100,1000,300139,2024,2024-01-17
100,1000,300140,2024,2024-01-17
100,1000,300141,2024,2024-01-17
100,1000,300142,2024,2024-01-17
100,1000,300143,2024,2024-01-18
100,1000,300144,2024,2024-01-18
100,1000,300145,2024,2024-01-18
100,1000,300146,2024,2024-01-18
100,1000,300147,2024,2024-01-18
100,1000,300148,2024,2024-01-18
100,1000,300149,2024,2024-01-18
100,1000,300150,2024,2024-01-18
100,1000,300151,2024,2024-01-18
100,1000,300152,2024,2024-01-18
100,1000,300153,2024,2024-01-18
100,1000,300154,2024,2024-01-19
100,1000,300155,2024,2024-01-19
100,1000,300156,2024,2024-01-19
100,1000,300157,2024,2024-01-19
100,1000,300158,2024,2024-01-19
100,1000,300159,2024,2024-01-19
100,1000,300160,2024,2024-01-20
100,1000,300161,2024,2024-01-20
100,1000,300162,2024,2024-01-20
100,1000,300163,2024,2024-01-20
100,1000,300164,2024,2024-01-20
100,1000,300165,2024,2024-01-20
100,1000,300166,2024,2024-01-20
100,1000,300167,2024,2024-01-20
100,1000,300168,2024,2024-01-20
100,1000,300169,2024,2024-01-20
100,1000,300170,2024,2024-01-20
100,1000,300171,2024,2024-01-21
100,1000,300172,2024,2024-01-21
100,1000,300173,2024,2024-01-21
100,1000,300174,2024,2024-01-21
100,1000,300175,2024,2024-01-21
100,1000,300176,2024,2024-01-21
100,1000,300177,2024,2024-01-21
100,1000,300178,2024,2024-01-21
100,1000,300179,2024,2024-01-21
100,1000,300180,2024,2024-01-22
100,1000,300181,2024,2024-01-22
100,1000,300182,2024,2024-01-22
100,1000,300183,2024,2024-01-22
100,1000,300184,2024,2024-01-22
100,1000,300185,2024,2024-01-22
100,1000,300186,2024,2024-01-22
100,1000,300187,2024,2024-01-22
100,1000,300188,2024,2024-01-23
100,1000,300189,2024,2024-01-23
100,1000,300190,2024,2024-01-23
100,1000,300191,2024,2024-01-23
100,1000,300192,2024,2024-01-23
100,1000,300193,2024,2024-01-23
100,1000,300194,2024,2024-01-24
100,1000,300195,2024,2024-01-24
100,1000,300196,2024,2024-01-24
100,1000,300197,2024,2024-01-24
100,1000,300198,2024,2024-01-24
100,1000,300199,2024,2024-01-24
100,1000,300200,2024,2024-01-24
100,1000,300201,2024,2024-01-24
100,1000,300202,2024,2024-01-24
100,1000,300203,2024,2024-01-24
100,1000,300204,2024,2024-01-24
100,1000,300205,2024,2024-01-25
100,1000,300206,2024,2024-01-25
100,1000,300207,2024,2024-01-25
100,1000,300208,2024,2024-01-25
100,1000,300209,2024,2024-01-25
100,1000,300210,2024,2024-01-25
100,1000,300211,2024,2024-01-25
100,1000,300212,2024,2024-01-25
100,1000,300213,2024,2024-01-25
100,1000,300214,2024,2024-01-25
100,1000,300215,2024,2024-01-25
100,1000,300216,2024,2024-01-26
100,1000,300217,2024,2024-01-26
100,1000,300218,2024,2024-01-26
100,1000,300219,2024,2024-01-26
100,1000,300220,2024,2024-01-26
100,1000,300221,2024,2024-01-26
100,1000,300222,2024,2024-01-26
100,1000,300223,2024,2024-01-26
100,1000,300224,2024,2024-01-26
100,1000,300225,2024,2024-01-26
100,1000,300226,2024,2024-01-26
100,1000,300227,2024,2024-01-27
100,1000,300228,2024,2024-01-27
100,1000,300229,2024,2024-01-27
100,1000,300230,2024,2024-01-27
100,1000,300231,2024,2024-01-27
100,1000,300232,2024,2024-01-28
100,1000,300233,2024,2024-01-28
100,1000,300234,2024,2024-01-28
100,1000,300235,2024,2024-01-28
100,1000,300236,2024,2024-01-28
100,1000,300237,2024,2024-01-28
100,1000,300238,2024,2024-01-28
100,1000,300239,2024,2024-01-28
100,1000,300240,2024,2024-01-28
100,1000,300241,2024,2024-01-28
100,1000,300242,2024,2024-01-29
100,1000,300243,2024,2024-01-29
100,1000,300244,2024,2024-01-29
100,1000,300245,2024,2024-01-29
100,1000,300246,2024,2024-01-29
100,1000,300247,2024,2024-01-29
100,1000,300248,2024,2024-01-29
100,1000,300249,2024,2024-01-29
100,1000,300250,2024,2024-01-29
100,1000,300251,2024,2024-01-30
100,1000,300252,2024,2024-01-30
100,1000,300253,2024,2024-01-30
100,1000,300254,2024,2024-01-30
100,1000,300255,2024,2024-01-30
100,1000,300256,2024,2024-01-30
100,1000,300257,2024,2024-01-30
100,1000,300258,2024,2024-01-30
100,1000,300259,2024,2024-01-30
100,1000,300260,2024,2024-01-30
100,1000,300261,2024,2024-01-30
100,1000,300262,2024,2024-01-31
100,1000,300263,2024,2024-01-31
100,1000,300264,2024,2024-01-31
100,1000,300265,2024,2024-01-31
100,1000,300266,2024,2024-01-31
100,1000,300267,2024,2024-01-31
100,1000,300268,2024,2024-02-01
100,1000,300269,2024,2024-02-01
100,1000,300270,2024,2024-02-01
100,1000,300271,2024,2024-02-01
100,1000,300272,2024,2024-02-01
100,1000,300273,2024,2024-02-01
100,1000,300274,2024,2024-02-01
100,1000,300275,2024,2024-02-02
100,1000,300276,2024,2024-02-02
100,1000,300277,2024,2024-02-02
100,1000,300278,2024,2024-02-02
100,1000,300279,2024,2024-02-02
100,1000,300280,2024,2024-02-02
100,1000,300281,2024,2024-02-02
100,1000,300282,2024,2024-02-02
100,1000,300283,2024,2024-02-02
100,1000,300284,2024,2024-02-02
100,1000,300285,2024,2024-02-03
100,1000,300286,2024,2024-02-03
100,1000,300287,2024,2024-02-03
100,1000,300288,2024,2024-02-03
100,1000,300289,2024,2024-02-03
100,1000,300290,2024,2024-02-03
100,1000,300291,2024,2024-02-03
100,1000,300292,2024,2024-02-03
100,1000,300293,2024,2024-02-03
100,1000,300294,2024,2024-02-03
100,1000,300295,2024,2024-02-03
100,1000,300296,2024,2024-02-04
100,1000,300297,2024,2024-02-04
100,1000,300298,2024,2024-02-04
100,1000,300299,2024,2024-02-04
100,1000,300300,2024,2024-02-04
100,1000,300301,2024,2024-02-04
100,1000,300302,2024,2024-02-04
100,1000,300303,2024,2024-02-04
100,1000,300304,2024,2024-02-04
100,1000,300305,2024,2024-02-05
100,1000,300306,2024,2024-02-05
100,1000,300307,2024,2024-02-05
100,1000,300308,2024,2024-02-05
100,1000,300309,2024,2024-02-05
100,1000,300310,2024,2024-02-05
100,1000,300311,2024,2024-02-05
100,1000,300312,2024,2024-02-05
100,1000,300313,2024,2024-02-05
100,1000,300314,2024,2024-02-06
100,1000,300315,2024,2024-02-06
100,1000,300316,2024,2024-02-06
100,1000,300317,2024,2024-02-06
100,1000,300318,2024,2024-02-07
100,1000,300319,2024,2024-02-07
100,1000,300320,2024,2024-02-07
100,1000,300321,2024,2024-02-07
100,1000,300322,2024,2024-02-07
100,1000,300323,2024,2024-02-07
100,1000,300324,2024,2024-02-07
100,1000,300325,2024,2024-02-08
100,1000,300326,2024,2024-02-08
100,1000,300327,2024,2024-02-08
100,1000,300328,2024,2024-02-08
100,1000,300329,2024,2024-02-08
100,1000,300330,2024,2024-02-08
100,1000,300331,2024,2024-02-08
100,1000,300332,2024,2024-02-08
100,1000,300333,2024,2024-02-09
100,1000,300334,2024,2024-02-09
100,1000,300335,2024,2024-02-09
100,1000,300336,2024,2024-02-09
100,1000,300337,2024,2024-02-09
100,1000,300338,2024,2024-02-09
100,1000,300339,2024,2024-02-09
100,1000,300340,2024,2024-02-09
100,1000,300341,2024,2024-02-09
100,1000,300342,2024,2024-02-09
100,1000,300343,2024,2024-02-09
100,1000,300344,2024,2024-02-10
100,1000,300345,2024,2024-02-10
100,1000,300346,2024,2024-02-10
100,1000,300347,2024,2024-02-10
100,1000,300348,2024,2024-02-10
100,1000,300349,2024,2024-02-10
100,1000,300350,2024,2024-02-10
100,1000,300351,2024,2024-02-10
100,1000,300352,2024,2024-02-10
100,1000,300353,2024,2024-02-10
100,1000,300354,2024,2024-02-11
100,1000,300355,2024,2024-02-11
100,1000,300356,2024,2024-02-11
100,1000,300357,2024,2024-02-11
100,1000,300358,2024,2024-02-11
100,1000,300359,2024,2024-02-11
100,1000,300360,2024,2024-02-11
100,1000,300361,2024,2024-02-11
100,1000,300362,2024,2024-02-11
100,1000,300363,2024,2024-02-11
100,1000,300364,2024,2024-02-11
100,1000,300365,2024,2024-02-12
100,1000,300366,2024,2024-02-12
100,1000,300367,2024,2024-02-12
100,1000,300368,2024,2024-02-12
100,1000,300369,2024,2024-02-12
100,1000,300370,2024,2024-02-12
100,1000,300371,2024,2024-02-12
100,1000,300372,2024,2024-02-12
100,1000,300373,2024,2024-02-12
100,1000,300374,2024,2024-02-12
100,1000,300375,2024,2024-02-13
100,1000,300376,2024,2024-02-13
100,1000,300377,2024,2024-02-13
100,1000,300378,2024,2024-02-13
100,1000,300379,2024,2024-02-13
100,1000,300380,2024,2024-02-13
100,1000,300381,2024,2024-02-14
100,1000,300382,2024,2024-02-14
100,1000,300383,2024,2024-02-14
100,1000,300384,2024,2024-02-14
100,1000,300385,2024,2024-02-14
100,1000,300386,2024,2024-02-15
100,1000,300387,2024,2024-02-15
100,1000,300388,2024,2024-02-15
100,1000,300389,2024,2024-02-15
100,1000,300390,2024,2024-02-15
100,1000,300391,2024,2024-02-15
100,1000,300392,2024,2024-02-15
100,1000,300393,2024,2024-02-15
100,1000,300394,2024,2024-02-16
100,1000,300395,2024,2024-02-16
100,1000,300396,2024,2024-02-16
100,1000,300397,2024,2024-02-16
100,1000,300398,2024,2024-02-16
100,1000,300399,2024,2024-02-16
100,1000,300400,2024,2024-02-16
100,1000,300401,2024,2024-02-16
100,1000,300402,2024,2024-02-16
100,1000,300403,2024,2024-02-16
100,1000,300404,2024,2024-02-16
100,1000,300405,2024,2024-02-16
100,1000,300406,2024,2024-02-17
100,1000,300407,2024,2024-02-17
100,1000,300408,2024,2024-02-17
100,1000,300409,2024,2024-02-17
100,1000,300410,2024,2024-02-17
100,1000,300411,2024,2024-02-17
100,1000,300412,2024,2024-02-17
100,1000,300413,2024,2024-02-17
100,1000,300414,2024,2024-02-18
100,1000,300415,2024,2024-02-18
100,1000,300416,2024,2024-02-18
100,1000,300417,2024,2024-02-18
100,1000,300418,2024,2024-02-18
100,1000,300419,2024,2024-02-18
100,1000,300420,2024,2024-02-18
100,1000,300421,2024,2024-02-19
100,1000,300422,2024,2024-02-19
100,1000,300423,2024,2024-02-19
100,1000,300424,2024,2024-02-19
100,1000,300425,2024,2024-02-19
100,1000,300426,2024,2024-02-19
100,1000,300427,2024,2024-02-19
100,1000,300428,2024,2024-02-19
100,1000,300429,2024,2024-02-19
100,1000,300430,2024,2024-02-19
100,1000,300431,2024,2024-02-20
100,1000,300432,2024,2024-02-20
100,1000,300433,2024,2024-02-20
100,1000,300434,2024,2024-02-20
100,1000,300435,2024,2024-02-20
100,1000,300436,2024,2024-02-20
100,1000,300437,2024,2024-02-20
100,1000,300438,2024,2024-02-20
100,1000,300439,2024,2024-02-20
100,1000,300440,2024,2024-02-20
100,1000,300441,2024,2024-02-20
100,1000,300442,2024,2024-02-20
100,1000,300443,2024,2024-02-20
100,1000,300444,2024,2024-02-21
100,1000,300445,2024,2024-02-21
100,1000,300446,2024,2024-02-21
100,1000,300447,2024,2024-02-21
100,1000,300448,2024,2024-02-21
100,1000,300449,2024,2024-02-21
100,1000,300450,2024,2024-02-21
100,1000,300451,2024,2024-02-21
100,1000,300452,2024,2024-02-22
100,1000,300453,2024,2024-02-22
100,1000,300454,2024,2024-02-22
100,1000,300455,2024,2024-02-22
100,1000,300456,2024,2024-02-22
100,1000,300457,2024,2024-02-22
100,1000,300458,2024,2024-02-22
100,1000,300459,2024,2024-02-22
100,1000,300460,2024,2024-02-23
100,1000,300461,2024,2024-02-23
100,1000,300462,2024,2024-02-23
100,1000,300463,2024,2024-02-23
100,1000,300464,2024,2024-02-23
100,1000,300465,2024,2024-02-24
100,1000,300466,2024,2024-02-24
100,1000,300467,2024,2024-02-24
100,1000,300468,2024,2024-02-24
100,1000,300469,2024,2024-02-24
100,1000,300470,2024,2024-02-24
100,1000,300471,2024,2024-02-25
100,1000,300472,2024,2024-02-25
100,1000,300473,2024,2024-02-25
100,1000,300474,2024,2024-02-25
100,1000,300475,2024,2024-02-25
100,1000,300476,2024,2024-02-26
100,1000,300477,2024,2024-02-26
100,1000,300478,2024,2024-02-26
100,1000,300479,2024,2024-02-26
100,1000,300480,2024,2024-02-26
100,1000,300481,2024,2024-02-26
100,1000,300482,2024,2024-02-26
100,1000,300483,2024,2024-02-26
100,1000,300484,2024,2024-02-26
100,1000,300485,2024,2024-02-26
100,1000,300486,2024,2024-02-26
100,1000,300487,2024,2024-02-27
100,1000,300488,2024,2024-02-27
100,1000,300489,2024,2024-02-27
100,1000,300490,2024,2024-02-27
100,1000,300491,2024,2024-02-27
100,1000,300492,2024,2024-02-27
100,1000,300493,2024,2024-02-27
100,1000,300494,2024,2024-02-27
100,1000,300495,2024,2024-02-27
100,1000,300496,2024,2024-02-27
100,1000,300497,2024,2024-02-27
100,1000,300498,2024,2024-02-28
100,1000,300499,2024,2024-02-28
100,1000,300500,2024,2024-02-28
100,1000,300501,2024,2024-02-28
100,1000,300502,2024,2024-02-28
100,1000,300503,2024,2024-02-28
100,1000,300504,2024,2024-02-29
100,1000,300505,2024,2024-02-29
100,1000,300506,2024,2024-02-29
100,1000,300507,2024,2024-02-29
100,1000,300508,2024,2024-02-29
100,1000,300509,2024,2024-02-29
100,1000,300510,2024,2024-03-01
100,1000,300511,2024,2024-03-01
100,1000,300512,2024,2024-03-01
100,1000,300513,2024,2024-03-01
100,1000,300514,2024,2024-03-01
100,1000,300515,2024,2024-03-01
100,1000,300516,2024,2024-03-01
100,1000,300517,2024,2024-03-01
100,1000,300518,2024,2024-03-01
100,1000,300519,2024,2024-03-02
100,1000,300520,2024,2024-03-02
100,1000,300521,2024,2024-03-02
100,1000,300522,2024,2024-03-02
100,1000,300523,2024,2024-03-02
100,1000,300524,2024,2024-03-02
100,1000,300525,2024,2024-03-02
100,1000,300526,2024,2024-03-02
100,1000,300527,2024,2024-03-03
100,1000,300528,2024,2024-03-03
100,1000,300529,2024,2024-03-03
100,1000,300530,2024,2024-03-03
100,1000,300531,2024,2024-03-03
100,1000,300532,2024,2024-03-03
100,1000,300533,2024,2024-03-03
100,1000,300534,2024,2024-03-03
100,1000,300535,2024,2024-03-03
100,1000,300536,2024,2024-03-03
100,1000,300537,2024,2024-03-04
100,1000,300538,2024,2024-03-04
100,1000,300539,2024,2024-03-04
100,1000,300540,2024,2024-03-04
100,1000,300541,2024,2024-03-04
100,1000,300542,2024,2024-03-04
100,1000,300543,2024,2024-03-04
100,1000,300544,2024,2024-03-04
100,1000,300545,2024,2024-03-05
100,1000,300546,2024,2024-03-05
100,1000,300547,2024,2024-03-05
100,1000,300548,2024,2024-03-05
100,1000,300549,2024,2024-03-05
100,1000,300550,2024,2024-03-05
100,1000,300551,2024,2024-03-05
100,1000,300552,2024,2024-03-05
100,1000,300553,2024,2024-03-06
100,1000,300554,2024,2024-03-06
100,1000,300555,2024,2024-03-06
100,1000,300556,2024,2024-03-06
100,1000,300557,2024,2024-03-06
100,1000,300558,2024,2024-03-06
100,1000,300559,2024,2024-03-06
100,1000,300560,2024,2024-03-06
100,1000,300561,2024,2024-03-06
100,1000,300562,2024,2024-03-07
100,1000,300563,2024,2024-03-07
100,1000,300564,2024,2024-03-07
100,1000,300565,2024,2024-03-07
100,1000,300566,2024,2024-03-07
100,1000,300567,2024,2024-03-07
100,1000,300568,2024,2024-03-07
100,1000,300569,2024,2024-03-07
100,1000,300570,2024,2024-03-08
100,1000,300571,2024,2024-03-08
100,1000,300572,2024,2024-03-08
100,1000,300573,2024,2024-03-08
100,1000,300574,2024,2024-03-08
100,1000,300575,2024,2024-03-08
100,1000,300576,2024,2024-03-08
100,1000,300577,2024,2024-03-08
100,1000,300578,2024,2024-03-08
100,1000,300579,2024,2024-03-08
100,1000,300580,2024,2024-03-09
100,1000,300581,2024,2024-03-09
100,1000,300582,2024,2024-03-09
100,1000,300583,2024,2024-03-09
100,1000,300584,2024,2024-03-09
100,1000,300585,2024,2024-03-09
100,1000,300586,2024,2024-03-09
100,1000,300587,2024,2024-03-09
100,1000,300588,2024,2024-03-09
100,1000,300589,2024,2024-03-10
100,1000,300590,2024,2024-03-10
100,1000,300591,2024,2024-03-10
100,1000,300592,2024,2024-03-10
100,1000,300593,2024,2024-03-10
100,1000,300594,2024,2024-03-10
100,1000,300595,2024,2024-03-10
100,1000,300596,2024,2024-03-10
100,1000,300597,2024,2024-03-10
100,1000,300598,2024,2024-03-10
100,1000,300599,2024,2024-03-10
100,1000,300600,2024,2024-03-11
100,1000,300601,2024,2024-03-11
100,1000,300602,2024,2024-03-11
100,1000,300603,2024,2024-03-11
100,1000,300604,2024,2024-03-11
100,1000,300605,2024,2024-03-11
100,1000,300606,2024,2024-03-12
100,1000,300607,2024,2024-03-12
100,1000,300608,2024,2024-03-12
100,1000,300609,2024,2024-03-12
100,1000,300610,2024,2024-03-13
100,1000,300611,2024,2024-03-13
100,1000,300612,2024,2024-03-13
100,1000,300613,2024,2024-03-13
100,1000,300614,2024,2024-03-13
100,1000,300615,2024,2024-03-13
100,1000,300616,2024,2024-03-13
100,1000,300617,2024,2024-03-13
100,1000,300618,2024,2024-03-13
100,1000,300619,2024,2024-03-13
100,1000,300620,2024,2024-03-14
100,1000,300621,2024,2024-03-14
100,1000,300622,2024,2024-03-14
100,1000,300623,2024,2024-03-14
100,1000,300624,2024,2024-03-14
100,1000,300625,2024,2024-03-14
100,1000,300626,2024,2024-03-14
100,1000,300627,2024,2024-03-14
100,1000,300628,2024,2024-03-14
100,1000,300629,2024,2024-03-15
100,1000,300630,2024,2024-03-15
100,1000,300631,2024,2024-03-15
100,1000,300632,2024,2024-03-15
100,1000,300633,2024,2024-03-15
100,1000,300634,2024,2024-03-15
100,1000,300635,2024,2024-03-15
100,1000,300636,2024,2024-03-15
100,1000,300637,2024,2024-03-15
100,1000,300638,2024,2024-03-15
100,1000,300639,2024,2024-03-15
100,1000,300640,2024,2024-03-15
100,1000,300641,2024,2024-03-16
100,1000,300642,2024,2024-03-16
100,1000,300643,2024,2024-03-16
100,1000,300644,2024,2024-03-16
100,1000,300645,2024,2024-03-16
100,1000,300646,2024,2024-03-16
100,1000,300647,2024,2024-03-16
100,1000,300648,2024,2024-03-16
100,1000,300649,2024,2024-03-16
100,1000,300650,2024,2024-03-16
100,1000,300651,2024,2024-03-17
100,1000,300652,2024,2024-03-17
100,1000,300653,2024,2024-03-17
100,1000,300654,2024,2024-03-17
100,1000,300655,2024,2024-03-17
100,1000,300656,2024,2024-03-17
100,1000,300657,2024,2024-03-17
100,1000,300658,2024,2024-03-17
100,1000,300659,2024,2024-03-18
100,1000,300660,2024,2024-03-18
100,1000,300661,2024,2024-03-18
100,1000,300662,2024,2024-03-18
100,1000,300663,2024,2024-03-18
100,1000,300664,2024,2024-03-18
100,1000,300665,2024,2024-03-18
100,1000,300666,2024,2024-03-18
100,1000,300667,2024,2024-03-18
100,1000,300668,2024,2024-03-18
100,1000,300669,2024,2024-03-18
100,1000,300670,2024,2024-03-19
100,1000,300671,2024,2024-03-19
100,1000,300672,2024,2024-03-19
100,1000,300673,2024,2024-03-19
100,1000,300674,2024,2024-03-19
100,1000,300675,2024,2024-03-19
100,1000,300676,2024,2024-03-19
100,1000,300677,2024,2024-03-19
100,1000,300678,2024,2024-03-19
100,1000,300679,2024,2024-03-20
100,1000,300680,2024,2024-03-20
100,1000,300681,2024,2024-03-20
100,1000,300682,2024,2024-03-20
100,1000,300683,2024,2024-03-20
100,1000,300684,2024,2024-03-20
100,1000,300685,2024,2024-03-20
100,1000,300686,2024,2024-03-20
100,1000,300687,2024,2024-03-20
100,1000,300688,2024,2024-03-20
100,1000,300689,2024,2024-03-20
100,1000,300690,2024,2024-03-21
100,1000,300691,2024,2024-03-21
100,1000,300692,2024,2024-03-21
100,1000,300693,2024,2024-03-21
100,1000,300694,2024,2024-03-21
100,1000,300695,2024,2024-03-21
100,1000,300696,2024,2024-03-21
100,1000,300697,2024,2024-03-22
100,1000,300698,2024,2024-03-22
100,1000,300699,2024,2024-03-22
100,1000,300700,2024,2024-03-22
100,1000,300701,2024,2024-03-22
100,1000,300702,2024,2024-03-22
100,1000,300703,2024,2024-03-22
100,1000,300704,2024,2024-03-22
100,1000,300705,2024,2024-03-22
100,1000,300706,2024,2024-03-22
100,1000,300707,2024,2024-03-22
100,1000,300708,2024,2024-03-23
100,1000,300709,2024,2024-03-23
100,1000,300710,2024,2024-03-23
100,1000,300711,2024,2024-03-23
100,1000,300712,2024,2024-03-23
100,1000,300713,2024,2024-03-23
100,1000,300714,2024,2024-03-23
100,1000,300715,2024,2024-03-23
100,1000,300716,2024,2024-03-23
100,1000,300717,2024,2024-03-24
100,1000,300718,2024,2024-03-24
100,1000,300719,2024,2024-03-24
100,1000,300720,2024,2024-03-24
100,1000,300721,2024,2024-03-24
100,1000,300722,2024,2024-03-24
100,1000,300723,2024,2024-03-24
100,1000,300724,2024,2024-03-24
100,1000,300725,2024,2024-03-24
100,1000,300726,2024,2024-03-24
100,1000,300727,2024,2024-03-24
100,1000,300728,2024,2024-03-24
100,1000,300729,2024,2024-03-24
100,1000,300730,2024,2024-03-25
100,1000,300731,2024,2024-03-25
100,1000,300732,2024,2024-03-25
100,1000,300733,2024,2024-03-25
100,1000,300734,2024,2024-03-25
100,1000,300735,2024,2024-03-26
100,1000,300736,2024,2024-03-26
100,1000,300737,2024,2024-03-26
100,1000,300738,2024,2024-03-26
100,1000,300739,2024,2024-03-26
100,1000,300740,2024,2024-03-26
100,1000,300741,2024,2024-03-26
100,1000,300742,2024,2024-03-26
100,1000,300743,2024,2024-03-26
100,1000,300744,2024,2024-03-26
100,1000,300745,2024,2024-03-26
100,1000,300746,2024,2024-03-27
100,1000,300747,2024,2024-03-27
100,1000,300748,2024,2024-03-27
100,1000,300749,2024,2024-03-27
100,1000,300750,2024,2024-03-27
100,1000,300751,2024,2024-03-27
100,1000,300752,2024,2024-03-28
100,1000,300753,2024,2024-03-28
100,1000,300754,2024,2024-03-28
100,1000,300755,2024,2024-03-28
100,1000,300756,2024,2024-03-28
100,1000,300757,2024,2024-03-28
100,1000,300758,2024,2024-03-28
100,1000,300759,2024,2024-03-28
100,1000,300760,2024,2024-03-29
100,1000,300761,2024,2024-03-29
100,1000,300762,2024,2024-03-29
100,1000,300763,2024,2024-03-29
100,1000,300764,2024,2024-03-29
100,1000,300765,2024,2024-03-29
100,1000,300766,2024,2024-03-29
100,1000,300767,2024,2024-03-29
100,1000,300768,2024,2024-03-30
100,1000,300769,2024,2024-03-30
100,1000,300770,2024,2024-03-30
100,1000,300771,2024,2024-03-30
100,1000,300772,2024,2024-03-30
100,1000,300773,2024,2024-03-30
100,1000,300774,2024,2024-03-31
