MANDT,VBELN,ERDAT,AUART,VKORG,VTWEG,KUNNR,WAERS
100,1000065,2024-01-09,TA,3000,10,10044,USD
100,1000066,2024-01-09,TA,3000,10,10019,USD
100,1000067,2024-01-09,TA,3000,10,10007,USD
100,1000068,2024-01-09,TA,3000,10,10026,USD
100,1000069,2024-01-09,TA,3000,10,10038,USD
100,1000070,2024-01-09,TA,3000,10,10026,USD
100,1000071,2024-01-09,TA,3000,10,10037,USD
100,1000072,2024-01-09,TA,3000,10,10034,USD
100,1000073,2024-01-10,TA,3000,10,10010,USD
100,1000074,2024-01-10,TA,3000,10,10027,USD
100,1000075,2024-01-10,TA,3000,10,10043,USD
100,1000076,2024-01-10,TA,3000,10,10024,USD
100,1000077,2024-01-10,TA,3000,10,10029,USD
100,1000078,2024-01-10,TA,3000,10,10010,USD
100,1000079,2024-01-10,TA,3000,10,10019,USD
100,1000080,2024-01-10,TA,3000,10,10006,USD
100,1000081,2024-01-11,TA,3000,10,10008,USD
100,1000082,2024-01-11,TA,3000,10,10030,USD
100,1000083,2024-01-11,TA,3000,10,10014,USD
100,1000084,2024-01-11,TA,3000,10,10007,USD
100,1000085,2024-01-11,TA,3000,10,10030,USD
100,1000086,2024-01-11,TA,3000,10,10039,USD
100,1000087,2024-01-12,TA,3000,10,10036,USD
100,1000088,2024-01-12,TA,3000,10,10013,USD
100,1000089,2024-01-12,TA,3000,10,10038,USD
100,1000090,2024-01-12,TA,3000,10,10034,USD
100,1000091,2024-01-12,TA,3000,10,10015,USD
100,1000092,2024-01-12,TA,3000,10,10047,USD
100,1000093,2024-01-13,TA,3000,10,10006,USD
100,1000094,2024-01-13,TA,3000,10,10006,USD
100,1000095,2024-01-13,TA,3000,10,10027,USD
100,1000096,2024-01-13,TA,3000,10,10017,USD
100,1000097,2024-01-13,TA,3000,10,10004,USD
100,1000098,2024-01-13,TA,3000,10,10013,USD
100,1000099,2024-01-13,TA,3000,10,10049,USD
100,1000100,2024-01-14,TA,3000,10,10049,USD
100,1000101,2024-01-14,TA,3000,10,10039,USD
100,1000102,2024-01-14,TA,3000,10,10017,USD
100,1000103,2024-01-14,TA,3000,10,10029,USD
100,1000104,2024-01-14,TA,3000,10,10005,USD
100,1000105,2024-01-14,TA,3000,10,10036,USD
100,1000106,2024-01-15,TA,3000,10,10041,USD
100,1000107,2024-01-15,TA,3000,10,10041,USD
100,1000108,2024-01-15,TA,3000,10,10023,USD
100,1000109,2024-01-15,TA,3000,10,10008,USD
100,1000110,2024-01-15,TA,3000,10,10006,USD
100,1000111,2024-01-15,TA,3000,10,10024,USD
100,1000112,2024-01-15,TA,3000,10,10049,USD
100,1000113,2024-01-16,TA,3000,10,10018,USD
100,1000114,2024-01-16,TA,3000,10,10013,USD
100,1000115,2024-01-16,TA,3000,10,10007,USD
100,1000116,2024-01-16,TA,3000,10,10039,USD
100,1000117,2024-01-16,TA,3000,10,10040,USD
100,1000118,2024-01-17,TA,3000,10,10031,USD
100,1000119,2024-01-17,TA,3000,10,10011,USD
100,1000120,2024-01-17,TA,3000,10,10045,USD
100,1000121,2024-01-17,TA,3000,10,10027,USD
100,1000122,2024-01-17,TA,3000,10,10047,USD
100,1000123,2024-01-17,TA,3000,10,10043,USD
100,1000124,2024-01-17,TA,3000,10,10036,USD
100,1000125,2024-01-17,TA,3000,10,10023,USD
100,1000126,2024-01-17,TA,3000,10,10041,USD
100,1000127,2024-01-17,TA,3000,10,10035,USD
100,1000128,2024-01-18,TA,3000,10,10043,USD
100,1000129,2024-01-18,TA,3000,10,10003,USD
100,1000130,2024-01-18,TA,3000,10,10010,USD
100,1000131,2024-01-18,TA,3000,10,10016,USD
100,1000132,2024-01-18,TA,3000,10,10019,USD
100,1000133,2024-01-18,TA,3000,10,10037,USD
100,1000134,2024-01-18,TA,3000,10,10038,USD
100,1000135,2024-01-18,TA,3000,10,10041,USD
100,1000136,2024-01-19,TA,3000,10,10001,USD
100,1000137,2024-01-19,TA,3000,10,10015,USD
100,1000138,2024-01-19,TA,3000,10,10018,USD
100,1000139,2024-01-19,TA,3000,10,10016,USD
100,1000140,2024-01-19,TA,3000,10,10023,USD
100,1000141,2024-01-19,TA,3000,10,10039,USD
100,1000142,2024-01-19,TA,3000,10,10021,USD
100,1000143,2024-01-19,TA,3000,10,10002,USD
100,1000144,2024-01-20,TA,3000,10,10042,USD
100,1000145,2024-01-20,TA,3000,10,10021,USD
100,1000146,2024-01-20,TA,3000,10,10014,USD
100,1000147,2024-01-20,TA,3000,10,10035,USD
100,1000148,2024-01-20,TA,3000,10,10025,USD
100,1000149,2024-01-20,TA,3000,10,10041,USD
100,1000150,2024-01-20,TA,3000,10,10044,USD
100,1000151,2024-01-21,TA,3000,10,10029,USD
100,1000152,2024-01-21,TA,3000,10,10000,USD
100,1000153,2024-01-21,TA,3000,10,10040,USD
100,1000154,2024-01-21,TA,3000,10,10008,USD
100,1000155,2024-01-21,TA,3000,10,10017,USD
100,1000156,2024-01-21,TA,3000,10,10044,USD
100,1000157,2024-01-21,TA,3000,10,10010,USD
100,1000158,2024-01-21,TA,3000,10,10014,USD
100,1000159,2024-01-21,TA,3000,10,10038,USD
100,1000160,2024-01-22,TA,3000,10,10005,USD
100,1000161,2024-01-22,TA,3000,10,10034,USD
100,1000162,2024-01-22,TA,3000,10,10019,USD
100,1000163,2024-01-22,TA,3000,10,10009,USD
100,1000164,2024-01-22,TA,3000,10,10001,USD
100,1000165,2024-01-22,TA,3000,10,10002,USD
100,1000166,2024-01-22,TA,3000,10,10034,USD
100,1000167,2024-01-22,TA,3000,10,10018,USD
100,1000168,2024-01-23,TA,3000,10,10005,USD
100,1000169,2024-01-23,TA,3000,10,10038,USD
100,1000170,2024-01-23,TA,3000,10,10037,USD
100,1000171,2024-01-23,TA,3000,10,10021,USD
100,1000172,2024-01-23,TA,3000,10,10044,USD
100,1000173,2024-01-23,TA,3000,10,10049,USD
100,1000174,2024-01-23,TA,3000,10,10032,USD
100,1000175,2024-01-24,TA,3000,10,10033,USD
100,1000176,2024-01-24,TA,3000,10,10006,USD
100,1000177,2024-01-24,TA,3000,10,10016,USD
100,1000178,2024-01-24,TA,3000,10,10044,USD
100,1000179,2024-01-24,TA,3000,10,10041,USD
100,1000180,2024-01-25,TA,3000,10,10028,USD
100,1000181,2024-01-25,TA,3000,10,10035,USD
100,1000182,2024-01-25,TA,3000,10,10020,USD
100,1000183,2024-01-25,TA,3000,10,10015,USD
100,1000184,2024-01-25,TA,3000,10,10019,USD
100,1000185,2024-01-25,TA,3000,10,10030,USD
100,1000186,2024-01-25,TA,3000,10,10046,USD
100,1000187,2024-01-26,TA,3000,10,10023,USD
100,1000188,2024-01-26,TA,3000,10,10030,USD
100,1000189,2024-01-26,TA,3000,10,10005,USD
100,1000190,2024-01-26,TA,3000,10,10029,USD
100,1000191,2024-01-26,TA,3000,10,10006,USD
100,1000192,2024-01-26,TA,3000,10,10021,USD
100,1000193,2024-01-26,TA,3000,10,10035,USD
100,1000194,2024-01-26,TA,3000,10,10029,USD
100,1000195,2024-01-27,TA,3000,10,10007,USD
100,1000196,2024-01-27,TA,3000,10,10044,USD
100,1000197,2024-01-27,TA,3000,10,10008,USD
100,1000198,2024-01-27,TA,3000,10,10031,USD
100,1000199,2024-01-27,TA,3000,10,10022,USD
100,1000200,2024-01-27,TA,3000,10,10024,USD
100,1000201,2024-01-27,TA,3000,10,10036,USD
100,1000202,2024-01-28,TA,3000,10,10009,USD
100,1000203,2024-01-28,TA,3000,10,10017,USD
100,1000204,2024-01-28,TA,3000,10,10029,USD
100,1000205,2024-01-28,TA,3000,10,10020,USD
100,1000206,2024-01-28,TA,3000,10,10043,USD
100,1000207,2024-01-28,TA,3000,10,10029,USD
100,1000208,2024-01-28,TA,3000,10,10000,USD
100,1000209,2024-01-28,TA,3000,10,10017,USD
100,1000210,2024-01-29,TA,3000,10,10041,USD
100,1000211,2024-01-29,TA,3000,10,10040,USD
100,1000212,2024-01-29,TA,3000,10,10013,USD
100,1000213,2024-01-29,TA,3000,10,10037,USD
100,1000214,2024-01-29,TA,3000,10,10005,USD
100,1000215,2024-01-29,TA,3000,10,10038,USD
100,1000216,2024-01-29,TA,3000,10,10025,USD
100,1000217,2024-01-29,TA,3000,10,10038,USD
100,1000218,2024-01-29,TA,3000,10,10020,USD
100,1000219,2024-01-30,TA,3000,10,10032,USD
100,1000220,2024-01-30,TA,3000,10,10030,USD
100,1000221,2024-01-30,TA,3000,10,10045,USD
100,1000222,2024-01-30,TA,3000,10,10036,USD
100,1000223,2024-01-30,TA,3000,10,10033,USD
100,1000224,2024-01-30,TA,3000,10,10018,USD
100,1000225,2024-01-30,TA,3000,10,10036,USD
100,1000226,2024-01-30,TA,3000,10,10049,USD
100,1000227,2024-01-30,TA,3000,10,10026,USD
100,1000228,2024-01-30,TA,3000,10,10044,USD
100,1000229,2024-01-31,TA,3000,10,10028,USD
100,1000230,2024-01-31,TA,3000,10,10006,USD
100,1000231,2024-01-31,TA,3000,10,10007,USD
100,1000232,2024-01-31,TA,3000,10,10043,USD
100,1000233,2024-01-31,TA,3000,10,10015,USD
100,1000234,2024-01-31,TA,3000,10,10011,USD
100,1000235,2024-01-31,TA,3000,10,10035,USD
100,1000236,2024-02-01,TA,3000,10,10030,USD
100,1000237,2024-02-01,TA,3000,10,10026,USD
100,1000238,2024-02-01,TA,3000,10,10034,USD
100,1000239,2024-02-01,TA,3000,10,10031,USD
100,1000240,2024-02-01,TA,3000,10,10038,USD
100,1000241,2024-02-01,TA,3000,10,10030,USD
100,1000242,2024-02-01,TA,3000,10,10017,USD
100,1000243,2024-02-01,TA,3000,10,10024,USD
100,1000244,2024-02-01,TA,3000,10,10001,USD
100,1000245,2024-02-02,TA,3000,10,10014,USD
100,1000246,2024-02-02,TA,3000,10,10004,USD
100,1000247,2024-02-02,TA,3000,10,10005,USD
100,1000248,2024-02-02,TA,3000,10,10006,USD
100,1000249,2024-02-02,TA,3000,10,10026,USD
100,1000250,2024-02-02,TA,3000,10,10022,USD
100,1000251,2024-02-02,TA,3000,10,10004,USD
100,1000252,2024-02-02,TA,3000,10,10006,USD
100,1000253,2024-02-02,TA,3000,10,10010,USD
100,1000254,2024-02-03,TA,3000,10,10046,USD
100,1000255,2024-02-03,TA,3000,10,10035,USD
100,1000256,2024-02-03,TA,3000,10,10026,USD
100,1000257,2024-02-03,TA,3000,10,10037,USD
100,1000258,2024-02-03,TA,3000,10,10018,USD
100,1000259,2024-02-03,TA,3000,10,10002,USD
100,1000260,2024-02-03,TA,3000,10,10038,USD
100,1000261,2024-02-04,TA,3000,10,10014,USD
100,1000262,2024-02-04,TA,3000,10,10049,USD
100,1000263,2024-02-04,TA,3000,10,10038,USD
100,1000264,2024-02-04,TA,3000,10,10019,USD
100,1000265,2024-02-04,TA,3000,10,10019,USD
100,1000266,2024-02-04,TA,3000,10,10038,USD
100,1000267,2024-02-04,TA,3000,10,10017,USD
100,1000268,2024-02-04,TA,3000,10,10038,USD
100,1000269,2024-02-04,TA,3000,10,10026,USD
100,1000270,2024-02-04,TA,3000,10,10045,USD
100,1000271,2024-02-05,TA,3000,10,10002,USD
100,1000272,2024-02-05,TA,3000,10,10048,USD
100,1000273,2024-02-05,TA,3000,10,10015,USD
100,1000274,2024-02-05,TA,3000,10,10024,USD
100,1000275,2024-02-05,TA,3000,10,10033,USD
100,1000276,2024-02-06,TA,3000,10,10035,USD
100,1000277,2024-02-06,TA,3000,10,10006,USD
100,1000278,2024-02-06,TA,3000,10,10039,USD
100,1000279,2024-02-06,TA,3000,10,10031,USD
100,1000280,2024-02-06,TA,3000,10,10033,USD
100,1000281,2024-02-07,TA,3000,10,10043,USD
100,1000282,2024-02-07,TA,3000,10,10042,USD
100,1000283,2024-02-07,TA,3000,10,10039,USD
100,1000284,2024-02-07,TA,3000,10,10029,USD
100,1000285,2024-02-07,TA,3000,10,10046,USD
100,1000286,2024-02-07,TA,3000,10,10037,USD
100,1000287,2024-02-07,TA,3000,10,10043,USD
100,1000288,2024-02-08,TA,3000,10,10035,USD
100,1000289,2024-02-08,TA,3000,10,10003,USD
100,1000290,2024-02-08,TA,3000,10,10039,USD
100,1000291,2024-02-08,TA,3000,10,10040,USD
100,1000292,2024-02-08,TA,3000,10,10031,USD
100,1000293,2024-02-08,TA,3000,10,10012,USD
100,1000294,2024-02-08,TA,3000,10,10012,USD
100,1000295,2024-02-08,TA,3000,10,10028,USD
100,1000296,2024-02-08,TA,3000,10,10003,USD
100,1000297,2024-02-09,TA,3000,10,10006,USD
100,1000298,2024-02-09,TA,3000,10,10044,USD
100,1000299,2024-02-09,TA,3000,10,10047,USD
100,1000300,2024-02-09,TA,3000,10,10045,USD
100,1000301,2024-02-09,TA,3000,10,10011,USD
100,1000302,2024-02-09,TA,3000,10,10007,USD
100,1000303,2024-02-09,TA,3000,10,10016,USD
100,1000304,2024-02-09,TA,3000,10,10009,USD
100,1000305,2024-02-10,TA,3000,10,10035,USD
100,1000306,2024-02-10,TA,3000,10,10026,USD
100,1000307,2024-02-10,TA,3000,10,10007,USD
100,1000308,2024-02-10,TA,3000,10,10037,USD
100,1000309,2024-02-10,TA,3000,10,10006,USD
100,1000310,2024-02-10,TA,3000,10,10042,USD
100,1000311,2024-02-10,TA,3000,10,10008,USD
100,1000312,2024-02-11,TA,3000,10,10008,USD
100,1000313,2024-02-11,TA,3000,10,10004,USD
100,1000314,2024-02-11,TA,3000,10,10037,USD
100,1000315,2024-02-11,TA,3000,10,10034,USD
100,1000316,2024-02-11,TA,3000,10,10032,USD
100,1000317,2024-02-11,TA,3000,10,10042,USD
100,1000318,2024-02-11,TA,3000,10,10008,USD
100,1000319,2024-02-12,TA,3000,10,10007,USD
100,1000320,2024-02-12,TA,3000,10,10002,USD
100,1000321,2024-02-12,TA,3000,10,10040,USD
100,1000322,2024-02-12,TA,3000,10,10016,USD
100,1000323,2024-02-12,TA,3000,10,10036,USD
100,1000324,2024-02-12,TA,3000,10,10038,USD
100,1000325,2024-02-12,TA,3000,10,10037,USD
100,1000326,2024-02-12,TA,3000,10,10046,USD
100,1000327,2024-02-12,TA,3000,10,10006,USD
100,1000328,2024-02-12,TA,3000,10,10032,USD
100,1000329,2024-02-13,TA,3000,10,10023,USD
100,1000330,2024-02-13,TA,3000,10,10016,USD
100,1000331,2024-02-13,TA,3000,10,10025,USD
100,1000332,2024-02-13,TA,3000,10,10030,USD
100,1000333,2024-02-13,TA,3000,10,10016,USD
100,1000334,2024-02-13,TA,3000,10,10042,USD
100,1000335,2024-02-13,TA,3000,10,10010,USD
100,1000336,2024-02-13,TA,3000,10,10021,USD
100,1000337,2024-02-14,TA,3000,10,10015,USD
100,1000338,2024-02-14,TA,3000,10,10049,USD
100,1000339,2024-02-14,TA,3000,10,10045,USD
100,1000340,2024-02-14,TA,3000,10,10035,USD
100,1000341,2024-02-14,TA,3000,10,10036,USD
100,1000342,2024-02-14,TA,3000,10,10006,USD
100,1000343,2024-02-14,TA,3000,10,10007,USD
100,1000344,2024-02-15,TA,3000,10,10005,USD
100,1000345,2024-02-15,TA,3000,10,10023,USD
100,1000346,2024-02-15,TA,3000,10,10032,USD
100,1000347,2024-02-15,TA,3000,10,10027,USD
100,1000348,2024-02-15,TA,3000,10,10007,USD
100,1000349,2024-02-16,TA,3000,10,10009,USD
100,1000350,2024-02-16,TA,3000,10,10036,USD
100,1000351,2024-02-16,TA,3000,10,10018,USD
100,1000352,2024-02-16,TA,3000,10,10033,USD
100,1000353,2024-02-16,TA,3000,10,10042,USD
100,1000354,2024-02-16,TA,3000,10,10030,USD
100,1000355,2024-02-16,TA,3000,10,10005,USD
100,1000356,2024-02-16,TA,3000,10,10041,USD
100,1000357,2024-02-16,TA,3000,10,10008,USD
100,1000358,2024-02-16,TA,3000,10,10020,USD
100,1000359,2024-02-17,TA,3000,10,10039,USD
100,1000360,2024-02-17,TA,3000,10,10006,USD
100,1000361,2024-02-17,TA,3000,10,10000,USD
100,1000362,2024-02-17,TA,3000,10,10002,USD
100,1000363,2024-02-17,TA,3000,10,10011,USD
100,1000364,2024-02-17,TA,3000,10,10007,USD
100,1000365,2024-02-17,TA,3000,10,10002,USD
100,1000366,2024-02-17,TA,3000,10,10013,USD
100,1000367,2024-02-17,TA,3000,10,10047,USD
100,1000368,2024-02-17,TA,3000,10,10012,USD
100,1000369,2024-02-18,TA,3000,10,10046,USD
100,1000370,2024-02-18,TA,3000,10,10049,USD
100,1000371,2024-02-18,TA,3000,10,10034,USD
100,1000372,2024-02-18,TA,3000,10,10020,USD
100,1000373,2024-02-18,TA,3000,10,10008,USD
100,1000374,2024-02-18,TA,3000,10,10012,USD
100,1000375,2024-02-18,TA,3000,10,10024,USD
100,1000376,2024-02-18,TA,3000,10,10038,USD
100,1000377,2024-02-19,TA,3000,10,10000,USD
100,1000378,2024-02-19,TA,3000,10,10032,USD
100,1000379,2024-02-19,TA,3000,10,10009,USD
100,1000380,2024-02-19,TA,3000,10,10015,USD
100,1000381,2024-02-19,TA,3000,10,10025,USD
100,1000382,2024-02-19,TA,3000,10,10011,USD
100,1000383,2024-02-19,TA,3000,10,10036,USD
100,1000384,2024-02-20,TA,3000,10,10009,USD
100,1000385,2024-02-20,TA,3000,10,10005,USD
100,1000386,2024-02-20,TA,3000,10,10009,USD
100,1000387,2024-02-20,TA,3000,10,10001,USD
100,1000388,2024-02-20,TA,3000,10,10035,USD
100,1000389,2024-02-20,TA,3000,10,10042,USD
100,1000390,2024-02-20,TA,3000,10,10012,USD
100,1000391,2024-02-20,TA,3000,10,10017,USD
100,1000392,2024-02-20,TA,3000,10,10032,USD
100,1000393,2024-02-21,TA,3000,10,10020,USD
100,1000394,2024-02-21,TA,3000,10,10026,USD
100,1000395,2024-02-21,TA,3000,10,10006,USD
100,1000396,2024-02-21,TA,3000,10,10039,USD
100,1000397,2024-02-21,TA,3000,10,10001,USD
100,1000398,2024-02-21,TA,3000,10,10023,USD
100,1000399,2024-02-22,TA,3000,10,10010,USD
100,1000400,2024-02-22,TA,3000,10,10041,USD
100,1000401,2024-02-22,TA,3000,10,10026,USD
100,1000402,2024-02-22,TA,3000,10,10005,USD
100,1000403,2024-02-22,TA,3000,10,10028,USD
100,1000404,2024-02-22,TA,3000,10,10024,USD
100,1000405,2024-02-22,TA,3000,10,10009,USD
100,1000406,2024-02-22,TA,3000,10,10046,USD
100,1000407,2024-02-23,TA,3000,10,10029,USD
100,1000408,2024-02-23,TA,3000,10,10004,USD
100,1000409,2024-02-23,TA,3000,10,10017,USD
100,1000410,2024-02-23,TA,3000,10,10036,USD
100,1000411,2024-02-23,TA,3000,10,10045,USD
100,1000412,2024-02-23,TA,3000,10,10039,USD
100,1000413,2024-02-24,TA,3000,10,10012,USD
100,1000414,2024-02-24,TA,3000,10,10040,USD
100,1000415,2024-02-24,TA,3000,10,10019,USD
100,1000416,2024-02-24,TA,3000,10,10022,USD
100,1000417,2024-02-24,TA,3000,10,10021,USD
100,1000418,2024-02-24,TA,3000,10,10048,USD
100,1000419,2024-02-25,TA,3000,10,10045,USD
100,1000420,2024-02-25,TA,3000,10,10043,USD
100,1000421,2024-02-25,TA,3000,10,10006,USD
100,1000422,2024-02-25,TA,3000,10,10018,USD
100,1000423,2024-02-25,TA,3000,10,10017,USD
100,1000424,2024-02-25,TA,3000,10,10006,USD
100,1000425,2024-02-25,TA,3000,10,10017,USD
100,1000426,2024-02-25,TA,3000,10,10004,USD
100,1000427,2024-02-26,TA,3000,10,10010,USD
100,1000428,2024-02-26,TA,3000,10,10027,USD
100,1000429,2024-02-26,TA,3000,10,10007,USD
100,1000430,2024-02-26,TA,3000,10,10025,USD
100,1000431,2024-02-26,TA,3000,10,10038,USD
100,1000432,2024-02-26,TA,3000,10,10008,USD
100,1000433,2024-02-26,TA,3000,10,10018,USD
100,1000434,2024-02-26,TA,3000,10,10043,USD
100,1000435,2024-02-26,TA,3000,10,10032,USD
100,1000436,2024-02-27,TA,3000,10,10022,USD
100,1000437,2024-02-27,TA,3000,10,10036,USD
100,1000438,2024-02-27,TA,3000,10,10018,USD
100,1000439,2024-02-27,TA,3000,10,10032,USD
100,1000440,2024-02-27,TA,3000,10,10017,USD
100,1000441,2024-02-27,TA,3000,10,10047,USD
100,1000442,2024-02-27,TA,3000,10,10016,USD
100,1000443,2024-02-27,TA,3000,10,10002,USD
100,1000444,2024-02-28,TA,3000,10,10041,USD
100,1000445,2024-02-28,TA,3000,10,10025,USD
100,1000446,2024-02-28,TA,3000,10,10011,USD
100,1000447,2024-02-28,TA,3000,10,10033,USD
100,1000448,2024-02-28,TA,3000,10,10018,USD
100,1000449,2024-02-28,TA,3000,10,10042,USD
100,1000450,2024-02-28,TA,3000,10,10007,USD
100,1000451,2024-02-28,TA,3000,10,10048,USD
100,1000452,2024-02-28,TA,3000,10,10029,USD
100,1000453,2024-02-29,TA,3000,10,10027,USD
100,1000454,2024-02-29,TA,3000,10,10034,USD
100,1000455,2024-02-29,TA,3000,10,10021,USD
100,1000456,2024-02-29,TA,3000,10,10011,USD
100,1000457,2024-02-29,TA,3000,10,10024,USD
100,1000458,2024-02-29,TA,3000,10,10040,USD
100,1000459,2024-02-29,TA,3000,10,10024,USD
100,1000460,2024-02-29,TA,3000,10,10028,USD
100,1000461,2024-03-01,TA,3000,10,10001,USD
100,1000462,2024-03-01,TA,3000,10,10026,USD
100,1000463,2024-03-02,TA,3000,10,10041,USD
100,1000464,2024-03-03,TA,3000,10,10033,USD
100,1000465,2024-03-03,TA,3000,10,10027,USD
100,1000466,2024-03-03,TA,3000,10,10014,USD
100,1000467,2024-03-03,TA,3000,10,10002,USD
100,1000468,2024-03-04,TA,3000,10,10003,USD
100,1000469,2024-03-04,TA,3000,10,10002,USD
100,1000470,2024-03-04,TA,3000,10,10013,USD
100,1000471,2024-03-05,TA,3000,10,10037,USD
100,1000472,2024-03-05,TA,3000,10,10014,USD
100,1000473,2024-03-05,TA,3000,10,10029,USD
100,1000474,2024-03-05,TA,3000,10,10018,USD
100,1000475,2024-03-06,TA,3000,10,10022,USD
100,1000476,2024-03-06,TA,3000,10,10012,USD
100,1000477,2024-03-06,TA,3000,10,10034,USD
100,1000478,2024-03-06,TA,3000,10,10032,USD
100,1000479,2024-03-07,TA,3000,10,10036,USD
100,1000480,2024-03-07,TA,3000,10,10036,USD
100,1000481,2024-03-07,TA,3000,10,10009,USD
100,1000482,2024-03-07,TA,3000,10,10040,USD
100,1000483,2024-03-08,TA,3000,10,10019,USD
100,1000484,2024-03-08,TA,3000,10,10027,USD
100,1000485,2024-03-09,TA,3000,10,10018,USD
100,1000486,2024-03-09,TA,3000,10,10006,USD
100,1000487,2024-03-10,TA,3000,10,10030,USD
100,1000488,2024-03-10,TA,3000,10,10031,USD
100,1000489,2024-03-10,TA,3000,10,10004,USD
100,1000490,2024-03-11,TA,3000,10,10030,USD
100,1000491,2024-03-11,TA,3000,10,10031,USD
100,1000492,2024-03-11,TA,3000,10,10037,USD
100,1000493,2024-03-11,TA,3000,10,10047,USD
100,1000494,2024-03-12,TA,3000,10,10032,USD
100,1000495,2024-03-12,TA,3000,10,10004,USD
100,1000496,2024-03-12,TA,3000,10,10036,USD
100,1000497,2024-03-12,TA,3000,10,10021,USD
100,1000498,2024-03-13,TA,3000,10,10023,USD
100,1000499,2024-03-13,TA,3000,10,10036,USD
100,1000500,2024-03-13,TA,3000,10,10033,USD
100,1000501,2024-03-13,TA,3000,10,10037,USD
100,1000502,2024-03-14,TA,3000,10,10041,USD
100,1000503,2024-03-14,TA,3000,10,10019,USD
100,1000504,2024-03-14,TA,3000,10,10049,USD
100,1000505,2024-03-14,TA,3000,10,10020,USD
100,1000506,2024-03-15,TA,3000,10,10038,USD
100,1000507,2024-03-15,TA,3000,10,10024,USD
100,1000508,2024-03-15,TA,3000,10,10016,USD
100,1000509,2024-03-16,TA,3000,10,10026,USD
100,1000510,2024-03-16,TA,3000,10,10021,USD
100,1000511,2024-03-17,TA,3000,10,10029,USD
100,1000512,2024-03-17,TA,3000,10,10041,USD
100,1000513,2024-03-17,TA,3000,10,10030,USD
100,1000514,2024-03-18,TA,3000,10,10026,USD
100,1000515,2024-03-18,TA,3000,10,10031,USD
