MANDT,AUFNR,AUART,ERDAT,KTEXT,IDAT2
100,800036,PM02,2024-01-09,Mant. Preventivo 1000126,2024-01-10
100,800037,PM02,2024-01-09,Mant. Preventivo 1000032,2024-01-10
100,800038,PM02,2024-01-09,Mant. Preventivo 1000151,2024-01-10
100,800039,PM02,2024-01-10,Mant. Preventivo 1000075,2024-01-11
100,800040,PM02,2024-01-10,Mant. Preventivo 1000168,2024-01-11
100,800041,PM02,2024-01-10,Mant. Preventivo 1000002,2024-01-11
100,800042,PM02,2024-01-10,Mant. Preventivo 1000175,2024-01-11
100,800043,PM02,2024-01-11,Mant. Preventivo 1000029,2024-01-12
100,800044,PM02,2024-01-11,Mant. Preventivo 1000009,2024-01-12
100,800045,PM02,2024-01-11,Mant. Preventivo 1000126,2024-01-12
100,800046,PM02,2024-01-11,Mant. Preventivo 1000060,2024-01-12
100,800047,PM02,2024-01-12,Mant. Preventivo 1000115,2024-01-13
100,800048,PM02,2024-01-12,Mant. Preventivo 1000157,2024-01-13
100,800049,PM02,2024-01-12,Mant. Preventivo 1000168,2024-01-13
100,800050,PM02,2024-01-12,Mant. Preventivo 1000117,2024-01-13
100,800051,PM02,2024-01-12,Mant. Preventivo 1000007,2024-01-13
100,800052,PM02,2024-01-12,Mant. Preventivo 1000122,2024-01-13
100,800053,PM01,2024-01-13,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000037,2024-01-20
100,800054,PM02,2024-01-13,Mant. Preventivo 1000108,2024-01-14
100,800055,PM02,2024-01-13,Mant. Preventivo 1000113,2024-01-14
100,800056,PM02,2024-01-13,Mant. Preventivo 1000055,2024-01-14
100,800057,PM02,2024-01-13,Mant. Preventivo 1000029,2024-01-14
100,800058,PM02,2024-01-13,Mant. Preventivo 1000028,2024-01-14
100,800059,PM02,2024-01-13,Mant. Preventivo 1000173,2024-01-14
100,800060,PM02,2024-01-14,Mant. Preventivo 1000115,2024-01-15
100,800061,PM02,2024-01-14,Mant. Preventivo 1000087,2024-01-15
100,800062,PM02,2024-01-14,Mant. Preventivo 1000021,2024-01-15
100,800063,PM02,2024-01-15,Mant. Preventivo 1000156,2024-01-16
100,800064,PM02,2024-01-15,Mant. Preventivo 1000191,2024-01-16
100,800065,PM02,2024-01-15,Mant. Preventivo 1000059,2024-01-16
100,800066,PM02,2024-01-16,Mant. Preventivo 1000146,2024-01-17
100,800067,PM02,2024-01-16,Mant. Preventivo 1000170,2024-01-17
100,800068,PM02,2024-01-16,Mant. Preventivo 1000134,2024-01-17
100,800069,PM02,2024-01-16,Mant. Preventivo 1000017,2024-01-17
100,800070,PM02,2024-01-16,Mant. Preventivo 1000139,2024-01-17
100,800071,PM02,2024-01-16,Mant. Preventivo 1000129,2024-01-17
100,800072,PM02,2024-01-17,Mant. Preventivo 1000073,2024-01-18
100,800073,PM02,2024-01-17,Mant. Preventivo 1000125,2024-01-18
100,800074,PM02,2024-01-17,Mant. Preventivo 1000034,2024-01-18
100,800075,PM02,2024-01-18,Mant. Preventivo 1000077,2024-01-19
100,800076,PM02,2024-01-18,Mant. Preventivo 1000175,2024-01-19
100,800077,PM02,2024-01-18,Mant. Preventivo 1000116,2024-01-19
100,800078,PM02,2024-01-18,Mant. Preventivo 1000015,2024-01-19
100,800079,PM02,2024-01-18,Mant. Preventivo 1000106,2024-01-19
100,800080,PM02,2024-01-18,Mant. Preventivo 1000052,2024-01-19
100,800081,PM02,2024-01-19,Mant. Preventivo 1000131,2024-01-20
100,800082,PM02,2024-01-19,Mant. Preventivo 1000156,2024-01-20
100,800083,PM02,2024-01-19,Mant. Preventivo 1000100,2024-01-20
100,800084,PM01,2024-01-20,FALLA CRITICA SISTEMA HIDRÁULICO - 1000063,2024-01-27
100,800085,PM02,2024-01-20,Mant. Preventivo 1000084,2024-01-21
100,800086,PM02,2024-01-20,Mant. Preventivo 1000025,2024-01-21
100,800087,PM02,2024-01-20,Mant. Preventivo 1000035,2024-01-21
100,800088,PM02,2024-01-20,Mant. Preventivo 1000140,2024-01-21
100,800089,PM02,2024-01-20,Mant. Preventivo 1000040,2024-01-21
100,800090,PM02,2024-01-20,Mant. Preventivo 1000121,2024-01-21
100,800091,PM02,2024-01-21,Mant. Preventivo 1000020,2024-01-22
100,800092,PM02,2024-01-21,Mant. Preventivo 1000135,2024-01-22
100,800093,PM02,2024-01-21,Mant. Preventivo 1000019,2024-01-22
100,800094,PM02,2024-01-21,Mant. Preventivo 1000028,2024-01-22
100,800095,PM02,2024-01-21,Mant. Preventivo 1000140,2024-01-22
100,800096,PM02,2024-01-21,Mant. Preventivo 1000051,2024-01-22
100,800097,PM01,2024-01-22,FALLA CRITICA SISTEMA HIDRÁULICO - 1000046,2024-01-29
100,800098,PM02,2024-01-22,Mant. Preventivo 1000070,2024-01-23
100,800099,PM02,2024-01-22,Mant. Preventivo 1000151,2024-01-23
100,800100,PM02,2024-01-22,Mant. Preventivo 1000044,2024-01-23
100,800101,PM02,2024-01-22,Mant. Preventivo 1000109,2024-01-23
100,800102,PM02,2024-01-23,Mant. Preventivo 1000011,2024-01-24
100,800103,PM02,2024-01-23,Mant. Preventivo 1000056,2024-01-24
100,800104,PM02,2024-01-23,Mant. Preventivo 1000004,2024-01-24
100,800105,PM02,2024-01-23,Mant. Preventivo 1000149,2024-01-24
100,800106,PM02,2024-01-24,Mant. Preventivo 1000163,2024-01-25
100,800107,PM02,2024-01-24,Mant. Preventivo 1000043,2024-01-25
100,800108,PM02,2024-01-24,Mant. Preventivo 1000111,2024-01-25
100,800109,PM02,2024-01-24,Mant. Preventivo 1000084,2024-01-25
100,800110,PM02,2024-01-24,Mant. Preventivo 1000024,2024-01-25
100,800111,PM02,2024-01-24,Mant. Preventivo 1000010,2024-01-25
100,800112,PM02,2024-01-25,Mant. Preventivo 1000158,2024-01-26
100,800113,PM02,2024-01-25,Mant. Preventivo 1000084,2024-01-26
100,800114,PM02,2024-01-25,Mant. Preventivo 1000110,2024-01-26
100,800115,PM02,2024-01-25,Mant. Preventivo 1000166,2024-01-26
100,800116,PM02,2024-01-25,Mant. Preventivo 1000034,2024-01-26
100,800117,PM02,2024-01-26,Mant. Preventivo 1000188,2024-01-27
100,800118,PM02,2024-01-26,Mant. Preventivo 1000050,2024-01-27
100,800119,PM02,2024-01-26,Mant. Preventivo 1000109,2024-01-27
100,800120,PM02,2024-01-26,Mant. Preventivo 1000180,2024-01-27
100,800121,PM02,2024-01-26,Mant. Preventivo 1000071,2024-01-27
100,800122,PM02,2024-01-27,Mant. Preventivo 1000043,2024-01-28
100,800123,PM02,2024-01-27,Mant. Preventivo 1000144,2024-01-28
100,800124,PM02,2024-01-27,Mant. Preventivo 1000196,2024-01-28
100,800125,PM01,2024-01-28,FALLA CRITICA SISTEMA HIDRÁULICO - 1000085,2024-02-04
100,800126,PM02,2024-01-28,Mant. Preventivo 1000023,2024-01-29
100,800127,PM02,2024-01-28,Mant. Preventivo 1000000,2024-01-29
100,800128,PM02,2024-01-28,Mant. Preventivo 1000019,2024-01-29
100,800129,PM02,2024-01-29,Mant. Preventivo 1000195,2024-01-30
100,800130,PM02,2024-01-29,Mant. Preventivo 1000197,2024-01-30
100,800131,PM02,2024-01-29,Mant. Preventivo 1000150,2024-01-30
100,800132,PM02,2024-01-29,Mant. Preventivo 1000067,2024-01-30
100,800133,PM02,2024-01-29,Mant. Preventivo 1000015,2024-01-30
100,800134,PM02,2024-01-29,Mant. Preventivo 1000101,2024-01-30
100,800135,PM02,2024-01-30,Mant. Preventivo 1000186,2024-01-31
100,800136,PM02,2024-01-30,Mant. Preventivo 1000052,2024-01-31
100,800137,PM02,2024-01-30,Mant. Preventivo 1000060,2024-01-31
100,800138,PM02,2024-01-30,Mant. Preventivo 1000015,2024-01-31
100,800139,PM02,2024-01-30,Mant. Preventivo 1000036,2024-01-31
100,800140,PM01,2024-01-31,FALLA CRITICA SISTEMA HIDRÁULICO - 1000031,2024-02-07
100,800141,PM02,2024-01-31,Mant. Preventivo 1000102,2024-02-01
100,800142,PM02,2024-01-31,Mant. Preventivo 1000161,2024-02-01
100,800143,PM02,2024-01-31,Mant. Preventivo 1000021,2024-02-01
100,800144,PM02,2024-02-01,Mant. Preventivo 1000023,2024-02-02
100,800145,PM02,2024-02-01,Mant. Preventivo 1000154,2024-02-02
100,800146,PM02,2024-02-01,Mant. Preventivo 1000134,2024-02-02
100,800147,PM02,2024-02-02,Mant. Preventivo 1000180,2024-02-03
100,800148,PM02,2024-02-02,Mant. Preventivo 1000167,2024-02-03
100,800149,PM02,2024-02-02,Mant. Preventivo 1000111,2024-02-03
100,800150,PM02,2024-02-02,Mant. Preventivo 1000025,2024-02-03
100,800151,PM02,2024-02-02,Mant. Preventivo 1000048,2024-02-03
100,800152,PM02,2024-02-02,Mant. Preventivo 1000141,2024-02-03
100,800153,PM02,2024-02-03,Mant. Preventivo 1000095,2024-02-04
100,800154,PM02,2024-02-03,Mant. Preventivo 1000077,2024-02-04
100,800155,PM02,2024-02-03,Mant. Preventivo 1000125,2024-02-04
100,800156,PM02,2024-02-03,Mant. Preventivo 1000175,2024-02-04
100,800157,PM02,2024-02-03,Mant. Preventivo 1000058,2024-02-04
100,800158,PM02,2024-02-04,Mant. Preventivo 1000043,2024-02-05
100,800159,PM02,2024-02-04,Mant. Preventivo 1000142,2024-02-05
100,800160,PM02,2024-02-04,Mant. Preventivo 1000024,2024-02-05
100,800161,PM02,2024-02-04,Mant. Preventivo 1000189,2024-02-05
100,800162,PM02,2024-02-05,Mant. Preventivo 1000103,2024-02-06
100,800163,PM02,2024-02-05,Mant. Preventivo 1000057,2024-02-06
100,800164,PM02,2024-02-05,Mant. Preventivo 1000033,2024-02-06
100,800165,PM02,2024-02-06,Mant. Preventivo 1000053,2024-02-07
100,800166,PM02,2024-02-06,Mant. Preventivo 1000123,2024-02-07
100,800167,PM02,2024-02-07,Mant. Preventivo 1000016,2024-02-08
100,800168,PM02,2024-02-07,Mant. Preventivo 1000080,2024-02-08
100,800169,PM02,2024-02-07,Mant. Preventivo 1000173,2024-02-08
100,800170,PM02,2024-02-07,Mant. Preventivo 1000190,2024-02-08
100,800171,PM02,2024-02-07,Mant. Preventivo 1000144,2024-02-08
100,800172,PM01,2024-02-08,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000186,2024-02-15
100,800173,PM02,2024-02-08,Mant. Preventivo 1000098,2024-02-09
100,800174,PM02,2024-02-08,Mant. Preventivo 1000155,2024-02-09
100,800175,PM02,2024-02-08,Mant. Preventivo 1000195,2024-02-09
100,800176,PM02,2024-02-09,Mant. Preventivo 1000077,2024-02-10
100,800177,PM02,2024-02-09,Mant. Preventivo 1000146,2024-02-10
100,800178,PM02,2024-02-09,Mant. Preventivo 1000018,2024-02-10
100,800179,PM02,2024-02-09,Mant. Preventivo 1000081,2024-02-10
100,800180,PM02,2024-02-09,Mant. Preventivo 1000047,2024-02-10
100,800181,PM02,2024-02-09,Mant. Preventivo 1000129,2024-02-10
100,800182,PM02,2024-02-10,Mant. Preventivo 1000002,2024-02-11
100,800183,PM02,2024-02-10,Mant. Preventivo 1000142,2024-02-11
100,800184,PM02,2024-02-10,Mant. Preventivo 1000010,2024-02-11
100,800185,PM02,2024-02-10,Mant. Preventivo 1000152,2024-02-11
100,800186,PM02,2024-02-11,Mant. Preventivo 1000010,2024-02-12
100,800187,PM02,2024-02-11,Mant. Preventivo 1000124,2024-02-12
100,800188,PM02,2024-02-11,Mant. Preventivo 1000067,2024-02-12
100,800189,PM02,2024-02-11,Mant. Preventivo 1000010,2024-02-12
100,800190,PM02,2024-02-11,Mant. Preventivo 1000132,2024-02-12
100,800191,PM02,2024-02-12,Mant. Preventivo 1000030,2024-02-13
100,800192,PM02,2024-02-12,Mant. Preventivo 1000168,2024-02-13
100,800193,PM02,2024-02-12,Mant. Preventivo 1000154,2024-02-13
100,800194,PM02,2024-02-12,Mant. Preventivo 1000000,2024-02-13
100,800195,PM02,2024-02-12,Mant. Preventivo 1000198,2024-02-13
100,800196,PM02,2024-02-12,Mant. Preventivo 1000110,2024-02-13
100,800197,PM02,2024-02-13,Mant. Preventivo 1000037,2024-02-14
100,800198,PM02,2024-02-13,Mant. Preventivo 1000153,2024-02-14
100,800199,PM02,2024-02-14,Mant. Preventivo 1000198,2024-02-15
100,800200,PM02,2024-02-14,Mant. Preventivo 1000117,2024-02-15
100,800201,PM02,2024-02-14,Mant. Preventivo 1000007,2024-02-15
100,800202,PM02,2024-02-15,Mant. Preventivo 1000066,2024-02-16
100,800203,PM02,2024-02-15,Mant. Preventivo 1000067,2024-02-16
100,800204,PM02,2024-02-15,Mant. Preventivo 1000120,2024-02-16
100,800205,PM02,2024-02-15,Mant. Preventivo 1000087,2024-02-16
100,800206,PM01,2024-02-16,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000186,2024-02-23
100,800207,PM02,2024-02-16,Mant. Preventivo 1000162,2024-02-17
100,800208,PM02,2024-02-16,Mant. Preventivo 1000111,2024-02-17
100,800209,PM02,2024-02-16,Mant. Preventivo 1000163,2024-02-17
100,800210,PM02,2024-02-16,Mant. Preventivo 1000088,2024-02-17
100,800211,PM02,2024-02-16,Mant. Preventivo 1000058,2024-02-17
100,800212,PM02,2024-02-16,Mant. Preventivo 1000113,2024-02-17
100,800213,PM02,2024-02-17,Mant. Preventivo 1000149,2024-02-18
100,800214,PM02,2024-02-17,Mant. Preventivo 1000062,2024-02-18
100,800215,PM02,2024-02-17,Mant. Preventivo 1000010,2024-02-18
100,800216,PM02,2024-02-18,Mant. Preventivo 1000163,2024-02-19
100,800217,PM02,2024-02-18,Mant. Preventivo 1000142,2024-02-19
100,800218,PM02,2024-02-19,Mant. Preventivo 1000030,2024-02-20
100,800219,PM02,2024-02-19,Mant. Preventivo 1000058,2024-02-20
100,800220,PM02,2024-02-19,Mant. Preventivo 1000154,2024-02-20
100,800221,PM02,2024-02-19,Mant. Preventivo 1000162,2024-02-20
100,800222,PM02,2024-02-19,Mant. Preventivo 1000097,2024-02-20
100,800223,PM01,2024-02-20,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000061,2024-02-27
100,800224,PM02,2024-02-20,Mant. Preventivo 1000182,2024-02-21
100,800225,PM02,2024-02-20,Mant. Preventivo 1000063,2024-02-21
100,800226,PM02,2024-02-20,Mant. Preventivo 1000078,2024-02-21
100,800227,PM02,2024-02-20,Mant. Preventivo 1000100,2024-02-21
100,800228,PM02,2024-02-20,Mant. Preventivo 1000004,2024-02-21
100,800229,PM02,2024-02-20,Mant. Preventivo 1000090,2024-02-21
100,800230,PM01,2024-02-21,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000008,2024-02-28
100,800231,PM02,2024-02-21,Mant. Preventivo 1000003,2024-02-22
100,800232,PM02,2024-02-21,Mant. Preventivo 1000105,2024-02-22
100,800233,PM02,2024-02-21,Mant. Preventivo 1000171,2024-02-22
100,800234,PM01,2024-02-22,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000148,2024-02-29
100,800235,PM02,2024-02-22,Mant. Preventivo 1000001,2024-02-23
100,800236,PM02,2024-02-22,Mant. Preventivo 1000126,2024-02-23
100,800237,PM02,2024-02-22,Mant. Preventivo 1000150,2024-02-23
100,800238,PM02,2024-02-22,Mant. Preventivo 1000116,2024-02-23
100,800239,PM02,2024-02-23,Mant. Preventivo 1000059,2024-02-24
100,800240,PM02,2024-02-23,Mant. Preventivo 1000049,2024-02-24
100,800241,PM02,2024-02-23,Mant. Preventivo 1000006,2024-02-24
100,800242,PM02,2024-02-24,Mant. Preventivo 1000077,2024-02-25
100,800243,PM02,2024-02-24,Mant. Preventivo 1000077,2024-02-25
100,800244,PM02,2024-02-24,Mant. Preventivo 1000095,2024-02-25
100,800245,PM02,2024-02-24,Mant. Preventivo 1000199,2024-02-25
100,800246,PM01,2024-02-25,FALLA CRITICA SISTEMA HIDRÁULICO - 1000031,2024-03-03
100,800247,PM02,2024-02-25,Mant. Preventivo 1000045,2024-02-26
100,800248,PM02,2024-02-25,Mant. Preventivo 1000151,2024-02-26
100,800249,PM02,2024-02-26,Mant. Preventivo 1000091,2024-02-27
100,800250,PM02,2024-02-26,Mant. Preventivo 1000072,2024-02-27
100,800251,PM02,2024-02-26,Mant. Preventivo 1000060,2024-02-27
100,800252,PM02,2024-02-26,Mant. Preventivo 1000151,2024-02-27
100,800253,PM02,2024-02-26,Mant. Preventivo 1000081,2024-02-27
100,800254,PM02,2024-02-26,Mant. Preventivo 1000103,2024-02-27
100,800255,PM02,2024-02-27,Mant. Preventivo 1000060,2024-02-28
100,800256,PM02,2024-02-27,Mant. Preventivo 1000185,2024-02-28
100,800257,PM02,2024-02-27,Mant. Preventivo 1000053,2024-02-28
100,800258,PM02,2024-02-27,Mant. Preventivo 1000088,2024-02-28
100,800259,PM02,2024-02-27,Mant. Preventivo 1000067,2024-02-28
100,800260,PM02,2024-02-28,Mant. Preventivo 1000199,2024-02-29
100,800261,PM02,2024-02-28,Mant. Preventivo 1000198,2024-02-29
100,800262,PM02,2024-02-28,Mant. Preventivo 1000099,2024-02-29
100,800263,PM02,2024-02-28,Mant. Preventivo 1000015,2024-02-29
100,800264,PM02,2024-02-29,Mant. Preventivo 1000054,2024-03-01
100,800265,PM02,2024-02-29,Mant. Preventivo 1000170,2024-03-01
100,800266,PM02,2024-03-01,Mant. Preventivo 1000156,2024-03-02
100,800267,PM02,2024-03-01,Mant. Preventivo 1000152,2024-03-02
100,800268,PM02,2024-03-01,Mant. Preventivo 1000127,2024-03-02
100,800269,PM01,2024-03-02,FALLA CRITICA SISTEMA HIDRÁULICO - 1000031,2024-03-09
100,800270,PM02,2024-03-02,Mant. Preventivo 1000007,2024-03-03
100,800271,PM02,2024-03-02,Mant. Preventivo 1000029,2024-03-03
100,800272,PM02,2024-03-02,Mant. Preventivo 1000060,2024-03-03
100,800273,PM02,2024-03-02,Mant. Preventivo 1000151,2024-03-03
100,800274,PM02,2024-03-02,Mant. Preventivo 1000107,2024-03-03
100,800275,PM02,2024-03-03,Mant. Preventivo 1000178,2024-03-04
100,800276,PM02,2024-03-03,Mant. Preventivo 1000115,2024-03-04
100,800277,PM02,2024-03-03,Mant. Preventivo 1000021,2024-03-04
100,800278,PM02,2024-03-03,Mant. Preventivo 1000003,2024-03-04
100,800279,PM02,2024-03-03,Mant. Preventivo 1000104,2024-03-04
100,800280,PM02,2024-03-03,Mant. Preventivo 1000033,2024-03-04
100,800281,PM02,2024-03-04,Mant. Preventivo 1000192,2024-03-05
100,800282,PM02,2024-03-04,Mant. Preventivo 1000179,2024-03-05
100,800283,PM02,2024-03-04,Mant. Preventivo 1000190,2024-03-05
100,800284,PM02,2024-03-04,Mant. Preventivo 1000082,2024-03-05
100,800285,PM02,2024-03-04,Mant. Preventivo 1000068,2024-03-05
100,800286,PM01,2024-03-05,FALLA CRITICA SISTEMA HIDRÁULICO - 1000091,2024-03-12
100,800287,PM02,2024-03-05,Mant. Preventivo 1000094,2024-03-06
100,800288,PM02,2024-03-05,Mant. Preventivo 1000143,2024-03-06
100,800289,PM02,2024-03-06,Mant. Preventivo 1000095,2024-03-07
100,800290,PM02,2024-03-06,Mant. Preventivo 1000088,2024-03-07
100,800291,PM02,2024-03-06,Mant. Preventivo 1000114,2024-03-07
100,800292,PM02,2024-03-06,Mant. Preventivo 1000022,2024-03-07
100,800293,PM02,2024-03-06,Mant. Preventivo 1000113,2024-03-07
100,800294,PM02,2024-03-07,Mant. Preventivo 1000153,2024-03-08
100,800295,PM02,2024-03-07,Mant. Preventivo 1000139,2024-03-08
100,800296,PM02,2024-03-07,Mant. Preventivo 1000080,2024-03-08
100,800297,PM01,2024-03-08,FALLA CRITICA SISTEMA HIDRÁULICO - 1000041,2024-03-15
100,800298,PM02,2024-03-08,Mant. Preventivo 1000131,2024-03-09
100,800299,PM02,2024-03-08,Mant. Preventivo 1000120,2024-03-09
100,800300,PM02,2024-03-08,Mant. Preventivo 1000064,2024-03-09
100,800301,PM02,2024-03-08,Mant. Preventivo 1000077,2024-03-09
100,800302,PM02,2024-03-08,Mant. Preventivo 1000193,2024-03-09
100,800303,PM01,2024-03-09,FALLA CRITICA SISTEMA HIDRÁULICO - 1000041,2024-03-16
100,800304,PM02,2024-03-09,Mant. Preventivo 1000097,2024-03-10
100,800305,PM02,2024-03-09,Mant. Preventivo 1000131,2024-03-10
100,800306,PM02,2024-03-09,Mant. Preventivo 1000028,2024-03-10
100,800307,PM02,2024-03-09,Mant. Preventivo 1000080,2024-03-10
100,800308,PM02,2024-03-09,Mant. Preventivo 1000028,2024-03-10
100,800309,PM02,2024-03-09,Mant. Preventivo 1000126,2024-03-10
100,800310,PM01,2024-03-10,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000034,2024-03-17
100,800311,PM02,2024-03-10,Mant. Preventivo 1000051,2024-03-11
100,800312,PM02,2024-03-10,Mant. Preventivo 1000127,2024-03-11
100,800313,PM02,2024-03-10,Mant. Preventivo 1000066,2024-03-11
100,800314,PM02,2024-03-10,Mant. Preventivo 1000138,2024-03-11
100,800315,PM02,2024-03-10,Mant. Preventivo 1000195,2024-03-11
100,800316,PM02,2024-03-10,Mant. Preventivo 1000110,2024-03-11
100,800317,PM02,2024-03-11,Mant. Preventivo 1000105,2024-03-12
100,800318,PM02,2024-03-11,Mant. Preventivo 1000169,2024-03-12
100,800319,PM02,2024-03-11,Mant. Preventivo 1000060,2024-03-12
100,800320,PM02,2024-03-11,Mant. Preventivo 1000151,2024-03-12
100,800321,PM02,2024-03-12,Mant. Preventivo 1000077,2024-03-13
100,800322,PM02,2024-03-12,Mant. Preventivo 1000076,2024-03-13
100,800323,PM02,2024-03-13,Mant. Preventivo 1000065,2024-03-14
100,800324,PM02,2024-03-13,Mant. Preventivo 1000014,2024-03-14
100,800325,PM02,2024-03-13,Mant. Preventivo 1000095,2024-03-14
100,800326,PM02,2024-03-13,Mant. Preventivo 1000028,2024-03-14
100,800327,PM01,2024-03-14,FALLA CRITICA SISTEMA HIDRÁULICO - 1000107,2024-03-21
100,800328,PM02,2024-03-14,Mant. Preventivo 1000096,2024-03-15
100,800329,PM02,2024-03-14,Mant. Preventivo 1000146,2024-03-15
100,800330,PM02,2024-03-14,Mant. Preventivo 1000005,2024-03-15
100,800331,PM01,2024-03-15,FALLA CRITICA SISTEMA TRANSMISIÓN - 1000091,2024-03-22
100,800332,PM02,2024-03-15,Mant. Preventivo 1000029,2024-03-16
100,800333,PM02,2024-03-15,Mant. Preventivo 1000032,2024-03-16
100,800334,PM02,2024-03-15,Mant. Preventivo 1000071,2024-03-16
100,800335,PM02,2024-03-15,Mant. Preventivo 1000110,2024-03-16
100,800336,PM02,2024-03-15,Mant. Preventivo 1000067,2024-03-16
100,800337,PM02,2024-03-16,Mant. Preventivo 1000027,2024-03-17
100,800338,PM02,2024-03-16,Mant. Preventivo 1000039,2024-03-17
100,800339,PM02,2024-03-16,Mant. Preventivo 1000117,2024-03-17
100,800340,PM02,2024-03-16,Mant. Preventivo 1000168,2024-03-17
100,800341,PM02,2024-03-16,Mant. Preventivo 1000160,2024-03-17
100,800342,PM02,2024-03-16,Mant. Preventivo 1000152,2024-03-17
100,800343,PM02,2024-03-17,Mant. Preventivo 1000141,2024-03-18
100,800344,PM02,2024-03-17,Mant. Preventivo 1000011,2024-03-18
100,800345,PM02,2024-03-17,Mant. Preventivo 1000130,2024-03-18
100,800346,PM02,2024-03-17,Mant. Preventivo 1000024,2024-03-18
100,800347,PM02,2024-03-18,Mant. Preventivo 1000059,2024-03-19
100,800348,PM02,2024-03-18,Mant. Preventivo 1000150,2024-03-19
100,800349,PM02,2024-03-18,Mant. Preventivo 1000086,2024-03-19
100,800350,PM02,2024-03-18,Mant. Preventivo 1000183,2024-03-19
100,800351,PM02,2024-03-18,Mant. Preventivo 1000033,2024-03-19
100,800352,PM02,2024-03-19,Mant. Preventivo 1000031,2024-03-20
100,800353,PM02,2024-03-19,Mant. Preventivo 1000112,2024-03-20
100,800354,PM02,2024-03-19,Mant. Preventivo 1000196,2024-03-20
100,800355,PM02,2024-03-19,Mant. Preventivo 1000062,2024-03-20
100,800356,PM02,2024-03-20,Mant. Preventivo 1000061,2024-03-21
100,800357,PM02,2024-03-20,Mant. Preventivo 1000077,2024-03-21
100,800358,PM02,2024-03-20,Mant. Preventivo 1000129,2024-03-21
100,800359,PM02,2024-03-20,Mant. Preventivo 1000015,2024-03-21
100,800360,PM02,2024-03-20,Mant. Preventivo 1000066,2024-03-21
100,800361,PM02,2024-03-20,Mant. Preventivo 1000090,2024-03-21
100,800362,PM02,2024-03-21,Mant. Preventivo 1000020,2024-03-22
100,800363,PM02,2024-03-21,Mant. Preventivo 1000108,2024-03-22
100,800364,PM02,2024-03-21,Mant. Preventivo 1000121,2024-03-22
100,800365,PM02,2024-03-21,Mant. Preventivo 1000019,2024-03-22
100,800366,PM02,2024-03-21,Mant. Preventivo 1000134,2024-03-22
